t,N1906
0,1211
1,1335
2,1688
3,2262
4,3835
5,6423
6,9784
7,9064
8,6082
9,4456
10,2105
11,1115
12,1225
13,1440
14,1777
15,2636
16,3788
17,6649
18,9383
19,9051
20,5876
21,3940
22,1936
23,1348
24,1180
25,1237
26,1917
27,2801
28,4019
29,6838
30,9351
31,9149
32,5508
33,4148
34,1897
35,1329
36,1419
37,1308
38,2220
39,2875
40,4532
41,6972
42,9719
43,10031
44,5663
45,4418
46,2169
47,1468
48,1545
49,1495
50,2039
51,3044
52,4987
53,7399
54,10016
55,10063
56,6339
57,5120
58,2384
59,1425
60,1407
61,1564
62,2274
63,2930
64,4684
65,7802
66,10375
67,9885
68,6286
69,4742
70,2242
71,1394
72,1517
73,1441
74,2326
75,3085
76,5052
77,7734
78,10268
79,10032
80,6533
81,4869
82,2379
83,1370
84,1505
85,1512
86,2271
87,3198
88,4580
89,7589
90,9926
91,9540
92,6298
93,3993
94,2149
95,1357
96,1442
97,1703
98,2098
99,2945
100,4759
101,7339
102,10624
103,10606
104,6686
105,4913
106,2070
107,1565
108,1599
109,1725
110,2337
111,3355
112,5165
113,7779
114,10432
115,10296
116,6708
117,4936
118,2062
119,1564
120,1561
121,1660
122,2223
123,3249
124,4967
125,7727
126,10784
127,10912
128,7024
129,5096
130,2153
131,1599
132,1447
133,1505
