id,low,hi,m,q,costAIC
3,0,7,311.029,1707.68,91.2315
1092,8,12,-442.28,7193.54,53.7512
1742,13,17,517.12,-4868.92,51.9813
2368,18,23,-295.097,9595.49,78.4511
3085,24,29,475.217,-9357.79,61.7386
3769,30,38,-285,13128.5,117.587
4721,39,45,79.5964,1061.42,78.3597
5405,46,50,-47.5,5176.16,65.4885
5865,51,55,139.19,-2918.55,47.292
6301,56,61,-514.614,33625.1,75.4053
6789,62,66,367.12,-19177.6,56.253
7171,67,73,-466.157,36341,92.3551
7661,74,80,183.039,-9626.17,85.5503
8100,81,85,-608.08,53866.9,53.7509
8386,86,91,303.037,-22480.8,71.7253
8694,92,96,-543.29,54883.9,67.9048
8924,97,101,485.89,-44256.7,56.8246
9133,102,110,-343.095,39895.4,116.461
9435,111,115,186.69,-17071.3,52.1373
9570,116,120,-497.46,62033.2,64.8149
9680,121,125,501.76,-58161,54.2134
9766,126,131,-319.96,45097.2,79.4681
9835,132,137,546.577,-70182.4,62.5477
9868,138,143,-272.351,42591.7,76.4599
