x,D127
0,6347.8
1,6446
2,6478.8
3,6522.7
4,6521.6
5,6410.8
6,6384.3
7,6399.7
8,6404.8
9,6413.5
10,6431.9
11,6541.2
12,6574.9
13,6538.3
14,6527.2
15,6538.4
16,6445.3
17,6401.4
18,6375.4
19,6448.1
20,6613
21,6737.2
22,6612.7
23,6614.5
24,6764.3
25,6736.4
26,6737.6
27,6707.5
28,6698.5
29,6717.6
30,6677.5
31,6712.1
32,6779.3
33,6730.5
34,6688.5
35,6734.9
36,6699
37,6614.7
38,6619.5
39,6637.5
40,6679.1
41,6770.8
42,6861.7
43,6911.1
44,6924.1
45,6997.7
46,6856
47,6840.2
48,6709.6
49,6709.7
50,6652.9
51,6738.2
52,6729.6
53,6682.1
54,6672.4
55,6652.3
56,6653.9
57,6630.7
58,6587.9
59,6509.8
60,6498.4
61,6476
62,6621.7
63,6599
64,6667.7
65,6672.3
66,6887.1
67,6945.3
68,6881.9
69,6876.3
70,6891.7
71,6917.8
72,6985.8
73,7002.8
74,6996.3
75,7055.6
76,7291.6
77,7143.2
78,7159.9
79,7168.2
80,7419.4
81,7421.1
82,7425
83,7379.6
84,7379.5
85,7425.8
86,7463.1
87,7545.1
88,7645
89,7720.8
90,7820.6
91,7803.6
92,7854.5
93,7839.9
94,7834.5
95,7932.6
96,7757.2
97,7786.7
98,7765.8
99,7687.9
100,7647.6
101,7706.2
102,7687.9
103,7698.9
104,7822.4
105,7896.5
106,7792.8
107,7795.3
108,7775
109,7788.3
110,7715.6
111,7677.9
112,7541.9
113,7552.6
114,7560
115,7547.1
116,7586.3
117,7583.2
118,7581.5
119,7482.4
120,7472.1
121,7440.4
122,7528.5
123,7535.5
124,7613
125,7594.2
126,7677.1
127,7670.5
128,7674.9
129,7683.3
130,7649.2
131,7757.6
132,7791.5
133,7824.2
134,7789.9
135,7613.1
136,7653.8
137,7605.4
138,7761
139,7932.1
140,7989.8
141,8020.2
142,8056.5
143,8034.3
144,8048.7
145,8108.2
146,8005.9
147,7929.6
148,7768
149,7841.2
150,7829.2
151,7789.9
152,7810.2
153,7630.9
154,7723.6
155,7740
156,7767.8
157,7723.7
158,7733.9
159,7800.5
160,7878.2
161,7802.4
162,7797.1
163,7916
164,7930.5
165,7929
166,7967.4
167,7938.9
168,7967.5
169,8032.1
170,7996.2
171,7990.2
172,8053.6
173,8076.7
174,8057.4
175,8050.1
176,8007.1
177,8029.3
178,8108.9
179,8113.6
180,8118.3
181,8172.4
182,8174.2
183,8209.5
184,8215.8
185,8227.5
186,8122.6
187,8171
188,8207.8
189,8132.4
190,8098.9
191,7999.8
192,8033.1
193,8043.8
194,8043.3
195,7923.5
196,7846.4
197,7848.9
198,7756
199,7737.6
200,7585.8
201,7694.1
202,7741.8
203,7603.7
204,7571.1
205,7381.6
206,7403.8
207,7087.6
208,7202.7
209,7204.1
210,7174.1
211,7087.9
212,7005.6
213,7148.6
214,7126.7
215,6934.6
216,6855.4
217,6626.7
218,6565.9
219,6584.3
220,6632.2
221,6811.9
222,6770.7
223,6861.3
224,6855.1
225,6815.3
226,6883.3
227,6902.1
228,6962.2
229,6974.9
230,6935.8
231,6833.7
232,6684.4
233,6642.4
234,6617.6
235,6734.6
236,6849.9
237,6844.8
238,6890.6
239,6873.6
240,6871.7
241,6849.3
242,6847.3
243,6846.3
244,6917.2
245,6910.3
246,6872.7
247,6594.4
248,6560.9
249,6554.5
250,6491.8
251,6495.5
252,6490.5
253,6560.9
254,6728.4
255,6682.9
256,6687.9
257,6678
258,6657.1
259,6470.8
260,6407
261,6428.6
262,6406.9
263,6405
264,6449.2
265,6440.8
266,6460.6
267,6587.2
268,6560.5
269,6547
270,6597.7
271,6694.6
272,6730.5
273,6730.5
274,6846.9
275,6597.7
276,6607.6
277,6668.8
278,6685.8
279,6616.2
280,6699.6
281,6752.3
282,6895.9
283,6905.8
284,7102.3
285,7066.6
286,7142
287,7238.3
288,7181.9
289,7138.7
290,7052.2
291,7045.9
292,7126.8
293,7073.4
294,7057.8
295,7110.5
296,7164.8
297,7151.4
298,7328.9
299,7312.4
300,7307.7
301,7380.9
302,7351.5
303,7555.4
304,7596.7
305,7586.4
306,7536.4
307,7528.5
308,7599.5
309,7564.8
310,7599.3
311,7611.4
312,7647.9
313,7615
314,7664.2
315,7638.5
316,7667
317,7740.2
318,7600.8
319,7402.1
320,7416
321,7424
322,7500.5
323,7573.5
324,7637.2
325,7564.3
326,7576.5
327,7466.2
328,7542.9
329,7582.3
330,7597.7
331,7592.1
332,7537
333,7636.1
334,7572.6
335,7561.9
336,7780.5
337,7763.1
338,7895.1
339,7906.3
340,7938.5
341,7926.8
342,7939.5
343,7885.5
344,7821.6
345,7830.1
346,7928.8
347,7639
348,7653.6
349,7576.9
350,7603.8
351,7374
352,7433.6
353,7477.3
354,7471.2
355,7870.3
356,7812
357,7755.6
358,7794.4
359,7794.9
360,7789.2
361,7841.5
362,7814.5
363,7890.8
364,7906.8
365,7963.7
366,7845.8
367,7727.1
368,7769.7
369,7767.3
370,7714.6
371,7676
372,7573.1
373,7630.5
374,7845.3
375,7830
376,7741.5
377,7878.1
378,7895
379,7828.8
380,7969.9
381,8032.2
382,8072.3
383,8051.7
384,8135.3
385,8147.6
386,8138.9
387,8141.5
388,8122.1
389,8056.6
390,8076.1
391,8024.8
392,8065.2
393,8037.3
394,8002.6
395,7938
396,7896.3
397,7885.2
398,7911.2
399,7991.5
400,7859.6
401,8009.4
402,8080.8
403,8081.4
404,8153.9
405,8203.8
406,8220.8
407,8195.5
408,8222.4
409,8320
410,8342.6
411,8362
412,8367
413,8377.1
414,8292.3
415,8320.6
416,8442.1
417,8523.4
418,8516.8
419,8449.1
420,8448
421,8510.2
422,8494.5
423,8177.8
424,8196.6
425,8282.7
426,8292
427,8280.2
428,8271.4
429,8250.3
430,8304.2
431,8310
432,8277.5
433,8199
434,8202.3
435,8173.7
436,8059.3
437,8031
438,7956.9
439,8069.7
440,8094.4
441,8077.4
442,8143.6
443,8049.5
444,8087.9
445,7910.6
446,7914.7
447,8163.8
448,8068.4
449,8052.5
450,8011.8
451,8007.2
452,7985.3
453,8168
454,8267
455,8236.3
456,8236.8
457,8536.2
458,8420.1
459,8440
460,8403.8
461,8398
462,8292.4
463,8484.3
464,8435.9
465,8439.8
466,8445.3
467,8494.9
468,8389.9
469,8458.9
470,8464
471,8450.9
472,8586.3
473,8520.4
474,8576.7
475,8692.4
476,8697.3
477,8677.2
478,8590.1
479,8498.2
480,8512.4
481,8513
482,8554.4
483,8604.5
484,8603.5
485,8657.6
486,8657.5
487,8957.1
488,8903.2
489,8910.1
490,8922.5
491,8895.7
492,8959.2
493,8974.6
494,8954.4
495,8967.7
496,8997.9
497,9063.7
498,9049.8
499,9024
500,9013.3
501,9028.8
502,9059.4
503,9151.2
504,9232.6
505,9268.6
506,9270.8
507,9261.4
508,9242.9
509,9262.1
510,9242.5
511,9353.1
512,9304.2
513,9208.8
514,9260.8
515,9322.1
516,9322.5
517,9315.9
518,9294.5
519,9576.9
520,9607.3
521,9595.4
522,9602.8
523,9907.1
524,9829.2
525,9853.3
526,9793.3
527,9963
528,9897.9
529,9976.8
530,9985.1
531,9954.4
532,9914.3
533,10092.2
534,10072.3
535,10062.9
536,10287.6
537,10332.3
538,10259
539,10390.6
540,10402.9
541,10375.1
542,10474.6
543,10648.2
544,10651.6
545,10603.9
546,10629.6
547,10609.1
548,10568.1
549,10555.1
550,10699.9
551,10740.4
552,10844.9
553,10955.6
554,10939.1
555,10930.2
556,10833.8
557,10873.3
558,11053
559,11021.1
560,10926.8
561,10861.2
562,11056.2
563,11076.1
564,11082.7
565,11054.6
566,10891.3
567,10949.5
568,10938.1
569,11114.3
570,11187.2
571,10856.2
572,10930.1
573,11009.3
574,11054.8
575,11101.1
576,11212.9
577,11199.5
578,11034.6
579,11009.5
580,11082.6
581,11062.1
582,11023.2
583,10939.3
584,10997.8
585,11056.5
586,11095.3
587,10917.6
588,11000.2
589,11082.1
590,11029.6
591,10999
592,10761.5
593,10670.8
594,10617.8
595,10676.8
596,10694.1
597,10870.2
598,10769.6
599,10739.3
600,10738.8
601,10752
602,10706.8
603,10693.2
604,10780
605,10802.2
606,11051.6
607,10938.6
608,11079.2
609,11155.4
610,11155.9
611,11012.8
612,10831.8
613,10809.4
614,10788
615,10798.3
616,10911.9
617,10916.2
618,10893.4
619,10973.6
620,11005.9
621,11058.9
622,10991.5
623,11046.7
624,11024.9
625,10959.9
626,10925.7
627,10932.7
628,10768
629,10639.6
630,10622.3
631,10682.9
632,10770.4
633,10676.9
634,10625.6
635,10637.6
636,10375.1
637,10315.5
638,10306.2
639,10306.3
640,10422.1
641,10450.9
642,10444.7
643,10360.5
644,10375.4
645,10340.3
646,10319.1
647,10357.8
648,10400.6
649,10392.5
650,10611
651,10601.4
652,10585.8
653,10821.3
654,10853.3
655,10830.3
656,10775.5
657,10144.1
658,10087.4
659,10093.2
660,9946.5
661,9959.6
662,9931.5
663,9921.7
664,9933.6
665,9488.3
666,9668.2
667,9565.9
668,9440.1
669,9448
670,9699
671,9583.8
672,9561.4
673,9561.1
674,9608.6
675,9342.2
676,9503.6
677,9484
678,9481.1
679,9384
680,9300.4
681,9312
682,9285.7
683,9273.9
684,9155.8
685,9107.6
686,8928.5
687,8370.6
688,8362.6
689,8584.5
690,8562.6
691,8484.8
692,8457.5
693,8444.2
694,8553.3
695,8574.5
696,8608.3
697,8611.8
698,8591.8
699,8527.6
700,8360.9
701,8268.8
702,8203.2
703,8398.8
704,8222.9
705,8244.3
706,8309.8
707,8296
708,7932
709,8220.3
710,8305
711,8478.7
712,8482.3
713,8515.2
714,8489.7
715,8734.7
716,8733.6
717,8752.3
718,8695.9
719,8888.8
720,8872.4
721,8653.5
722,8656.6
723,8750.9
724,8740
725,8754.7
726,8916.1
727,8903.3
728,8733.4
729,8746.6
730,8791.6
731,8787.8
732,8781.6
733,8842.8
734,8825.4
735,8808.9
736,8832.5
737,8831.4
738,8856
739,8840.8
740,8750.3
741,8782.1
742,8746.8
743,8854
744,9025.4
745,9009.4
746,9013.6
747,8964.5
748,8944.8
749,8919.5
750,8620.1
751,8610.8
752,8702.6
753,8761.3
754,8678.6
755,8677.5
756,8668.7
757,8651.1
758,8703.8
759,8811.6
760,8944.4
761,8966.6
762,9102.9
763,9084
764,9111.9
765,9078.3
766,9096
767,9101.5
768,9070.7
769,8928.9
770,8973
771,8964
772,8923.4
773,8808.8
774,8847.3
775,8910.2
776,8884
777,8838
778,8751.8
779,8865.3
780,8739.5
781,8728.7
782,8920.6
783,8937
784,8874
785,8870.3
786,8863.9
787,8754.3
788,8757.8
789,8611.1
790,8788.2
791,8766.8
792,8785.3
793,8892.8
794,8955.8
795,8877.7
796,8934
797,8956.1
798,8924.6
799,8806.6
800,8766.1
801,8755.3
802,8778
803,8765.7
804,8755.2
805,8732.6
806,8692.6
807,8673.5
808,8655.3
809,8674.2
810,8656.4
811,8751.6
812,8672.5
813,8676.7
814,8670.8
815,8667.3
816,8666.7
817,8669.7
818,8571.8
819,8570.1
820,8689.6
821,8580.4
822,8615.9
823,8824.9
