x,Q22221
0,2777.064
1,2756.645
2,2749.352
3,2753.728
4,2752.269
5,2755.186
6,2759.562
7,2769.772
8,2782.899
9,2790.191
10,2797.484
11,2798.943
12,2762.479
13,2766.855
14,2787.274
15,2777.064
16,2813.528
17,2828.113
18,2835.406
19,2848.533
20,2860.201
21,2866.035
22,2877.704
23,2877.704
24,2858.743
25,2832.489
26,2814.986
27,2822.279
28,2836.865
29,2842.699
30,2849.992
31,2870.411
32,2883.538
33,2889.372
34,2905.416
35,2905.416
36,2884.997
37,2864.577
38,2866.035
39,2874.787
40,2880.621
41,2887.914
42,2889.372
43,2893.748
44,2902.499
45,2899.582
46,2902.499
47,2892.289
48,2861.66
49,2839.782
50,2829.572
51,2813.528
52,2794.567
53,2787.274
54,2787.274
55,2810.611
56,2829.572
57,2833.948
58,2839.782
59,2836.865
60,2813.528
61,2828.113
62,2828.113
63,2831.03
64,2839.782
65,2848.533
66,2861.66
67,2874.787
68,2890.831
69,2890.831
70,2889.372
71,2882.08
72,2860.201
73,2849.992
74,2848.533
75,2845.616
76,2864.577
77,2874.787
78,2886.455
79,2905.416
80,2917.085
81,2934.587
82,2998.763
83,3003.139
84,3004.597
85,3000.221
86,3011.89
87,3033.768
88,3057.104
89,3077.524
90,3090.651
91,3099.402
92,3096.485
93,3077.524
94,3108.154
95,3121.28
96,3135.866
97,3162.119
98,3160.661
99,3160.661
100,3147.534
101,3163.578
102,3169.412
103,3173.788
104,3195.666
105,3207.335
106,3216.085
107,3224.837
108,3220.461
109,3208.793
110,3211.71
111,3242.339
112,3232.13
113,3223.378
114,3220.461
115,3219.003
116,3233.588
117,3235.047
118,3242.339
119,3254.008
120,3249.632
121,3232.13
122,3236.505
123,3243.798
124,3246.715
125,3274.427
126,3291.93
127,3309.432
128,3329.852
129,3341.52
130,3408.613
131,3426.116
132,3456.745
133,3442.16
134,3453.828
135,3455.286
136,3446.535
137,3437.784
138,3430.491
139,3431.95
140,3439.243
141,3446.121
142,3497.71
143,3535.542
144,3542.42
145,3518.345
146,3514.906
147,3518.345
148,3559.616
149,3594.009
150,3583.691
151,3607.766
152,3559.616
153,3542.42
154,3559.616
155,3580.252
156,3587.13
157,3594.009
158,3569.934
159,3552.737
160,3525.224
161,3535.542
162,3514.906
163,3528.663
164,3532.102
165,3566.494
166,3580.252
167,3604.326
168,3621.523
169,3631.84
170,3611.205
171,3611.205
172,3587.13
173,3631.84
174,3638.719
175,3607.766
176,3607.766
177,3607.766
178,3611.205
179,3649.036
180,3673.111
181,3666.233
182,3666.233
183,3649.036
184,3659.354
185,3697.186
186,3710.943
187,3707.504
188,3714.382
189,3738.457
190,3786.606
191,3807.241
192,3865.709
193,3882.905
194,3886.344
195,3882.905
196,3900.101
197,3910.419
198,3934.494
199,3975.764
200,3999.839
201,4023.914
202,4044.549
203,4068.624
204,4092.699
205,4120.213
206,4099.577
207,4078.942
208,4120.213
209,4199.315
210,4209.633
211,4244.025
212,4261.222
213,4312.81
214,4316.249
215,4357.52
216,4412.548
217,4426.305
