id,low,hi,m,q,cost
0,0,42,4.79953,494.57,202.042
1,0,43,4.89483,493.236,214.623
2,0,44,4.98988,491.874,226.642
3,0,45,5.20241,488.757,260.509
4,0,46,5.5126,484.104,300.188
5,0,47,5.90318,478.115,336.481
6,0,48,6.22921,473.007,357.452
7,0,49,6.49877,468.694,372.594
8,0,50,6.71929,465.092,384.658
9,0,51,6.92899,461.597,396.226
10,0,52,7.12877,458.201,407.408
11,0,53,7.31902,454.903,418.267
12,0,54,7.49331,451.824,428.566
13,0,55,7.65298,448.95,438.413
14,0,56,7.79959,446.262,447.901
15,0,57,7.92945,443.838,456.918
16,0,58,8.04445,441.653,465.558
17,0,59,8.14597,439.691,473.882
18,0,60,8.22902,438.057,481.769
19,0,61,8.2958,436.722,489.317
20,0,62,8.34794,435.661,496.597
21,0,63,8.4035,434.513,503.978
22,0,64,8.46205,433.284,511.466
23,0,65,8.52295,431.985,519.061
24,0,66,8.57826,430.786,526.553
25,0,67,8.62848,429.681,533.951
26,0,68,8.67404,428.664,541.266
27,0,69,8.70752,427.905,548.335
28,0,70,8.73002,427.387,555.225
29,0,71,8.74278,427.09,562.001
30,0,72,8.75203,426.871,568.739
31,0,73,8.75823,426.722,575.447
32,0,74,8.76156,426.641,582.132
33,0,75,8.76919,426.453,588.824
34,0,76,8.78077,426.163,595.539
35,0,77,8.79578,425.783,602.292
36,0,78,8.80741,425.484,608.993
37,0,79,8.81586,425.265,615.65
38,0,80,8.82152,425.116,622.274
39,0,81,8.82218,425.098,628.866
40,0,82,8.81838,425.201,635.456
41,0,83,8.81046,425.417,642.069
42,0,84,8.80118,425.674,648.69
43,0,85,8.79078,425.965,655.322
44,0,86,8.77928,426.291,661.969
45,0,87,8.77324,426.464,668.525
46,0,88,8.77226,426.493,675.038
47,0,89,8.77583,426.388,681.552
48,0,90,8.77561,426.394,688.041
49,0,91,8.77184,426.508,694.536
50,0,92,8.76489,426.718,701.06
51,0,93,8.7578,426.936,707.58
52,0,94,8.75052,427.161,714.097
53,0,95,8.74314,427.393,720.61
54,0,96,8.73478,427.657,727.139
55,0,97,8.72555,427.953,733.689
56,0,98,8.71552,428.277,740.26
57,0,99,8.71081,428.431,746.698
58,0,100,8.71104,428.423,753.088
59,0,101,8.71582,428.264,759.51
60,0,102,8.72093,428.092,765.932
61,0,103,8.72628,427.91,772.352
62,0,104,8.73192,427.716,778.773
63,0,105,8.73606,427.573,785.155
64,0,106,8.73887,427.474,791.507
65,0,107,8.74038,427.421,797.836
66,0,108,8.73849,427.489,804.16
67,0,109,8.73344,427.67,810.535
68,0,110,8.72545,427.961,817.015
69,0,111,8.7229,428.054,823.324
70,0,112,8.72536,427.963,829.623
71,0,113,8.73253,427.695,836.062
72,0,114,8.74098,427.377,842.57
73,0,115,8.75062,427.011,849.158
74,0,116,8.76137,426.599,855.836
75,0,117,8.77116,426.22,862.452
76,0,118,8.7801,425.871,869.013
77,0,119,8.7882,425.553,875.52
78,0,120,8.79481,425.291,881.939
79,0,121,8.80002,425.082,888.283
80,0,122,8.80392,424.925,894.569
81,0,123,8.81429,424.503,901.3
82,0,124,8.83072,423.83,908.864
83,0,125,8.85282,422.916,917.591
84,0,126,8.8787,421.838,927.325
85,0,127,8.90812,420.602,938.14
86,0,128,8.94085,419.217,950.062
87,0,129,8.97478,417.769,962.409
88,0,130,9.00979,416.263,975.126
89,0,131,9.04583,414.702,988.186
90,0,132,9.0814,413.149,1001.04
91,0,133,9.11653,411.603,1013.72
92,0,134,9.1512,410.066,1026.22
93,0,135,9.19426,408.142,1041.85
94,0,136,9.24524,405.848,1060.67
95,0,137,9.30363,403.202,1082.4
96,0,138,9.36418,400.436,1104.24
97,0,139,9.42675,397.558,1126.09
98,0,140,9.49118,394.573,1147.86
99,0,141,9.55685,391.508,1169.31
100,0,142,9.62367,388.368,1190.43
101,0,143,9.69153,385.156,1211.23
102,0,144,9.7579,381.992,1230.85
103,0,145,9.82284,378.875,1249.49
104,0,146,9.88638,375.804,1267.31
105,0,147,9.95677,372.378,1287.01
106,0,148,10.0336,368.613,1308.36
107,0,149,10.1165,364.523,1331.09
108,0,150,10.1989,360.432,1352.81
109,0,151,10.2807,356.342,1373.68
110,0,152,10.3619,352.254,1393.84
111,0,153,10.4428,348.153,1413.45
112,0,154,10.5235,344.042,1432.58
113,0,155,10.6037,339.922,1451.29
114,0,156,10.6797,335.997,1468.68
115,0,157,10.7515,332.26,1484.97
116,0,158,10.8195,328.705,1500.34
117,0,159,10.8869,325.154,1515.57
118,0,160,10.9538,321.607,1530.66
119,0,161,11.0203,318.064,1545.62
120,0,162,11.0841,314.64,1560.07
121,0,163,11.1453,311.331,1574.06
122,0,164,11.2042,308.134,1587.64
123,0,165,11.2615,304.999,1601
124,0,166,11.3175,301.923,1614.16
125,0,167,11.372,298.906,1627.12
126,0,168,11.4257,295.915,1640
127,0,169,11.4786,292.95,1652.8
128,0,170,11.5308,290.009,1665.51
129,0,171,11.5796,287.246,1677.76
130,0,172,11.6251,284.655,1689.58
131,0,173,11.6674,282.231,1701.03
132,0,174,11.7083,279.868,1712.36
133,0,175,11.7481,277.564,1723.58
134,0,176,11.7866,275.318,1734.68
135,0,177,11.8207,273.315,1745.32
136,0,178,11.8506,271.548,1755.56
137,0,179,11.8766,270.01,1765.45
138,0,180,11.9053,268.295,1775.63
139,0,181,11.9367,266.409,1786.12
140,0,182,11.9707,264.359,1796.95
141,0,183,12.0038,262.352,1807.7
142,0,184,12.036,260.387,1818.39
143,0,185,12.0674,258.463,1829.02
144,0,186,12.0963,256.679,1839.4
145,0,187,12.1229,255.031,1849.56
146,0,188,12.1472,253.515,1859.52
147,0,189,12.169,252.153,1869.27
148,0,190,12.1882,250.939,1878.83
149,0,191,12.2051,249.871,1888.22
150,0,192,12.2248,248.615,1897.85
151,0,193,12.2473,247.178,1907.75
152,0,194,12.2723,245.565,1917.96
153,0,195,12.2945,244.129,1927.88
154,0,196,12.314,242.864,1937.56
155,0,197,12.3308,241.765,1947.02
156,0,198,12.3492,240.559,1956.64
157,0,199,12.369,239.249,1966.41
158,0,200,12.3903,237.839,1976.35
159,0,201,12.412,236.393,1986.35
160,0,202,12.4341,234.913,1996.43
161,0,203,12.4566,233.4,2006.58
162,0,204,12.4827,231.628,2017.25
163,0,205,12.5125,229.606,2028.5
164,0,206,12.5456,227.342,2040.39
165,0,207,12.5799,224.988,2052.52
166,0,208,12.6152,222.548,2064.91
167,0,209,12.6516,220.025,2077.55
168,0,210,12.6885,217.459,2090.31
169,0,211,12.7257,214.853,2103.2
170,0,212,12.7633,212.208,2116.19
171,0,213,12.7977,209.779,2128.55
172,0,214,12.8289,207.561,2140.34
173,0,215,12.8571,205.547,2151.63
174,0,216,12.8864,203.452,2163.13
175,0,217,12.9166,201.278,2174.84
176,0,218,12.9477,199.028,2186.76
177,0,219,12.9791,196.744,2198.78
178,0,220,13.0109,194.427,2210.9
179,0,221,13.0429,192.078,2223.11
180,0,222,13.0756,189.667,2235.5
181,0,223,13.109,187.194,2248.06
182,0,224,13.1431,184.663,2260.8
183,0,225,13.1741,182.344,2272.95
184,0,226,13.2023,180.232,2284.57
185,0,227,13.2277,178.322,2295.73
186,0,228,13.2477,176.804,2306.11
187,0,229,13.2626,175.669,2315.9
188,0,230,13.2726,174.907,2325.28
189,0,231,13.2806,174.298,2334.53
190,0,232,13.2865,173.839,2343.68
191,0,233,13.2906,173.526,2352.76
192,0,234,13.293,173.339,2361.8
193,0,235,13.2938,173.277,2370.81
194,0,236,13.293,173.336,2379.82
195,0,237,13.2898,173.589,2388.86
196,0,238,13.2842,174.032,2397.99
197,0,239,13.2763,174.661,2407.25
198,0,240,13.2706,175.116,2416.38
199,0,241,13.267,175.402,2425.42
200,0,242,13.2655,175.523,2434.42
201,0,243,13.2639,175.651,2443.41
202,0,244,13.2622,175.786,2452.4
203,0,245,13.2605,175.926,2461.38
204,0,246,13.2584,176.102,2470.37
205,0,247,13.2558,176.311,2479.37
206,0,248,13.2529,176.554,2488.37
207,0,249,13.2486,176.907,2497.42
208,0,250,13.243,177.368,2506.53
209,0,251,13.2362,177.935,2515.73
210,0,252,13.2308,178.39,2524.83
211,0,253,13.2267,178.737,2533.87
212,0,254,13.2238,178.977,2542.86
213,0,255,13.2215,179.177,2551.82
214,0,256,13.2196,179.337,2560.77
215,0,257,13.2182,179.458,2569.71
216,0,258,13.2178,179.485,2578.64
217,0,259,13.2186,179.42,2587.56
218,0,260,13.2204,179.266,2596.49
219,0,261,13.2234,179.004,2605.47
220,0,262,13.2276,178.637,2614.49
221,0,263,13.233,178.168,2623.59
222,0,264,13.2409,177.479,2632.92
223,0,265,13.2511,176.575,2642.55
224,0,266,13.2637,175.463,2652.57
225,0,267,13.2764,174.336,2662.63
226,0,268,13.2892,173.196,2672.73
227,0,269,13.3021,172.043,2682.87
228,0,270,13.3154,170.85,2693.1
229,0,271,13.3291,169.618,2703.42
230,0,272,13.3432,168.347,2713.85
231,0,273,13.3572,167.075,2724.29
232,0,274,13.3712,165.803,2734.75
233,0,275,13.3851,164.53,2745.21
234,0,276,13.4028,162.914,2756.64
235,0,277,13.424,160.962,2769.22
236,0,278,13.4487,158.681,2783.13
237,0,279,13.4766,156.097,2798.41
238,0,280,13.5075,153.217,2815.12
239,0,281,13.5415,150.047,2833.33
240,0,282,13.5738,147.021,2850.57
241,0,283,13.6045,144.135,2866.97
242,0,284,13.6336,141.388,2882.61
243,0,285,13.6619,138.717,2897.83
244,0,286,13.6892,136.122,2912.67
245,0,287,13.7156,133.6,2927.16
246,0,288,13.7437,130.911,2942.34
247,0,289,13.7734,128.059,2958.22
248,0,290,13.8047,125.047,2974.78
249,0,291,13.8406,121.581,2993.59
250,0,292,13.8809,117.67,3014.73
251,0,293,13.9255,113.324,3038.21
252,0,294,13.9685,109.132,3060.28
253,0,295,14.0097,105.093,3081.11
254,0,296,14.0492,101.203,3100.87
255,0,297,14.0851,97.6602,3118.7
256,0,298,14.1175,94.458,3134.91
257,0,299,14.1464,91.5894,3149.75
258,0,300,14.1754,88.6929,3164.66
259,0,301,14.2047,85.7684,3179.64
260,0,302,14.2341,82.8175,3194.7
261,0,303,14.2652,79.6851,3210.41
262,0,304,14.298,76.3749,3226.79
263,0,305,14.3324,72.8907,3243.82
264,0,306,14.3662,69.4528,3260.57
265,0,307,14.3994,66.0605,3277.07
266,0,308,14.4321,62.7132,3293.31
267,0,309,14.4649,59.3526,3309.55
268,0,310,14.4976,55.9793,3325.78
269,0,311,14.5304,52.5938,3342
270,0,312,14.5633,49.183,3358.27
271,0,313,14.5963,45.7485,3374.56
272,0,314,14.6295,42.2901,3390.89
273,0,315,14.6627,38.8105,3407.24
274,0,316,14.696,35.3096,3423.61
275,0,317,14.7295,31.7887,3440.01
276,0,318,14.7625,28.2942,3456.24
277,0,319,14.7953,24.8253,3472.34
278,0,320,14.8276,21.3824,3488.29
279,0,321,14.8584,18.1004,3503.65
280,0,322,14.8876,14.9761,3518.48
281,0,323,14.9153,12.0073,3532.8
282,0,324,14.942,9.12795,3546.86
283,0,325,14.9679,6.3359,3560.67
284,0,326,14.9928,3.63036,3574.23
285,0,327,15.0177,0.933759,3587.77
286,0,328,15.0423,-1.7545,3601.29
287,0,329,15.0668,-4.43383,3614.79
288,0,330,15.0927,-7.27608,3628.73
289,0,331,15.12,-10.2788,3643.13
290,0,332,15.1487,-13.4383,3658
291,0,333,15.1765,-16.5125,3672.59
292,0,334,15.2034,-19.5027,3686.92
293,0,335,15.2295,-22.4103,3701.01
294,0,336,15.254,-25.1443,3714.63
295,0,337,15.2769,-27.7075,3727.8
296,0,338,15.2982,-30.1028,3740.58
297,0,339,15.3179,-32.3255,3752.99
298,0,340,15.3361,-34.3779,3765.04
299,0,341,15.3527,-36.2635,3776.79
300,0,342,15.3677,-37.9693,3788.23
301,0,343,15.3811,-39.498,3799.39
302,0,344,15.393,-40.853,3810.32
303,0,345,15.4038,-42.094,3821.1
304,0,346,15.4136,-43.2235,3831.76
305,0,347,15.4225,-44.2428,3842.29
306,0,348,15.4319,-45.3338,3852.91
307,0,349,15.4419,-46.4946,3863.61
308,0,350,15.4525,-47.7246,3874.4
309,0,351,15.4618,-48.8141,3885.03
310,0,352,15.47,-49.7661,3895.51
311,0,353,15.4769,-50.5821,3905.86
312,0,354,15.4828,-51.2751,3916.12
313,0,355,15.4877,-51.8465,3926.3
314,0,356,15.4915,-52.299,3936.41
315,0,357,15.4861,-51.6643,3946.63
316,0,358,15.4718,-49.9602,3958.21
317,0,359,15.4487,-47.2048,3972.35
318,0,360,15.4254,-44.4163,3986.6
319,0,361,15.4019,-41.5953,4000.93
320,0,362,15.3782,-38.7424,4015.35
321,0,363,15.3541,-35.8366,4029.93
322,0,364,15.3297,-32.8793,4044.66
323,0,365,15.3049,-29.871,4059.54
324,0,366,15.2799,-26.8349,4074.5
325,0,367,15.2548,-23.7709,4089.53
326,0,368,15.2295,-20.6801,4104.63
327,0,369,15.2035,-17.485,4120.06
328,0,370,15.1767,-14.1877,4135.8
329,0,371,15.1491,-10.7897,4151.86
330,0,372,15.1224,-7.47975,4167.59
331,0,373,15.0964,-4.25671,4183.01
332,0,374,15.0712,-1.11933,4198.14
333,0,375,15.0455,2.07823,4213.43
334,0,376,15.0195,5.33487,4228.9
335,0,377,14.993,8.64952,4244.54
336,0,378,14.9656,12.0881,4260.57
337,0,379,14.9374,15.6492,4276.97
338,0,380,14.9082,19.33,4293.76
339,0,381,14.8789,23.0435,4310.62
340,0,382,14.8494,26.7884,4327.54
341,0,383,14.8198,30.5646,4344.52
342,0,384,14.7904,34.3096,4361.34
343,0,385,14.7614,38.0243,4378.02
344,0,386,14.7327,41.7084,4394.55
345,0,387,14.7052,45.2539,4410.59
346,0,388,14.6787,48.6622,4426.18
347,0,389,14.6534,51.9358,4441.34
348,0,390,14.628,55.2356,4456.57
349,0,391,14.6024,58.5614,4471.87
350,0,392,14.5767,61.9123,4487.22
351,0,393,14.5517,65.1774,4502.31
352,0,394,14.5274,68.3574,4517.15
353,0,395,14.5038,71.454,4531.75
354,0,396,14.4781,74.8493,4547.19
355,0,397,14.4501,78.5381,4563.51
356,0,398,14.4201,82.5165,4580.75
357,0,399,14.3904,86.4524,4597.79
358,0,400,14.3611,90.3468,4614.66
