t,value
0,34
1,25
2,16
3,25
4,37
5,20
6,32
7,47
8,38
9,19
10,24
11,20
12,33
13,40
14,56
15,49
16,33
17,35
18,29
19,22
20,41
21,35
22,47
23,29
24,30
25,24
26,26
27,27
28,33
29,39
30,24
31,26
32,22
33,37
34,60
35,45
36,43
37,19
38,25
39,25
40,19
41,30
42,48
43,50
44,27
45,17
46,33
47,20
48,20
49,40
50,50
51,23
52,19
53,16
54,26
55,26
56,42
57,51
58,23
59,36
60,26
61,43
62,46
63,38
64,58
65,33
66,17
67,23
68,22
69,31
70,45
71,56
72,20
73,29
74,22
75,30
76,35
77,49
78,45
79,31
80,25
81,37
82,26
83,37
84,54
85,47
86,23
87,20
88,25
89,20
90,32
91,41
92,49
93,25
94,33
95,30
96,27
97,31
98,48
99,38
100,30
101,36
102,25
103,23
104,39
105,34
106,38
107,21
108,25
109,23
110,28
111,35
112,41
113,33
114,24
115,27
116,29
117,32
118,22
119,42
120,29
121,33
122,18
123,20
124,13
125,38
126,38
127,47
128,26
129,33
130,31
131,32
132,33
133,36
134,56
135,22
136,30
137,39
138,48
139,30
140,45
141,36
142,28
143,33
144,23
145,29
146,27
147,33
148,38
149,27
150,21
151,18
152,37
153,43
154,42
155,53
156,33
157,27
158,24
159,20
160,42
161,33
162,40
163,20
164,12
165,18
166,23
167,38
168,31
169,53
170,27
171,21
172,24
173,31
174,35
175,31
176,42
177,35
178,20
179,21
180,27
181,27
182,31
183,42
184,30
185,23
186,34
187,35
188,38
189,30
190,49
191,28
192,29
193,39
194,34
195,46
196,46
197,40
198,23
199,32
200,39
201,29
202,26
203,53
204,39
205,30
206,30
207,30
208,20
209,27
210,30
211,49
212,16
213,21
214,22
215,26
216,29
217,47
218,27
219,36
220,26
221,28
222,19
223,34
224,37
225,40
226,22
227,16
228,31
229,16
230,37
231,33
232,42
233,27
234,26
235,36
236,20
237,30
238,48
239,28
240,27
241,17
242,21
243,17
244,34
245,44
246,47
247,17
248,23
249,23
250,15
251,36
252,51
253,42
254,20
255,32
256,21
257,34
258,26
259,36
260,45
261,26
262,15
263,21
264,28
265,35
266,30
267,37
268,25
269,39
270,28
271,29
272,41
273,35
274,54
275,33
276,28
277,34
278,41
279,44
280,47
281,47
282,43
283,22
284,22
285,28
286,30
287,43
288,36
289,22
290,18
291,24
292,26
293,44
294,37
295,22
296,26
297,29
298,30
299,49
300,43
301,33
302,42
303,26
304,19
305,23
306,28
307,37
308,49
309,44
310,16
311,13
312,0
313,23
314,43
315,50
316,54
317,37
318,30
319,31
320,31
321,51
322,60
323,49
324,24
325,36
326,39
327,45
328,62
329,45
330,6
331,29
332,34
333,30
334,19
335,42
336,35
337,17
338,26
339,19
340,24
341,19
342,31
343,37
344,36
345,24
346,17
347,28
348,31
349,26
350,35
351,36
352,30
353,21
354,28
355,25
356,26
357,39
358,31
359,23
360,24
361,24
362,27
363,33
364,48
365,33
366,20
367,14
368,37
369,29
370,33
371,53
372,37
373,34
374,22
375,38
376,31
377,30
378,45
379,52
380,30
381,40
382,27
383,3
384,0
385,39
386,35
387,29
388,24
389,37
390,21
391,37
392,37
393,27
394,29
395,24
396,18
397,33
398,43
399,55
400,38
401,29
402,24
403,27
404,30
405,26
406,34
407,33
408,28
409,22
410,18
411,22
412,32
413,52
414,39
415,19
416,24
417,22
418,35
419,25
420,43
421,23
422,11
423,17
424,25
425,20
426,26
427,48
428,36
429,29
430,24
431,20
432,28
433,35
434,59
435,52
436,22
437,15
438,20
439,34
440,32
441,51
442,51
443,23
444,34
445,25
446,24
447,39
448,52
449,44
450,26
451,30
452,21
453,20
454,21
455,42
456,37
457,21
458,20
459,26
460,17
461,42
462,41
463,40
464,45
465,18
466,27
467,18
468,33
469,40
470,36
471,33
472,18
473,24
474,24
475,35
476,41
477,36
478,24
479,31
480,31
481,23
482,26
483,50
484,31
485,40
486,24
487,36
488,24
489,31
490,33
491,42
492,27
493,27
494,37
495,31
496,36
497,28
498,56
499,32
500,25
501,35
502,28
503,43
504,47
505,51
506,33
507,27
508,33
509,22
510,31
511,33
512,54
513,32
514,29
515,26
516,27
517,35
518,44
519,46
520,29
521,49
522,38
523,31
524,36
525,35
526,37
527,25
528,33
529,40
530,45
531,37
532,53
533,37
534,39
535,29
536,23
537,24
538,27
539,50
540,45
541,30
542,29
543,25
544,20
545,36
546,45
547,45
548,28
549,31
550,28
551,31
552,36
553,42
554,37
555,24
556,29
557,27
558,29
559,50
560,60
561,47
562,30
563,29
564,32
565,32
566,38
567,36
568,59
569,21
570,32
571,17
572,18
573,27
574,38
575,35
576,26
577,22
578,31
579,23
580,29
581,54
582,42
583,29
584,30
585,27
586,17
587,33
588,29
589,36
590,20
591,25
592,24
593,47
594,47
595,42
596,29
597,23
598,29
599,29
600,27
601,36
602,42
603,40
604,26
605,23
606,21
607,20
608,32
609,37
610,42
611,30
612,27
613,28
614,32
615,40
616,47
617,35
618,18
619,28
620,17
621,27
622,31
623,51
624,37
625,25
626,21
627,37
628,31
629,21
630,33
631,36
632,31
633,23
634,27
635,26
636,40
637,42
638,35
639,16
640,25
641,16
642,28
643,25
644,51
645,40
646,23
647,22
648,16
649,23
650,31
651,49
652,63
653,23
654,17
655,29
656,28
657,32
658,39
659,45
660,21
661,29
662,28
663,47
664,49
665,51
666,36
667,19
668,24
669,19
670,28
671,22
672,53
673,35
674,48
675,20
676,26
677,38
678,40
679,40
680,48
681,31
682,31
683,27
684,31
685,48
686,52
687,54
688,45
689,32
690,43
691,37
692,58
693,56
694,55
695,35
696,1
697,20
698,30
699,27
700,25
701,33
702,23
703,21
704,29
705,33
706,30
707,37
708,34
709,23
710,26
711,13
712,24
713,21
714,31
715,35
716,20
717,12
718,25
719,30
720,28
721,43
722,26
723,21
724,11
725,9
726,17
727,29
728,31
729,40
730,12
731,18
732,19
733,14
734,43
735,41
736,26
737,21
738,22
739,20
740,18
741,29
742,29
743,41
744,28
745,22
746,29
747,19
748,41
749,47
750,29
751,23
752,18
753,16
754,17
755,29
756,35
757,39
758,15
759,16
760,13
761,28
762,31
763,38
764,34
765,26
766,15
767,12
768,19
769,24
770,31
771,28
772,27
773,20
774,27
775,25
776,33
777,53
778,34
779,22
780,21
781,25
782,22
783,18
784,42
785,31
786,17
787,25
788,19
789,18
790,40
791,29
792,30
793,24
794,17
795,16
796,23
797,29
798,44
799,26
800,30
801,22
802,25
803,29
804,18
805,38
806,38
807,32
808,17
809,13
810,32
811,26
812,53
813,44
814,24
815,28
816,21
817,25
818,30
819,31
820,33
821,9
822,30
823,27
824,36
825,26
826,50
827,39
828,14
829,26
830,25
831,25
832,25
833,36
834,52
835,24
836,25
837,30
838,27
839,28
840,33
841,35
842,32
843,21
844,27
845,19
846,24
847,29
848,31
849,29
850,24
851,18
852,22
853,29
854,35
855,38
856,30
857,18
858,20
859,30
860,35
861,40
862,33
863,27
864,23
865,23
866,20
867,28
868,48
869,33
870,21
871,20
872,28
873,32
874,27
875,29
876,35
877,20
878,25
879,35
880,34
881,34
882,60
883,58
884,32
885,33
886,45
887,56
888,33
889,41
890,29
891,21
892,28
893,25
894,31
895,37
896,49
897,51
898,18
899,23
900,26
901,24
902,35
903,47
904,37
905,30
906,19
907,30
908,27
909,44
910,54
911,44
912,23
913,26
914,23
915,39
916,32
917,43
918,55
919,38
920,23
921,35
922,19
923,33
924,35
925,44
926,34
927,33
928,29
929,38
930,39
931,57
932,50
933,42
934,33
935,35
936,37
937,27
938,39
939,49
940,22
941,17
942,21
943,26
944,34
945,43
946,45
947,47
948,31
949,22
950,23
951,35
952,42
953,44
954,29
955,28
956,26
957,23
958,39
959,31
960,38
961,28
962,25
963,27
964,34
965,22
966,28
967,52
968,27
969,23
970,30
971,30
972,31
973,31
974,36
975,20
976,24
977,31
978,33
979,34
980,40
981,48
982,40
983,23
984,22
985,26
986,30
987,48
988,35
989,33
990,26
991,30
992,41
993,24
994,47
995,34
996,25
997,18
998,27
999,19
1000,38
1001,45
1002,35
1003,24
1004,27
1005,51
1006,31
1007,34
1008,45
1009,48
1010,20
1011,29
1012,19
1013,26
1014,38
1015,41
1016,29
1017,30
1018,23
1019,26
1020,18
1021,34
1022,31
1023,42
1024,24
1025,19
1026,19
1027,28
1028,42
1029,47
1030,40
1031,28
1032,23
1033,35
1034,53
1035,51
1036,49
1037,32
1038,25
1039,23
1040,26
1041,20
1042,41
1043,46
1044,34
1045,17
1046,15
1047,43
1048,25
1049,38
1050,62
1051,44
1052,26
1053,24
1054,35
1055,31
1056,56
1057,57
1058,56
1059,55
1060,33
1061,1
1062,46
1063,16
1064,32
1065,34
1066,24
1067,30
1068,20
1069,18
1070,26
1071,29
1072,28
1073,21
1074,24
1075,20
1076,28
1077,30
1078,40
1079,33
1080,28
1081,27
1082,18
1083,23
1084,41
1085,26
1086,35
1087,26
1088,22
1089,25
1090,21
1091,27
1092,38
1093,40
1094,20
1095,17
1096,27
1097,14
1098,20
1099,30
1100,23
1101,17
1102,16
1103,18
1104,22
1105,23
1106,36
1107,39
1108,22
1109,26
1110,17
1111,36
1112,36
1113,41
1114,30
1115,20
1116,20
1117,26
1118,19
1119,35
1120,38
1121,32
1122,22
1123,26
1124,18
1125,27
1126,24
1127,37
1128,37
1129,17
1130,27
