id,low,hi,m,q,cost
0,0,17,-40.3907,27323.4,305548
1,0,18,-36.0969,27299.1,311061
2,0,19,-15.063,27172.9,697912
3,0,20,-3.7093,27101,818272
4,0,21,4.34494,27047.3,881104
5,0,22,5.1793,27041.5,862765
6,0,23,1.7731,27066.4,864572
7,0,24,3.07084,27056.5,850461
8,0,25,2.57391,27060.5,834513
9,0,26,2.50781,27061,818924
10,0,27,-7.60527,27148.7,1.11021e+06
11,0,28,-5.5152,27129.9,1.10572e+06
12,0,29,-9.5405,27167.4,1.14919e+06
13,0,30,-11.7965,27189.2,1.15242e+06
14,0,31,-13.7464,27208.7,1.1526e+06
15,0,32,-18.6534,27259.4,1.2646e+06
16,0,33,-22.2015,27297.3,1.32122e+06
17,0,34,-25.2488,27330.8,1.36385e+06
18,0,35,-27.6289,27357.8,1.38635e+06
19,0,36,-32.914,27419.4,1.59346e+06
20,0,37,-35.4453,27449.8,1.62935e+06
21,0,38,-34.5816,27439.2,1.6156e+06
22,0,39,-33.0443,27419.7,1.6205e+06
23,0,40,-32.214,27408.9,1.60865e+06
24,0,41,-29.6794,27375.1,1.67094e+06
25,0,42,-22.7061,27279.8,2.32251e+06
26,0,43,-11.4217,27121.8,4.2028e+06
27,0,44,-1.87673,26985,5.63335e+06
28,0,45,8.65494,26830.5,7.5164e+06
29,0,46,17.4848,26698.1,8.91125e+06
30,0,47,25.0368,26582.3,9.9807e+06
31,0,48,31.1275,26486.9,1.0692e+07
32,0,49,37.4241,26386.1,1.15186e+07
33,0,50,41.5619,26318.6,1.18379e+07
34,0,51,45.9316,26245.7,1.22404e+07
35,0,52,49.7955,26180,1.25567e+07
36,0,53,53.373,26118,1.28359e+07
37,0,54,56.53,26062.3,1.30478e+07
38,0,55,60.2613,25995.1,1.34207e+07
39,0,56,62.8164,25948.2,1.3547e+07
40,0,57,64.5442,25916,1.35487e+07
41,0,58,64.9675,25907.9,1.34409e+07
42,0,59,65.9531,25888.9,1.33721e+07
43,0,60,66.6614,25875,1.32859e+07
44,0,61,67.0146,25867.9,1.31846e+07
45,0,62,67.5974,25856.1,1.30977e+07
46,0,63,68.3276,25841,1.30251e+07
47,0,64,68.5762,25835.7,1.29282e+07
48,0,65,70.1811,25801.5,1.29919e+07
49,0,66,70.0503,25804.3,1.28957e+07
50,0,67,69.7921,25810,1.28052e+07
51,0,68,69.411,25818.5,1.27227e+07
52,0,69,68.8533,25831.2,1.26556e+07
53,0,70,67.921,25852.6,1.26369e+07
54,0,71,67.0522,25872.9,1.26134e+07
55,0,72,66.0429,25896.8,1.26182e+07
56,0,73,65.1682,25917.8,1.26047e+07
57,0,74,64.1488,25942.6,1.2623e+07
