id,low,hi,m,q,cost
0,0,12,0.0722637,86.4803,2.31667
1,0,13,0.0578154,86.5381,2.28528
2,0,14,0.0105286,86.743,2.39707
3,0,15,-0.0592191,87.0685,2.73737
4,0,16,-0.0984338,87.2645,2.83378
5,0,17,-0.132594,87.4467,2.91801
6,0,18,-0.101663,87.2714,2.99944
7,0,19,-0.0287752,86.8341,3.67542
8,0,20,0.0515545,86.3254,4.47774
9,0,21,0.123483,85.8458,5.1089
10,0,22,0.170337,85.5179,5.36375
11,0,23,0.231981,85.0658,5.89114
12,0,24,0.286624,84.6469,6.32108
13,0,25,0.307013,84.4838,6.33515
14,0,26,0.301163,84.5325,6.28281
15,0,27,0.318986,84.378,6.30183
16,0,28,0.322554,84.3459,6.25024
17,0,29,0.311928,84.4451,6.23228
18,0,30,0.292695,84.631,6.30892
19,0,31,0.273942,84.8186,6.39309
20,0,32,0.277376,84.7831,6.3491
21,0,33,0.282542,84.728,6.31456
22,0,34,0.299873,84.5373,6.42602
23,0,35,0.308869,84.4354,6.42729
24,0,36,0.325744,84.2385,6.56138
25,0,37,0.339428,84.0743,6.64433
26,0,38,0.360661,83.8124,6.92645
27,0,39,0.363594,83.7753,6.88941
28,0,40,0.355514,83.8803,6.90236
29,0,41,0.349586,83.9593,6.89333
30,0,42,0.340002,84.0903,6.94477
31,0,43,0.332316,84.1979,6.96873
32,0,44,0.324566,84.309,6.99962
33,0,45,0.310247,84.519,7.21483
34,0,46,0.295557,84.7394,7.45521
35,0,47,0.287778,84.8587,7.49881
36,0,48,0.287445,84.8639,7.46041
37,0,49,0.275067,85.0619,7.66213
38,0,50,0.267838,85.18,7.71042
39,0,51,0.261307,85.2888,7.74795
40,0,52,0.257226,85.3582,7.74236
41,0,53,0.257118,85.3601,7.70629
42,0,54,0.252962,85.4335,7.7081
43,0,55,0.250756,85.4732,7.6846
44,0,56,0.241378,85.6452,7.86308
45,0,57,0.228053,85.8939,8.26841
46,0,58,0.208602,86.2635,9.15407
47,0,59,0.190158,86.62,9.91842
48,0,60,0.175808,86.9023,10.362
49,0,61,0.169126,87.0359,10.4285
50,0,62,0.159921,87.2231,10.6023
51,0,63,0.151873,87.3894,10.7323
52,0,64,0.148358,87.4632,10.7251
53,0,65,0.151349,87.3994,10.7106
54,0,66,0.152621,87.3718,10.6754
55,0,67,0.159495,87.2206,10.7901
56,0,68,0.153129,87.3628,10.8886
57,0,69,0.148033,87.4783,10.9417
58,0,70,0.144349,87.563,10.9536
59,0,71,0.14141,87.6316,10.9491
60,0,72,0.142064,87.6161,10.9132
61,0,73,0.14568,87.5293,10.9326
62,0,74,0.150398,87.4145,10.9964
63,0,75,0.152098,87.3726,10.9737
64,0,76,0.153641,87.334,10.9497
65,0,77,0.155303,87.2919,10.9288
66,0,78,0.160342,87.1626,11.0314
67,0,79,0.165272,87.0344,11.1329
68,0,80,0.171189,86.8786,11.3009
69,0,81,0.178183,86.6921,11.5563
70,0,82,0.18573,86.4883,11.8651
71,0,83,0.190786,86.3501,11.9878
72,0,84,0.19801,86.1503,12.283
73,0,85,0.203973,85.9833,12.4773
74,0,86,0.211754,85.7628,12.8404
75,0,87,0.218309,85.5749,13.0917
76,0,88,0.228104,85.2909,13.7022
77,0,89,0.236494,85.0448,14.1395
78,0,90,0.241903,84.8843,14.3016
79,0,91,0.245631,84.7725,14.3611
80,0,92,0.245613,84.773,14.3224
81,0,93,0.245257,84.7839,14.2851
82,0,94,0.243396,84.8416,14.2749
83,0,95,0.237216,85.0352,14.5504
84,0,96,0.225999,85.3905,15.5366
85,0,97,0.218605,85.627,15.9377
86,0,98,0.207898,85.9733,16.818
87,0,99,0.194747,86.4028,18.1246
88,0,100,0.183938,86.7596,18.9686
89,0,101,0.174763,87.0654,19.5603
90,0,102,0.167637,87.3053,19.9018
91,0,103,0.158822,87.605,20.4563
92,0,104,0.149554,87.9232,21.0765
93,0,105,0.141321,88.2086,21.5585
94,0,106,0.130282,88.595,22.4651
95,0,107,0.119137,88.9888,23.381
96,0,108,0.109992,89.3149,23.9788
97,0,109,0.101336,89.6266,24.5131
98,0,110,0.0926652,89.9416,25.0544
99,0,111,0.0834431,90.2797,25.679
100,0,112,0.07451,90.6103,26.2656
101,0,113,0.0653403,90.9526,26.8914
102,0,114,0.0571686,91.2604,27.381
103,0,115,0.0503199,91.5207,27.7129
