id,low,hi,m,q,cost
0,0,12,-0.000523956,0.977338,-176.072
1,0,13,-0.000522132,0.97733,-190.896
2,0,14,-0.000495143,0.977213,-204.695
3,0,15,-0.000526382,0.977359,-217.72
4,0,16,-0.000462402,0.977039,-224.599
5,0,17,-0.000395181,0.976681,-231.474
6,0,18,-0.000319193,0.97625,-237.256
7,0,19,-0.000277556,0.976,-248.506
8,0,20,-0.000278584,0.976007,-262.156
9,0,21,-0.000276527,0.975993,-275.851
10,0,22,-0.000234022,0.975696,-285.126
11,0,23,-0.000245852,0.975782,-298.344
12,0,24,-0.000232762,0.975682,-311.404
13,0,25,-0.000165863,0.975147,-311.326
14,0,26,-0.000119945,0.974764,-319.002
15,0,27,-8.71045e-05,0.974479,-329.105
16,0,28,-5.9798e-05,0.974234,-339.852
17,0,29,-2.10857e-05,0.973872,-348.092
18,0,30,1.12137e-05,0.97356,-357.514
19,0,31,4.71353e-05,0.973201,-365.9
20,0,32,8.01337e-05,0.97286,-374.742
21,0,33,0.000105322,0.972591,-384.937
22,0,34,0.000108787,0.972553,-397.373
23,0,35,0.000112568,0.97251,-409.82
24,0,36,0.000123822,0.972379,-421.681
25,0,37,0.000131107,0.972292,-433.911
26,0,38,0.00013067,0.972297,-446.481
27,0,39,0.000127037,0.972343,-458.976
28,0,40,0.000128345,0.972326,-471.583
29,0,41,0.000122471,0.972404,-483.886
30,0,42,0.000115341,0.972502,-495.987
31,0,43,0.00010761,0.97261,-507.928
32,0,44,0.000100494,0.972712,-519.926
33,0,45,9.17126e-05,0.972841,-531.474
34,0,46,6.70062e-05,0.973211,-535.133
35,0,47,3.90708e-05,0.97364,-537.198
36,0,48,1.13112e-05,0.974075,-540.178
37,0,49,-4.80384e-06,0.974332,-549.254
38,0,50,-2.13023e-05,0.974602,-558.021
39,0,51,-4.413e-05,0.974982,-563.666
40,0,52,-6.79407e-05,0.975387,-568.848
41,0,53,-8.26202e-05,0.975642,-578.108
42,0,54,-9.72504e-05,0.9759,-587.241
43,0,55,-0.000112723,0.976179,-595.906
44,0,56,-0.000139122,0.976663,-598.716
45,0,57,-0.000164165,0.97713,-602.724
46,0,58,-0.000187501,0.977573,-607.838
47,0,59,-0.000200028,0.977816,-617.383
48,0,60,-0.00021152,0.978042,-627.123
49,0,61,-0.000218676,0.978185,-637.828
50,0,62,-0.000225413,0.978322,-648.573
51,0,63,-0.000235063,0.978521,-658.551
52,0,64,-0.000237451,0.978571,-669.854
53,0,65,-0.00024111,0.978649,-681.03
54,0,66,-0.000245319,0.978741,-692.118
55,0,67,-0.000244928,0.978732,-703.548
56,0,68,-0.000243881,0.978709,-714.973
57,0,69,-0.0002469,0.978777,-726.222
58,0,70,-0.000251353,0.978879,-737.199
59,0,71,-0.00025493,0.978963,-748.339
60,0,72,-0.00025886,0.979056,-759.391
61,0,73,-0.000264394,0.979189,-769.964
62,0,74,-0.000264545,0.979192,-781.465
63,0,75,-0.000266608,0.979243,-792.833
64,0,76,-0.000270964,0.979352,-803.667
65,0,77,-0.000276016,0.97948,-814.216
66,0,78,-0.000277954,0.97953,-825.594
67,0,79,-0.000280057,0.979585,-836.945
68,0,80,-0.000280752,0.979603,-848.475
69,0,81,-0.000282129,0.97964,-859.948
70,0,82,-0.000279397,0.979566,-871.137
71,0,83,-0.000278268,0.979535,-882.651
72,0,84,-0.000280041,0.979584,-894.064
73,0,85,-0.000280843,0.979607,-905.629
74,0,86,-0.000282108,0.979642,-917.142
75,0,87,-0.000281518,0.979625,-928.745
76,0,88,-0.000281452,0.979624,-940.383
77,0,89,-0.000280458,0.979594,-951.957
78,0,90,-0.000277952,0.97952,-963.107
79,0,91,-0.000274941,0.97943,-973.998
80,0,92,-0.000271671,0.979331,-984.712
81,0,93,-0.00027232,0.97935,-996.342
82,0,94,-0.000270328,0.979289,-1007.63
83,0,95,-0.000266615,0.979172,-1017.9
84,0,96,-0.000263539,0.979075,-1028.57
85,0,97,-0.000260801,0.978987,-1039.41
86,0,98,-0.000254206,0.978774,-1046.13
87,0,99,-0.000246915,0.978536,-1051.73
88,0,100,-0.000239813,0.978302,-1057.64
89,0,101,-0.00023192,0.978038,-1062.26
90,0,102,-0.000224679,0.977795,-1067.99
91,0,103,-0.000218324,0.977579,-1075
92,0,104,-0.000211748,0.977353,-1081.65
93,0,105,-0.000208124,0.977227,-1091.55
94,0,106,-0.000203434,0.977063,-1100.38
95,0,107,-0.00019942,0.976921,-1109.83
96,0,108,-0.000195829,0.976793,-1119.6
97,0,109,-0.000193391,0.976705,-1130.2
98,0,110,-0.000192489,0.976673,-1141.44
99,0,111,-0.00019062,0.976604,-1152.31
100,0,112,-0.000189709,0.97657,-1163.55
101,0,113,-0.000189093,0.976547,-1174.86
102,0,114,-0.000191517,0.976639,-1185.32
103,0,115,-0.000193424,0.976711,-1196.11
104,0,116,-0.000194582,0.976756,-1207.26
105,0,117,-0.000197517,0.976869,-1217.15
106,0,118,-0.000201573,0.977027,-1225.6
107,0,119,-0.000204532,0.977144,-1235.36
108,0,120,-0.000205417,0.977179,-1246.58
109,0,121,-0.000207878,0.977277,-1256.76
110,0,122,-0.000209635,0.977348,-1267.5
111,0,123,-0.000210425,0.97738,-1278.74
112,0,124,-0.000209731,0.977352,-1290.02
113,0,125,-0.000207341,0.977253,-1300.11
114,0,126,-0.000203166,0.977079,-1307.47
115,0,127,-0.000200483,0.976966,-1317.14
116,0,128,-0.000196699,0.976806,-1325.07
117,0,129,-0.000191954,0.976604,-1331
118,0,130,-0.000187731,0.976422,-1338.01
119,0,131,-0.00018405,0.976262,-1345.99
120,0,132,-0.000180363,0.976101,-1353.91
121,0,133,-0.000176606,0.975936,-1361.64
122,0,134,-0.000172717,0.975764,-1369.06
123,0,135,-0.000168849,0.975591,-1376.46
124,0,136,-0.000164237,0.975383,-1382.23
125,0,137,-0.000161113,0.975242,-1390.88
126,0,138,-0.00015765,0.975084,-1398.9
127,0,139,-0.000153674,0.974901,-1405.86
128,0,140,-0.00014931,0.974699,-1411.94
129,0,141,-0.000146132,0.97455,-1420.32
130,0,142,-0.000143586,0.974431,-1429.62
131,0,143,-0.000140551,0.974287,-1438.13
132,0,144,-0.000137398,0.974137,-1446.38
133,0,145,-0.000134556,0.974,-1455.1
134,0,146,-0.000131593,0.973857,-1463.57
135,0,147,-0.000130549,0.973806,-1474.26
136,0,148,-0.000131025,0.97383,-1485.21
137,0,149,-0.00013352,0.973953,-1494.26
138,0,150,-0.000135748,0.974063,-1503.68
139,0,151,-0.000138108,0.974181,-1512.85
140,0,152,-0.000141054,0.97433,-1520.94
141,0,153,-0.000143087,0.974433,-1530.52
142,0,154,-0.000144446,0.974502,-1540.87
143,0,155,-0.000146091,0.974586,-1550.89
144,0,156,-0.000147742,0.974672,-1560.87
145,0,157,-0.000148608,0.974717,-1571.59
146,0,158,-0.00014813,0.974692,-1582.5
147,0,159,-0.000148729,0.974723,-1593.36
148,0,160,-0.000149591,0.974769,-1604.06
149,0,161,-0.00015086,0.974837,-1614.39
150,0,162,-0.000152291,0.974913,-1624.51
151,0,163,-0.000153998,0.975006,-1634.21
152,0,164,-0.000155648,0.975095,-1643.97
153,0,165,-0.000156999,0.975169,-1654.13
154,0,166,-0.000158371,0.975245,-1664.23
155,0,167,-0.000161118,0.975397,-1671.54
156,0,168,-0.000164223,0.975569,-1677.77
157,0,169,-0.000168237,0.975794,-1680.85
158,0,170,-0.000171914,0.976001,-1685.24
159,0,171,-0.000175211,0.976188,-1690.91
160,0,172,-0.000178869,0.976397,-1695.38
161,0,173,-0.000181796,0.976564,-1702.13
162,0,174,-0.000184543,0.976723,-1709.33
163,0,175,-0.000187572,0.976899,-1715.7
164,0,176,-0.000189864,0.977032,-1723.93
165,0,177,-0.000191756,0.977143,-1732.94
166,0,178,-0.000193341,0.977237,-1742.45
167,0,179,-0.000194937,0.977331,-1751.92
168,0,180,-0.000195909,0.977389,-1762.2
169,0,181,-0.000196764,0.977441,-1772.59
170,0,182,-0.000196912,0.97745,-1783.37
171,0,183,-0.000196395,0.977418,-1794.01
172,0,184,-0.000195586,0.977369,-1804.42
173,0,185,-0.000194861,0.977324,-1814.91
174,0,186,-0.000194328,0.977292,-1825.54
175,0,187,-0.000194646,0.977311,-1836.28
176,0,188,-0.000194706,0.977315,-1847.1
177,0,189,-0.00019529,0.977352,-1857.69
178,0,190,-0.000196453,0.977425,-1867.59
179,0,191,-0.000197328,0.97748,-1877.88
180,0,192,-0.000198606,0.977562,-1887.54
181,0,193,-0.000199657,0.977629,-1897.56
182,0,194,-0.000200335,0.977673,-1908.05
183,0,195,-0.000200858,0.977706,-1918.67
184,0,196,-0.000201328,0.977737,-1929.33
185,0,197,-0.000200735,0.977698,-1939.89
186,0,198,-0.000200231,0.977665,-1950.52
187,0,199,-0.000199322,0.977605,-1960.68
188,0,200,-0.0001985,0.977551,-1970.94
189,0,201,-0.000196652,0.977427,-1978.81
190,0,202,-0.000194885,0.977309,-1986.9
191,0,203,-0.000193436,0.977211,-1995.85
192,0,204,-0.000191731,0.977096,-2004.05
193,0,205,-0.000189837,0.976967,-2011.58
194,0,206,-0.000187686,0.97682,-2018.13
195,0,207,-0.000185839,0.976693,-2025.76
196,0,208,-0.000183837,0.976555,-2032.8
197,0,209,-0.000181761,0.976411,-2039.53
198,0,210,-0.000179537,0.976256,-2045.62
199,0,211,-0.000177594,0.97612,-2052.79
200,0,212,-0.000175772,0.975992,-2060.35
201,0,213,-0.000173535,0.975834,-2066.28
202,0,214,-0.000171078,0.97566,-2071.2
203,0,215,-0.000168272,0.97546,-2074.4
204,0,216,-0.000165729,0.975277,-2078.96
205,0,217,-0.000162949,0.975077,-2082.36
206,0,218,-0.000160315,0.974887,-2086.53
207,0,219,-0.000157791,0.974703,-2091.23
208,0,220,-0.000155466,0.974534,-2096.8
209,0,221,-0.000153221,0.974369,-2102.69
210,0,222,-0.000150612,0.974177,-2106.94
211,0,223,-0.000148022,0.973985,-2111.3
212,0,224,-0.000145576,0.973803,-2116.31
213,0,225,-0.000142771,0.973594,-2119.63
214,0,226,-0.000140002,0.973386,-2123.17
215,0,227,-0.000136902,0.973153,-2125.03
216,0,228,-0.000133136,0.972868,-2123.1
217,0,229,-0.000130006,0.97263,-2125.12
218,0,230,-0.00012641,0.972355,-2124.66
219,0,231,-0.000122449,0.972052,-2122.24
220,0,232,-0.000118536,0.97175,-2120.45
221,0,233,-0.000115452,0.971512,-2123.3
222,0,234,-0.000112318,0.971268,-2125.96
223,0,235,-0.000109436,0.971044,-2129.79
224,0,236,-0.000105997,0.970774,-2131.05
225,0,237,-0.000102523,0.970501,-2132.23
226,0,238,-9.92967e-05,0.970246,-2134.7
227,0,239,-9.60306e-05,0.969987,-2137.04
228,0,240,-9.23177e-05,0.969691,-2137.26
229,0,241,-8.89356e-05,0.969421,-2139.23
230,0,242,-8.56143e-05,0.969154,-2141.55
231,0,243,-8.28471e-05,0.968931,-2146.17
232,0,244,-8.04335e-05,0.968735,-2152.03
233,0,245,-7.84802e-05,0.968576,-2159.23
234,0,246,-7.65241e-05,0.968416,-2166.39
235,0,247,-7.43832e-05,0.968241,-2172.98
236,0,248,-7.23267e-05,0.968072,-2179.8
237,0,249,-7.03285e-05,0.967906,-2186.75
238,0,250,-6.83197e-05,0.96774,-2193.64
239,0,251,-6.59493e-05,0.967542,-2199.36
240,0,252,-6.33847e-05,0.967328,-2204.36
241,0,253,-6.08244e-05,0.967112,-2209.36
242,0,254,-5.83761e-05,0.966906,-2214.74
243,0,255,-5.61893e-05,0.966721,-2220.98
244,0,256,-5.36154e-05,0.966502,-2225.85
245,0,257,-5.09713e-05,0.966276,-2230.43
246,0,258,-4.89181e-05,0.966101,-2237.02
247,0,259,-4.70472e-05,0.96594,-2244.1
248,0,260,-4.5071e-05,0.965769,-2250.85
249,0,261,-4.30888e-05,0.965597,-2257.55
250,0,262,-4.11348e-05,0.965427,-2264.31
251,1,13,-0.000475604,0.976912,-178.512
252,1,14,-0.000451407,0.976791,-192.766
253,1,15,-0.000492643,0.97701,-205.01
254,1,16,-0.000424882,0.976626,-212.413
255,1,17,-0.000354167,0.976202,-219.764
256,1,18,-0.000274293,0.975696,-225.972
257,1,19,-0.000233,0.975421,-237.622
258,1,20,-0.000238586,0.97546,-251.314
259,1,21,-0.000240143,0.975472,-265.101
260,1,22,-0.000197081,0.975141,-274.723
261,1,23,-0.000213152,0.97527,-287.763
262,1,24,-0.000201696,0.975175,-301.075
263,1,25,-0.000131931,0.97457,-300.988
264,1,26,-8.50906e-05,0.974148,-308.952
265,1,27,-5.23993e-05,0.973843,-319.349
266,1,28,-2.56212e-05,0.973584,-330.379
267,1,29,1.34039e-05,0.973194,-338.864
268,1,30,4.55573e-05,0.972862,-348.544
269,1,31,8.15806e-05,0.972478,-357.155
270,1,32,0.000114489,0.972116,-366.226
271,1,33,0.000139121,0.971836,-376.671
272,1,34,0.000140802,0.971817,-389.241
273,1,35,0.000142969,0.971791,-401.831
