id,low,hi,m,q,cost
0,0,12,-0.0019549,1.09807,2.29602e-05
1,0,13,-0.00196083,1.09809,2.21336e-05
2,0,14,-0.00191911,1.09791,2.19282e-05
3,0,15,-0.00188282,1.09774,2.17545e-05
4,0,16,-0.00177119,1.09718,2.72706e-05
5,0,17,-0.00172823,1.09695,2.76261e-05
6,0,18,-0.00156662,1.09604,4.62437e-05
7,0,19,-0.0015153,1.09573,4.7422e-05
8,0,20,-0.00144052,1.09525,5.22302e-05
9,0,21,-0.00138359,1.09487,5.51094e-05
10,0,22,-0.00131502,1.09439,6.08426e-05
11,0,23,-0.00117379,1.09336,9.38958e-05
12,0,24,-0.00108234,1.09266,0.000108669
13,0,25,-0.000990895,1.09193,0.000125748
14,0,26,-0.000889531,1.09108,0.000150388
15,0,27,-0.000762137,1.08998,0.000196241
16,0,28,-0.000583122,1.08837,0.000301551
17,0,29,-0.000436309,1.087,0.00037903
18,0,30,-0.000324275,1.08591,0.000426911
19,0,31,-0.000232364,1.08499,0.000460926
20,0,32,-0.000116292,1.08379,0.000526399
21,0,33,-3.59578e-05,1.08294,0.000557234
22,0,34,6.66947e-06,1.08247,0.000561277
23,0,35,4.42624e-05,1.08204,0.000563797
24,0,36,9.58371e-05,1.08144,0.000577646
25,0,37,0.000122545,1.08112,0.000576339
26,0,38,0.00012649,1.08107,0.000569054
27,0,39,0.000143849,1.08085,0.000565113
28,0,40,0.000160239,1.08064,0.000561309
29,0,41,0.000164512,1.08058,0.000554818
30,0,42,0.000158697,1.08066,0.000548796
31,0,43,0.00016348,1.08059,0.000542866
32,0,44,0.000190101,1.08021,0.000548293
33,0,45,0.000222922,1.07973,0.000561187
34,0,46,0.000253294,1.07928,0.000572639
35,0,47,0.000312667,1.07837,0.000638512
36,0,48,0.000383622,1.07725,0.000742389
37,0,49,0.000446503,1.07625,0.000828088
38,0,50,0.000503487,1.07532,0.000901994
39,0,51,0.000551151,1.07452,0.000954783
40,0,52,0.000587504,1.0739,0.000984004
41,0,53,0.000605014,1.0736,0.000984337
42,0,54,0.000617211,1.07339,0.000980259
43,0,55,0.000615302,1.07342,0.000971596
44,0,56,0.000610164,1.07351,0.000964024
45,0,57,0.000609363,1.07353,0.000955703
46,0,58,0.000590725,1.07388,0.000962271
47,0,59,0.00058038,1.07408,0.000959025
48,0,60,0.000565868,1.07437,0.000961159
49,0,61,0.000553428,1.07462,0.000961182
50,0,62,0.000531828,1.07506,0.000978422
51,0,63,0.000512495,1.07546,0.000991835
52,0,64,0.000501321,1.07569,0.000991617
53,0,65,0.00049052,1.07592,0.000991415
54,0,66,0.000474182,1.07628,0.00100169
55,0,67,0.000461038,1.07656,0.00100638
56,0,68,0.000448926,1.07684,0.00100985
57,0,69,0.000432782,1.0772,0.00102279
58,0,70,0.000413407,1.07765,0.00104612
59,0,71,0.000394478,1.07809,0.00106947
60,0,72,0.000373372,1.07859,0.00110211
61,0,73,0.000353502,1.07906,0.00113183
62,0,74,0.000334908,1.07952,0.00115841
63,0,75,0.000319733,1.07989,0.00117459
64,0,76,0.00030023,1.08038,0.00120816
65,0,77,0.000283757,1.0808,0.00123116
66,0,78,0.000261907,1.08136,0.00127998
67,0,79,0.000241251,1.08189,0.00132487
68,0,80,0.000224414,1.08234,0.0013534
69,0,81,0.000212429,1.08266,0.00136455
70,0,82,0.000206559,1.08282,0.00136117
71,0,83,0.000193492,1.08317,0.00137819
72,0,84,0.000175565,1.08367,0.00141941
73,0,85,0.000160212,1.0841,0.00144885
74,0,86,0.000140415,1.08466,0.00150582
75,0,87,0.00012168,1.0852,0.00155815
76,0,88,0.000102112,1.08576,0.0016185
77,0,89,8.52324e-05,1.08626,0.001663
78,0,90,7.16927e-05,1.08666,0.00168964
79,0,91,5.91695e-05,1.08704,0.00171226
80,0,92,4.60889e-05,1.08743,0.0017391
81,0,93,2.7274e-05,1.08801,0.00180731
82,0,94,1.16502e-05,1.08849,0.00185324
83,0,95,-1.45208e-06,1.08891,0.00188403
84,0,96,-1.44298e-05,1.08932,0.00191548
85,0,97,-2.84148e-05,1.08976,0.00195526
86,0,98,-4.10355e-05,1.09017,0.00198721
87,0,99,-5.36655e-05,1.09058,0.00202067
88,0,100,-6.88391e-05,1.09109,0.00207554
89,0,101,-8.43642e-05,1.0916,0.00213569
90,0,102,-0.000102549,1.09222,0.00222518
91,0,103,-0.00011651,1.09269,0.00227536
92,0,104,-0.000129474,1.09313,0.00231882
93,0,105,-0.000146119,1.09371,0.00240044
94,0,106,-0.000162211,1.09428,0.00247864
95,0,107,-0.000175571,1.09475,0.00253083
96,0,108,-0.000186141,1.09512,0.00256038
97,0,109,-0.000195029,1.09544,0.00257879
98,0,110,-0.000202801,1.09573,0.00259089
99,0,111,-0.000208839,1.09595,0.00259408
100,0,112,-0.000213557,1.09612,0.00259189
101,0,113,-0.00022194,1.09644,0.00261083
102,0,114,-0.000230476,1.09676,0.00263189
103,0,115,-0.000237028,1.09701,0.00264023
104,0,116,-0.000242332,1.09721,0.00264223
105,0,117,-0.000248744,1.09746,0.00265104
106,0,118,-0.000252717,1.09761,0.0026478
107,0,119,-0.000256246,1.09775,0.00264319
108,0,120,-0.000256253,1.09775,0.00263224
109,0,121,-0.000259136,1.09787,0.00262598
110,0,122,-0.000262884,1.09802,0.00262321
111,0,123,-0.000266459,1.09816,0.00262003
112,0,124,-0.000269841,1.0983,0.00261635
