id,low,hi,m,q,cost
0,0,11,-0.0297901,29.1455,-30.2673
1,0,12,-0.0462087,29.2057,-30.8491
2,0,13,-0.046923,29.2086,-34.4981
3,0,14,-0.0499642,29.2217,-38.0315
4,0,15,-0.0608235,29.2724,-38.5726
5,0,16,-0.0582598,29.2596,-42.0163
6,0,17,-0.0522806,29.2277,-44.1879
7,0,18,-0.0501754,29.2158,-47.642
8,0,19,-0.0466391,29.1946,-50.5226
9,0,20,-0.0548441,29.2465,-49.1409
10,0,21,-0.0562055,29.2556,-52.5428
11,0,22,-0.0590217,29.2753,-55.3133
12,0,23,-0.0568,29.259,-58.3033
13,0,24,-0.0522385,29.2241,-58.9291
14,0,25,-0.0467521,29.1802,-57.9086
15,0,26,-0.0390904,29.1163,-52.8846
16,0,27,-0.0328161,29.0619,-50.7201
17,0,28,-0.0306995,29.0429,-53.0662
18,0,29,-0.029168,29.0286,-55.68
19,0,30,-0.0279798,29.0171,-58.4342
20,0,31,-0.0292284,29.0296,-61.1344
21,0,32,-0.0302674,29.0403,-63.9279
22,0,33,-0.0294683,29.0318,-66.8359
23,0,34,-0.0286106,29.0224,-69.7053
24,0,35,-0.02839,29.0199,-72.8381
25,0,36,-0.0259483,28.9914,-73.3363
26,0,37,-0.0243342,28.972,-75.2008
27,0,38,-0.02467,28.9762,-78.2705
28,0,39,-0.0269531,29.0051,-78.3115
29,0,40,-0.0278136,29.0163,-80.9371
30,0,41,-0.0277668,29.0156,-84.0546
31,0,42,-0.0266868,29.0009,-86.2538
32,0,43,-0.0236061,28.9578,-81.5945
33,0,44,-0.0194005,28.8975,-71.6941
34,0,45,-0.0161104,28.8492,-67.333
35,0,46,-0.0130203,28.8029,-63.8775
36,0,47,-0.010089,28.7579,-60.9969
37,0,48,-0.00777143,28.7216,-59.994
38,0,49,-0.00614982,28.6957,-60.5953
39,0,50,-0.00453936,28.6694,-61.0918
40,0,51,-0.00344617,28.6511,-62.5033
41,0,52,-0.0023601,28.6327,-63.8561
42,0,53,-0.00144616,28.6168,-65.438
43,0,54,-0.000469693,28.5996,-66.8517
44,0,55,0.00112099,28.571,-66.6
45,0,56,0.00236648,28.5481,-67.2375
46,0,57,0.00274694,28.541,-69.3656
47,0,58,0.00210228,28.5533,-71.1555
48,0,59,0.00125424,28.5697,-72.5065
49,0,60,0.000595985,28.5826,-74.2011
50,0,61,0.000351794,28.5875,-76.4351
51,0,62,-0.000435866,28.6035,-77.739
52,0,63,-0.00100709,28.6153,-79.4974
53,0,64,-0.00127403,28.6209,-81.7093
54,0,65,-0.00185492,28.6333,-83.3759
55,0,66,-0.0023697,28.6445,-85.1596
56,0,67,-0.00324655,28.6638,-85.7403
57,0,68,-0.00418195,28.6846,-85.9688
58,0,69,-0.00526375,28.7092,-85.3569
59,0,70,-0.00632092,28.7335,-84.7654
60,0,71,-0.00711396,28.752,-85.3568
61,0,72,-0.00789121,28.7704,-85.9292
62,0,73,-0.00847967,28.7845,-87.1725
63,0,74,-0.00948705,28.809,-86.3038
64,0,75,-0.0102227,28.8272,-86.8154
65,0,76,-0.0106525,28.8379,-88.4294
66,0,77,-0.0105821,28.8361,-90.6536
67,0,78,-0.0105543,28.8354,-92.9055
68,0,79,-0.0106299,28.8374,-95.15
69,0,80,-0.0109704,28.8463,-96.93
70,0,81,-0.0115591,28.862,-97.6468
71,0,82,-0.0121479,28.8779,-98.2896
72,0,83,-0.0128031,28.8959,-98.4571
73,0,84,-0.0133862,28.912,-98.9872
74,0,85,-0.0136541,28.9195,-100.856
75,0,86,-0.0140736,28.9314,-102.129
76,0,87,-0.0145539,28.9451,-103.037
77,0,88,-0.0148643,28.9541,-104.702
78,0,89,-0.015085,28.9606,-106.649
79,0,90,-0.0154239,28.9707,-108.138
80,0,91,-0.0157866,28.9815,-109.477
81,0,92,-0.0161223,28.9917,-110.912
82,0,93,-0.0166681,29.0085,-110.893
83,0,94,-0.0171495,29.0234,-111.313
84,0,95,-0.0177643,29.0427,-110.48
85,0,96,-0.0186273,29.07,-106.607
86,0,97,-0.0194951,29.0978,-102.683
87,0,98,-0.0201419,29.1187,-101.409
88,0,99,-0.0206911,29.1366,-101.007
89,0,100,-0.0214643,29.1621,-98.0717
90,0,101,-0.0223234,29.1908,-93.9535
91,0,102,-0.0230088,29.2138,-92.0259
92,0,103,-0.0236319,29.235,-90.7078
93,0,104,-0.0240024,29.2477,-91.4612
94,0,105,-0.0244348,29.2627,-91.7241
95,0,106,-0.0246179,29.2691,-93.3502
96,0,107,-0.0247224,29.2728,-95.1893
97,0,108,-0.0249841,29.2822,-96.4458
98,0,109,-0.025416,29.2977,-96.4362
99,0,110,-0.0256872,29.3076,-97.5833
100,0,111,-0.0259414,29.3169,-98.8021
101,0,112,-0.0263799,29.3331,-98.5092
102,0,113,-0.0267882,29.3484,-98.4536
103,0,114,-0.027285,29.3671,-97.3646
104,0,115,-0.0277047,29.383,-97.0783
105,0,116,-0.0280564,29.3965,-97.3953
106,0,117,-0.0284768,29.4128,-96.9662
107,0,118,-0.0289947,29.433,-95.2587
108,0,119,-0.0294957,29.4527,-93.716
109,0,120,-0.0298262,29.4658,-94.0485
110,0,121,-0.0300969,29.4766,-94.8448
111,0,122,-0.0302718,29.4837,-96.2351
112,0,123,-0.0302138,29.4813,-98.0319
113,0,124,-0.0300557,29.4748,-99.4878
114,0,125,-0.0299274,29.4695,-101.076
115,0,126,-0.0298051,29.4644,-102.685
116,0,127,-0.0296049,29.456,-103.842
117,0,128,-0.0293998,29.4473,-104.94
118,0,129,-0.0291583,29.437,-105.706
119,0,130,-0.0288934,29.4256,-106.205
120,0,131,-0.0283058,29.4002,-101.255
121,0,132,-0.0276842,29.373,-95.5744
122,0,133,-0.0270411,29.3447,-89.4744
123,0,134,-0.0262997,29.3119,-81.0375
124,0,135,-0.0255562,29.2786,-72.8476
125,0,136,-0.0248907,29.2487,-66.7634
126,0,137,-0.0242303,29.2188,-60.886
127,0,138,-0.0235073,29.1857,-53.6814
128,0,139,-0.022835,29.1548,-47.762
129,0,140,-0.0221512,29.1231,-41.6706
130,0,141,-0.0214035,29.0882,-34.2665
131,0,142,-0.0207156,29.0559,-28.3042
132,0,143,-0.019958,29.0201,-20.9318
133,0,144,-0.0192512,28.9864,-14.7775
134,0,145,-0.0185537,28.9529,-8.87879
135,0,146,-0.0178598,28.9193,-3.10555
136,0,147,-0.0171534,28.885,2.86367
137,0,148,-0.016441,28.8501,8.89725
138,0,149,-0.0157418,28.8156,14.6271
139,0,150,-0.0150502,28.7812,20.1795
140,0,151,-0.014281,28.7428,27.1937
141,0,152,-0.013515,28.7042,34.0431
142,0,153,-0.012853,28.6707,38.9173
143,0,154,-0.0122206,28.6384,43.3091
144,0,155,-0.0115259,28.6027,48.7728
145,0,156,-0.0109514,28.5731,52.2916
146,0,157,-0.0103098,28.5397,56.8912
147,0,158,-0.00969438,28.5075,61.0895
148,0,159,-0.00905993,28.4741,65.619
149,0,160,-0.00840764,28.4395,70.4599
150,0,161,-0.00782274,28.4083,74.2555
151,0,162,-0.00725062,28.3776,77.8993
152,0,163,-0.00677518,28.3519,80.2768
153,0,164,-0.00640734,28.3319,81.5093
154,0,165,-0.00602744,28.3112,82.903
155,0,166,-0.00565974,28.291,84.2134
156,0,167,-0.00522351,28.2668,86.3316
157,0,168,-0.00485371,28.2462,87.7405
158,0,169,-0.00446691,28.2246,89.3754
159,0,170,-0.00411505,28.2048,90.6753
160,0,171,-0.00376845,28.1851,91.9591
161,0,172,-0.0035426,28.1722,92.2256
