id,low,hi,m,q,cost
0,0,11,-0.0703496,39.1169,0.348166
1,0,12,-0.0931867,39.2007,0.431035
2,0,13,-0.0940219,39.204,0.415525
3,0,14,-0.102464,39.2406,0.423764
4,0,15,-0.117985,39.313,0.505865
5,0,16,-0.119657,39.3214,0.492144
6,0,17,-0.11066,39.2734,0.527572
7,0,18,-0.109263,39.2655,0.514947
8,0,19,-0.10397,39.2337,0.526906
9,0,20,-0.111688,39.2826,0.577604
10,0,21,-0.11035,39.2737,0.566578
11,0,22,-0.110089,39.2718,0.554225
12,0,23,-0.105487,39.2381,0.579013
13,0,24,-0.0986231,39.1855,0.661227
14,0,25,-0.0909299,39.1239,0.784189
15,0,26,-0.0810073,39.0412,1.02817
16,0,27,-0.0703968,38.9493,1.34653
17,0,28,-0.0643843,38.8952,1.44576
18,0,29,-0.0592748,38.8475,1.52144
19,0,30,-0.0563065,38.8188,1.53464
20,0,31,-0.0562683,38.8184,1.51048
21,0,32,-0.0551872,38.8072,1.49371
22,0,33,-0.0509824,38.7624,1.57742
23,0,34,-0.0466443,38.7147,1.67964
24,0,35,-0.0426898,38.6698,1.7709
25,0,36,-0.0367283,38.6003,2.03432
26,0,37,-0.0319969,38.5435,2.20651
27,0,38,-0.0302571,38.5221,2.20757
28,0,39,-0.0320938,38.5453,2.21581
29,0,40,-0.0323781,38.549,2.18956
30,0,41,-0.0314197,38.5362,2.175
31,0,42,-0.0289037,38.5019,2.23693
32,0,43,-0.0235976,38.4276,2.63296
33,0,44,-0.0172767,38.337,3.25149
34,0,45,-0.0121135,38.2612,3.68334
35,0,46,-0.00813485,38.2016,3.94347
36,0,47,-0.00443391,38.1448,4.18143
37,0,48,-0.00132858,38.0962,4.35004
38,0,49,0.00139831,38.0525,4.48152
39,0,50,0.00435655,38.0042,4.65853
40,0,51,0.00645435,37.9693,4.73266
41,0,52,0.0074504,37.9523,4.71653
42,0,53,0.00822373,37.9389,4.69116
43,0,54,0.00893866,37.9263,4.66519
44,0,55,0.0103899,37.9002,4.69747
45,0,56,0.0116023,37.8779,4.71114
46,0,57,0.011814,37.874,4.67214
47,0,58,0.0107475,37.8943,4.68051
48,0,59,0.00953709,37.9177,4.70714
49,0,60,0.00887096,37.9308,4.68953
50,0,61,0.00866838,37.9348,4.65363
51,0,62,0.00802515,37.9479,4.63862
52,0,63,0.00770284,37.9545,4.6081
53,0,64,0.00795804,37.9492,4.5764
54,0,65,0.0076372,37.956,4.54807
55,0,66,0.00722883,37.9649,4.52507
56,0,67,0.00611731,37.9893,4.57802
57,0,68,0.00483121,38.0181,4.66644
58,0,69,0.00319972,38.055,4.83907
59,0,70,0.00174548,38.0885,4.97701
60,0,71,0.000772404,38.1112,5.0233
61,0,72,-0.00027921,38.1361,5.08806
62,0,73,-0.0010205,38.1539,5.10533
