id,low,hi,m,q,cost
0,0,11,0.0451049,29.4669,0.211879
1,0,12,0.0263737,29.5356,0.268506
2,0,13,0.0281319,29.5286,0.259491
3,0,14,0.00807151,29.6155,0.376763
4,0,15,-0.012147,29.7099,0.526951
5,0,16,-0.00813723,29.6898,0.519173
6,0,17,0.0100826,29.5926,0.706728
7,0,18,0.0254912,29.5053,0.863815
8,0,19,0.0449248,29.3887,1.17889
9,0,20,0.0517143,29.3457,1.19954
10,0,21,0.0588086,29.2984,1.2353
11,0,22,0.0697629,29.2217,1.3854
12,0,23,0.0787,29.1562,1.49372
13,0,24,0.0835462,29.119,1.51036
14,0,25,0.0940786,29.0348,1.73557
15,0,26,0.103437,28.9568,1.9332
16,0,27,0.107652,28.9203,1.95152
17,0,28,0.113069,28.8715,2.01713
18,0,29,0.119646,28.8101,2.14891
19,0,30,0.121948,28.7879,2.13677
20,0,31,0.122639,28.781,2.10542
21,0,32,0.122236,28.7851,2.07415
22,0,33,0.119569,28.8136,2.086
23,0,34,0.114098,28.8738,2.25467
24,0,35,0.111048,28.9083,2.29142
25,0,36,0.109016,28.932,2.29363
26,0,37,0.108467,28.9386,2.26593
27,0,38,0.105735,28.9723,2.30952
28,0,39,0.0990178,29.0574,2.7621
29,0,40,0.0955401,29.1026,2.86915
30,0,41,0.0910558,29.1624,3.09007
31,0,42,0.0869752,29.2182,3.28373
32,0,43,0.0841325,29.258,3.36721
33,0,44,0.0832925,29.27,3.34103
34,0,45,0.0811606,29.3013,3.3842
35,0,46,0.0792865,29.3294,3.41446
36,0,47,0.0771287,29.3625,3.47363
37,0,48,0.0751827,29.393,3.52107
38,0,49,0.0734017,29.4215,3.56042
39,0,50,0.0732398,29.4241,3.526
40,0,51,0.0743951,29.4048,3.52806
41,0,52,0.075541,29.3854,3.53265
42,0,53,0.0769975,29.3601,3.56543
43,0,54,0.0761443,29.3752,3.5569
44,0,55,0.0758189,29.3811,3.52873
45,0,56,0.07626,29.373,3.50493
46,0,57,0.0753837,29.3893,3.50517
47,0,58,0.0740421,29.4148,3.55153
48,0,59,0.0715941,29.4621,3.79097
49,0,60,0.0689006,29.5151,4.10521
50,0,61,0.0662922,29.5673,4.4151
51,0,62,0.0636324,29.6214,4.75747
52,0,63,0.0607619,29.6807,5.18504
53,0,64,0.0582732,29.733,5.51413
54,0,65,0.0556263,29.7894,5.91284
55,0,66,0.0523067,29.8613,6.59951
56,0,67,0.0487953,29.9386,7.41254
57,0,68,0.0453957,30.0145,8.20909
58,0,69,0.041983,30.0919,9.05192
59,0,70,0.0390597,30.1591,9.68355
60,0,71,0.0359634,30.2314,10.4359
61,0,72,0.033819,30.2821,10.7771
62,0,73,0.0329207,30.3037,10.78
63,0,74,0.0316999,30.3334,10.8551
64,0,75,0.0302636,30.3688,10.9969
65,0,76,0.0292857,30.3932,11.0289
66,0,77,0.0287908,30.4058,10.9858
67,0,78,0.028011,30.4258,10.9881
68,0,79,0.0263548,30.4689,11.2594
69,0,80,0.0253275,30.4959,11.3264
70,0,81,0.0241043,30.5285,11.4595
71,0,82,0.0226025,30.5691,11.7087
72,0,83,0.0206823,30.6216,12.1819
73,0,84,0.0192222,30.662,12.4374
74,0,85,0.0184477,30.6836,12.4609
75,0,86,0.0178049,30.7019,12.4579
76,0,87,0.0174595,30.7118,12.4076
77,0,88,0.0175732,30.7085,12.3401
78,0,89,0.0175641,30.7087,12.2713
79,0,90,0.0175429,30.7094,12.2038
80,0,91,0.0173566,30.715,12.1443
81,0,92,0.0173416,30.7154,12.0789
82,0,93,0.0165836,30.7386,12.1403
83,0,94,0.0158418,30.7616,12.2012
84,0,95,0.0150257,30.7872,12.2946
85,0,96,0.0138898,30.8232,12.5465
86,0,97,0.0125846,30.865,12.9142
87,0,98,0.0115917,30.8971,13.1078
88,0,99,0.0107751,30.9237,13.2236
89,0,100,0.00965032,30.9609,13.5146
90,0,101,0.00805379,31.0141,14.1921
91,0,102,0.00658316,31.0636,14.7763
92,0,103,0.00513171,31.1129,15.3634
93,0,104,0.00389363,31.1554,15.7855
94,0,105,0.00295503,31.188,16.0052
95,0,106,0.00249231,31.2042,16.0042
96,0,107,0.00211981,31.2173,15.9795
97,0,108,0.00146112,31.2408,16.066
98,0,109,0.000886144,31.2615,16.1186
99,0,110,0.000601878,31.2719,16.0776
100,0,111,0.000270654,31.284,16.0502
101,0,112,-0.000290272,31.3048,16.1107
102,0,113,-0.000826634,31.3248,16.164
103,0,114,-0.00140709,31.3466,16.2436
104,0,115,-0.00201488,31.3697,16.3429
105,0,116,-0.00240862,31.3848,16.3463
106,0,117,-0.00291411,31.4044,16.4014
107,0,118,-0.00315382,31.4137,16.3612
108,0,119,-0.00361185,31.4317,16.4013
109,0,120,-0.00421271,31.4556,16.5256
110,0,121,-0.00468285,31.4744,16.5788
111,0,122,-0.00477848,31.4782,16.5165
112,0,123,-0.00452705,31.468,16.4864
113,0,124,-0.00414863,31.4525,16.5058
114,0,125,-0.0037414,31.4357,16.542
