Stock,Stock,Stock,Stock,Stock,ETF,ETF,ETF,ETF,ETF
 ABBV, COP, HST, PYPL, ROST, EWG, EWQ, EWZ, SLV, VXX
 AbbVie, ConocoPhillips, Host Hotels & Resorts, PayPal, Ross Stores, iShares MSCI Germany ETF, iShares MSCI France ETF, iShares Msci Brazil ETF, iShares Silver Trust, iPath Series B S&P 500 VIX Short-Term Futures ETN
 Health Care, Energy, Real Estate, Information Technology, Consumer Discretionary, Equities, Equities, Equities, Commodities, Volatility
 Pharmaceuticals, Oil & Gas Exploration & Production, Hotel & Resort REITs, Data Processing & Outsourced Services, Apparel Retail, Large Cap-Europe, Large Cap-Europe, Large Cap-South America, Precious Metals, US
146.830002,84.07,16.997,65.904999,104.080002,29.24,39,29.040001,20.8,21.41
146.419998,86.84,17.027,63.380001,101.949997,29.209999,38.959999,29.35,20.94,19.84
146.589996,87.475,16.84,64.18,102.529999,28.959999,38.93,29.559999,20.93,19.42
147.149994,86.204,16.742,61.689999,104.510002,28.85,38.720001,29.799999,20.71,21.78
146.589996,87.153,17.115,62.25,104.389999,28.98,38.970001,30.15,20.79,21
143.289993,88.168,17.487,60.799999,102.93,28.780001,38.68,29.57,21.27,20.42
143.350006,86.641,17.811,61.459999,103.790001,28.959999,38.849998,29.99,21.45,19.5
143.440002,88.177,18.085,61.27,105.379997,29.08,38.75,29.93,21.53,18.71
145.110001,87.191,18.174,60.919998,104.760002,29.32,39.060001,29.889999,21.42,20.46
144.899994,89.164,17.703,63.029999,104.620003,29.209999,39.02,29.870001,21.83,23.24
142.520004,87.286,17.576,62,101.879997,28.83,38.169998,29.809999,22.05,23.31
141.149994,85.503,18.35,61.799999,101.459999,28.360001,37.650002,29.620001,21.61,21.39
138.619995,86.008,18.928,59.369999,102.339996,28.290001,37.580002,29.440001,21.87,20.53
137.559998,86.914,18.919,60.220001,103.370003,28.58,37.959999,29.940001,22.04,22.96
136.440002,85.456,18.732,62.049999,103.260002,28.43,37.549999,29.120001,22.12,23.45
137.960007,83.739,18.223,61.990002,103.620003,27.98,37,28.82,22.31,23.36
133.440002,84.121,17.978,63.049999,100.900002,28.43,37.34,29.719999,22.73,24.7
136.869995,83.644,18.125,63.959999,103.300003,28.610001,37.799999,30.59,22.31,23.925
136.860001,87.019,18.379,64.510002,103.099998,28.42,37.369999,30.75,22.4,22.95
135.429993,90.442,17.909,65.019997,103.669998,28.51,37.560001,31.35,22.62,24
