id,low,hi,m,q,cost
0,0,11,-0.250892,63.7703,8.24502
1,0,12,-0.296703,63.9383,8.74388
2,0,13,-0.292736,63.9224,8.14426
3,0,14,-0.237089,63.6813,10.4187
4,0,15,-0.195948,63.4893,11.7795
5,0,16,-0.143088,63.225,14.9344
6,0,17,-0.0875181,62.9286,18.8974
7,0,18,-0.0376754,62.6462,22.4088
8,0,19,0.00646241,62.3814,25.5205
9,0,20,0.0263247,62.2556,26.3173
10,0,21,0.0433004,62.1424,27.0201
11,0,22,0.0475939,62.1123,27.0867
12,0,23,0.0528239,62.074,27.1525
13,0,24,0.0548385,62.0585,27.0979
14,0,25,0.0562957,62.0469,26.9943
15,0,26,0.0748626,61.8922,28.9746
16,0,27,0.0934579,61.731,31.2328
17,0,28,0.124783,61.4491,38.0087
18,0,29,0.144927,61.2611,40.9925
19,0,30,0.162837,61.0879,43.6246
20,0,31,0.167406,61.0422,44.0369
21,0,32,0.167624,61.04,44.243
22,0,33,0.165902,61.0584,44.451
23,0,34,0.162716,61.0934,44.7307
24,0,35,0.158534,61.1408,45.1171
25,0,36,0.15803,61.1467,45.2168
26,0,37,0.162509,61.0929,45.686
27,0,38,0.168592,61.0179,46.569
28,0,39,0.163276,61.0852,47.3222
29,0,40,0.160397,61.1227,47.5907
30,0,41,0.16565,61.0526,48.4705
31,0,42,0.173927,60.9395,50.8095
32,0,43,0.180508,60.8474,52.4304
33,0,44,0.190943,60.6978,56.6552
34,0,45,0.198741,60.5834,59.1984
35,0,46,0.208753,60.4333,63.4957
36,0,47,0.219277,60.2719,68.3568
37,0,48,0.227659,60.1406,71.6706
38,0,49,0.231716,60.0757,72.7586
39,0,50,0.234722,60.0266,73.5388
40,0,51,0.238407,59.9651,74.596
41,0,52,0.23966,59.9438,75.0006
42,0,53,0.241244,59.9164,75.4577
43,0,54,0.239464,59.9478,75.9607
44,0,55,0.241084,59.9187,76.4272
45,0,56,0.245441,59.8388,78.2642
46,0,57,0.248423,59.7831,79.3178
47,0,58,0.246743,59.8151,79.844
48,0,59,0.230033,60.1381,103.949
49,0,60,0.21228,60.4872,124.919
50,0,61,0.19843,60.7642,136.347
51,0,62,0.183732,61.0631,148.236
52,0,63,0.168418,61.3796,160.195
53,0,64,0.155315,61.6548,168.964
54,0,65,0.141461,61.9503,178.378
55,0,66,0.130904,62.1791,184.495
56,0,67,0.116224,62.502,194.688
57,0,68,0.102901,62.7996,203.222
58,0,69,0.0892591,63.1088,211.984
59,0,70,0.0775961,63.377,218.903
60,0,71,0.0668925,63.6268,225.116
61,0,72,0.0586033,63.823,229.737
62,0,73,0.0517482,63.9875,233.63
63,0,74,0.0442673,64.1695,237.974
64,0,75,0.0378084,64.3288,241.823
65,0,76,0.0322817,64.467,245.268
66,0,77,0.027946,64.5768,248.238
67,0,78,0.0247784,64.6581,250.823
68,0,79,0.0209768,64.757,253.661
69,0,80,0.0183887,64.8251,256.11
70,0,81,0.0161189,64.8857,258.483
71,0,82,0.0131866,64.9648,261.077
72,0,83,0.00948127,65.0661,264.027
73,0,84,0.00547371,65.177,267.179
74,0,85,0.00249677,65.2603,269.87
75,0,86,0.000408159,65.3195,272.251
76,0,87,-0.00151857,65.3748,274.591
77,0,88,-0.00211866,65.3922,276.657
78,0,89,-0.00284657,65.4135,278.728
79,0,90,-0.00443566,65.4606,280.979
80,0,91,-0.00644618,65.521,283.384
81,0,92,-0.00923816,65.6057,286.19
82,0,93,-0.0133545,65.7319,290.015
83,0,94,-0.0176944,65.8664,294.119
84,0,95,-0.0211257,65.9739,297.493
85,0,96,-0.0242916,66.0742,300.715
86,0,97,-0.0282359,66.2004,304.669
87,0,98,-0.0314197,66.3034,308.003
88,0,99,-0.0342313,66.3952,311.094
89,0,100,-0.0368009,66.48,314.046
