id,low,hi,m,q,cost
0,0,11,0.234371,38.3851,4.90204
1,0,12,0.178736,38.5891,5.2826
2,0,13,0.156088,38.6797,5.2152
3,0,14,0.124214,38.8178,5.35663
4,0,15,0.150221,38.6965,5.45481
5,0,16,0.170417,38.5955,5.49375
6,0,17,0.150196,38.7033,5.58799
7,0,18,0.140456,38.7585,5.50925
8,0,19,0.139068,38.7669,5.37147
9,0,20,0.101299,39.0061,6.76006
10,0,21,0.0744608,39.185,7.51118
11,0,22,0.0512747,39.3473,8.14016
12,0,23,0.0355087,39.4629,8.39667
13,0,24,0.0351846,39.4654,8.22723
14,0,25,0.0314667,39.4951,8.09918
15,0,26,0.0339805,39.4742,7.96438
16,0,27,0.044387,39.384,8.14492
17,0,28,0.0522709,39.313,8.21414
18,0,29,0.037891,39.4472,8.86801
19,0,30,0.0291572,39.5317,9.05224
20,0,31,0.0144666,39.6786,9.95044
21,0,32,0.00948526,39.7301,9.93206
22,0,33,0.0184446,39.6345,10.2654
23,0,34,0.0172941,39.6471,10.1265
24,0,35,0.0104813,39.7244,10.3255
25,0,36,0.0113276,39.7145,10.1908
26,0,37,0.0192887,39.6189,10.6196
27,0,38,0.0245506,39.5541,10.7527
28,0,39,0.022606,39.5787,10.6578
29,0,40,0.0249303,39.5485,10.5899
30,0,41,0.0284499,39.5015,10.6204
31,0,42,0.0377847,39.374,11.6988
32,0,43,0.0452431,39.2695,12.3981
33,0,44,0.054054,39.1433,13.5185
34,0,45,0.0580068,39.0853,13.6447
35,0,46,0.0652047,38.9773,14.4791
36,0,47,0.0741283,38.8405,15.951
37,0,48,0.0801561,38.746,16.5843
38,0,49,0.0763121,38.8076,16.7658
39,0,50,0.071667,38.8834,17.1459
40,0,51,0.0651609,38.9919,18.1262
41,0,52,0.0594581,39.0888,18.8962
42,0,53,0.0548317,39.169,19.3827
43,0,54,0.0466111,39.3142,21.4369
44,0,55,0.0410701,39.414,22.3251
45,0,56,0.0365984,39.4959,22.8775
46,0,57,0.0328251,39.5664,23.2467
47,0,58,0.0263162,39.6901,24.8419
48,0,59,0.0188363,39.8347,27.1468
49,0,60,0.0133078,39.9434,28.3788
50,0,61,0.00846113,40.0403,29.3337
51,0,62,0.00425739,40.1258,30.043
52,0,63,-0.0115128,40.4517,43.839
53,0,64,-0.0242469,40.7191,53.1645
54,0,65,-0.0368834,40.9887,62.8038
55,0,66,-0.0474379,41.2174,69.7222
56,0,67,-0.0580122,41.45,77.0224
57,0,68,-0.0682795,41.6793,84.2197
58,0,69,-0.0792872,41.9288,92.9971
59,0,70,-0.0896965,42.1683,101.16
60,0,71,-0.0997876,42.4037,109.163
61,0,72,-0.109339,42.6297,116.602
62,0,73,-0.118234,42.8432,123.265
63,0,74,-0.126175,43.0365,128.668
64,0,75,-0.133109,43.2075,132.795
65,0,76,-0.139094,43.3571,135.812
66,0,77,-0.143853,43.4777,137.507
67,0,78,-0.147723,43.577,138.411
68,0,79,-0.151072,43.6641,138.934
69,0,80,-0.153907,43.7388,139.115
70,0,81,-0.155796,43.7891,138.747
71,0,82,-0.157452,43.8338,138.295
72,0,83,-0.159112,43.8792,137.876
73,0,84,-0.160346,43.9134,137.296
74,0,85,-0.161736,43.9523,136.805
75,0,86,-0.162389,43.9708,136.087
76,0,87,-0.164,44.017,135.762
77,0,88,-0.165375,44.0568,135.339
78,0,89,-0.166421,44.0875,134.79
79,0,90,-0.167496,44.1194,134.273
80,0,91,-0.16884,44.1597,133.908
81,0,92,-0.170471,44.2092,133.747
82,0,93,-0.172518,44.272,133.95
83,0,94,-0.174271,44.3263,133.942
84,0,95,-0.175322,44.3592,133.503
85,0,96,-0.175649,44.3696,132.839
86,0,97,-0.175613,44.3684,132.16
87,0,98,-0.175206,44.3553,131.534
88,0,99,-0.174047,44.3174,131.24
89,0,100,-0.173018,44.2835,130.888
90,0,101,-0.172098,44.2528,130.492
91,0,102,-0.170478,44.1983,130.649
92,0,103,-0.168731,44.1389,130.974
93,0,104,-0.166645,44.0672,131.755
94,0,105,-0.164719,44.0005,132.371
95,0,106,-0.16245,43.9211,133.529
96,0,107,-0.159789,43.827,135.437
97,0,108,-0.157257,43.7367,137.178
98,0,109,-0.155333,43.6675,137.961
99,0,110,-0.153485,43.6003,138.681
100,0,111,-0.151382,43.5232,139.854
