id,low,hi,m,q,cost
0,0,11,-0.034056,103.711,10.4152
1,0,12,-0.0657694,103.827,10.4424
2,0,13,-0.0543956,103.781,10.0457
3,0,14,-0.0483928,103.755,9.52262
4,0,15,-0.0353675,103.695,9.10974
5,0,16,-0.0790685,103.913,11.4497
6,0,17,-0.0662434,103.845,11.1928
7,0,18,-0.0591754,103.805,10.7001
8,0,19,-0.0450376,103.72,10.6713
9,0,20,-0.0558052,103.788,10.4429
10,0,21,-0.0484077,103.739,9.9932
11,0,22,-0.0417095,103.692,9.51069
12,0,23,-0.00533476,103.425,17.1547
13,0,24,0.0235846,103.203,21.6671
14,0,25,0.0444991,103.036,24.0792
15,0,26,0.0737607,102.792,29.3735
16,0,27,0.0963437,102.597,32.6598
17,0,28,0.110039,102.473,34.0105
18,0,29,0.120205,102.378,34.8647
19,0,30,0.132153,102.263,36.207
20,0,31,0.145224,102.132,38.0157
21,0,32,0.149666,102.086,38.2704
22,0,33,0.159219,101.984,39.512
23,0,34,0.163706,101.935,39.8219
24,0,35,0.169135,101.873,40.3192
25,0,36,0.18692,101.666,46.1585
26,0,37,0.197236,101.542,48.2874
27,0,38,0.203324,101.467,49.1853
28,0,39,0.20308,101.47,49.2979
29,0,40,0.195646,101.567,50.8386
30,0,41,0.195619,101.567,50.9336
31,0,42,0.199477,101.514,51.491
32,0,43,0.203805,101.454,52.2273
33,0,44,0.206874,101.41,52.6541
34,0,45,0.209262,101.375,52.9421
35,0,46,0.207265,101.405,53.1559
36,0,47,0.209214,101.375,53.3623
37,0,48,0.212159,101.329,53.8666
38,0,49,0.213278,101.311,53.9203
39,0,50,0.213403,101.309,53.873
40,0,51,0.214508,101.29,53.9028
41,0,52,0.214644,101.288,53.8176
42,0,53,0.216292,101.26,53.9753
43,0,54,0.217346,101.241,53.9725
44,0,55,0.220005,101.193,54.6517
45,0,56,0.22205,101.156,55.0317
46,0,57,0.222362,101.15,54.8945
47,0,58,0.218503,101.223,56.885
48,0,59,0.216003,101.271,57.6963
49,0,60,0.213399,101.323,58.6596
50,0,61,0.212047,101.35,58.8326
51,0,62,0.210088,101.389,59.3989
52,0,63,0.207787,101.437,60.3029
53,0,64,0.206591,101.462,60.4477
54,0,65,0.204555,101.506,61.2301
55,0,66,0.203388,101.531,61.3897
56,0,67,0.20192,101.563,61.7718
57,0,68,0.201841,101.565,61.5797
58,0,69,0.198905,101.632,63.9465
59,0,70,0.20262,101.546,67.98
60,0,71,0.206305,101.46,72.0381
61,0,72,0.207944,101.421,72.8009
62,0,73,0.213651,101.284,83.0426
63,0,74,0.215509,101.239,84.1556
64,0,75,0.217147,101.199,85.0734
65,0,76,0.219373,101.143,86.8255
66,0,77,0.22228,101.069,89.907
67,0,78,0.225359,100.99,93.4625
68,0,79,0.228151,100.918,96.4968
69,0,80,0.230437,100.858,98.6461
70,0,81,0.231395,100.832,99.1485
71,0,82,0.231519,100.829,99.275
72,0,83,0.230994,100.843,99.5091
73,0,84,0.230266,100.863,99.8634
74,0,85,0.228626,100.909,101.326
75,0,86,0.226924,100.957,102.958
76,0,87,0.223952,101.043,107.858
77,0,88,0.221742,101.107,110.693
78,0,89,0.219785,101.164,113.027
79,0,90,0.217438,101.234,116.408
80,0,91,0.214128,101.333,123.002
81,0,92,0.209953,101.46,133.097
82,0,93,0.204675,101.621,148.005
83,0,94,0.198622,101.809,165.576
84,0,95,0.191529,102.031,186.55
85,0,96,0.184669,102.249,203.956
86,0,97,0.177717,102.471,220.184
87,0,98,0.172822,102.629,228.441
88,0,99,0.168789,102.761,234.438
89,0,100,0.165778,102.86,238.397
90,0,101,0.161384,103.007,245.458
91,0,102,0.157195,103.148,252.013
92,0,103,0.153009,103.29,258.593
93,0,104,0.149331,103.417,264.042
94,0,105,0.146143,103.527,268.557
95,0,106,0.14307,103.635,272.928
96,0,107,0.140382,103.73,276.683
