Date,Close
5/9/2023,20.8
5/10/2023,20.94
5/11/2023,20.93
5/12/2023,20.71
5/15/2023,20.79
5/16/2023,21.27
5/17/2023,21.45
5/18/2023,21.53
5/19/2023,21.42
5/22/2023,21.83
5/23/2023,22.05
5/24/2023,21.61
5/25/2023,21.87
5/26/2023,22.04
5/30/2023,22.12
5/31/2023,22.31
6/1/2023,22.73
6/2/2023,22.31
6/5/2023,22.4
6/6/2023,22.62
6/7/2023,23.54
6/8/2023,23.37
6/9/2023,23.29
6/12/2023,23.64
6/13/2023,23.7
6/14/2023,24.45
6/15/2023,23.8
6/16/2023,24.01
6/20/2023,23.87
6/21/2023,23.16
6/22/2023,23
6/23/2023,23.11
6/26/2023,23.33
6/27/2023,23.02
6/28/2023,23.28
6/29/2023,22.88
6/30/2023,23.24
7/3/2023,23.61
7/5/2023,23.48
7/6/2023,22.93
7/7/2023,22.91
7/10/2023,22.94
7/11/2023,22.88
7/12/2023,22.74
7/13/2023,22.63
7/14/2023,22.36
7/17/2023,22.57
7/18/2023,22.7
7/19/2023,22.82
7/20/2023,23.15
7/21/2023,23.47
7/24/2023,23.75
7/25/2023,23.64
7/26/2023,23.87
7/27/2023,23.24
7/28/2023,23.28
7/31/2023,22.79
8/1/2023,22.31
8/2/2023,21.83
8/3/2023,21.65
8/4/2023,21.49
8/7/2023,21.42
8/8/2023,21.04
8/9/2023,20.87
8/10/2023,20.83
8/11/2023,21.28
8/14/2023,20.78
8/15/2023,20.66
8/16/2023,20.03
8/17/2023,19.55
8/18/2023,19.87
8/21/2023,19.12
8/22/2023,19.42
8/23/2023,19.93
8/24/2023,19.92
8/25/2023,19.73
8/28/2023,20.27
8/29/2023,20.07
8/30/2023,20.1
8/31/2023,20.39
9/1/2023,20.34
9/5/2023,20.31
9/6/2023,20.36
9/7/2023,19.84
9/8/2023,20.13
9/11/2023,20.59
9/12/2023,20.23
9/13/2023,20.37
9/14/2023,20.52
9/15/2023,20.35
9/18/2023,19.97
9/19/2023,20.19
9/20/2023,19.5
9/21/2023,19.37
9/22/2023,19.96
9/25/2023,20.24
9/26/2023,19.98
9/27/2023,19.98
9/28/2023,19.76
9/29/2023,19.37
10/2/2023,19.51
10/3/2023,19.49
10/4/2023,19.19
10/5/2023,19.14
10/6/2023,18.64
10/9/2023,18.31
10/10/2023,17.73
10/11/2023,17.69
10/12/2023,17.75
10/13/2023,17.79
10/16/2023,17.58
10/17/2023,17.44
10/18/2023,17.69
10/19/2023,17
10/20/2023,17.19
10/23/2023,17.22
10/24/2023,17.29
10/25/2023,17.19
10/26/2023,17.4
10/27/2023,17.14
10/30/2023,16.98
10/31/2023,17.16
11/1/2023,17.6
11/2/2023,18.43
11/3/2023,18.7
11/6/2023,18.79
11/7/2023,18.41
11/8/2023,18.49
11/9/2023,18.64
11/10/2023,18.33
11/13/2023,19.03
11/14/2023,18.93
11/15/2023,18.95
11/16/2023,18.67
11/17/2023,19.17
11/20/2023,18.68
11/21/2023,18.57
11/22/2023,18.25
11/24/2023,18.04
11/27/2023,17.55
11/28/2023,17.5
11/29/2023,17.62
11/30/2023,17.63
12/1/2023,17.73
12/4/2023,17.36
12/5/2023,17.29
12/6/2023,16.96
12/7/2023,16.58
12/8/2023,16.38
12/11/2023,16.57
12/12/2023,16.54
12/13/2023,17
12/14/2023,17.03
12/15/2023,17.32
12/18/2023,18.17
12/19/2023,17.83
12/20/2023,18
12/21/2023,17.63
12/22/2023,17.99
12/26/2023,17.99
12/27/2023,17.73
12/28/2023,18.06
12/29/2023,18.09
1/2/2024,17.36
1/3/2024,16.92
1/4/2024,16.9
1/5/2024,17.45
1/8/2024,17.37
1/9/2024,17.5
1/10/2024,19.1
1/11/2024,19.36
1/12/2024,18.99
1/16/2024,19.04
1/17/2024,18.5
1/18/2024,18.09
1/19/2024,17.68
1/22/2024,17.59
1/23/2024,17.39
1/24/2024,16.81
1/25/2024,17.12
1/26/2024,17.23
1/29/2024,17.01
1/30/2024,17.17
1/31/2024,17.76
2/1/2024,17.68
2/2/2024,17.86
2/5/2024,17.98
2/6/2024,17.98
2/7/2024,17.74
2/8/2024,17.62
2/9/2024,18.05
2/12/2024,17.73
2/13/2024,17.94
2/14/2024,19.26
2/15/2024,19.15
2/16/2024,19.7
2/20/2024,19.36
2/21/2024,19.97
2/22/2024,19.95
2/23/2024,20.24
2/26/2024,19.88
2/27/2024,19.74
2/28/2024,19.29
2/29/2024,19.25
3/1/2024,19.2
3/4/2024,19.43
3/5/2024,19.81
3/6/2024,19.72
3/7/2024,19.26
3/8/2024,19.56
3/11/2024,20.43
3/12/2024,20.98
3/13/2024,21.29
3/14/2024,20.44
3/15/2024,20.44
3/18/2024,20.92
3/19/2024,21.21
3/20/2024,21.56
3/21/2024,21.46
3/22/2024,21.83
3/25/2024,21.99
3/26/2024,21.24
3/27/2024,21.37
3/28/2024,21.12
4/1/2024,22.23
4/2/2024,22.07
4/3/2024,21.69
4/4/2024,21.85
4/5/2024,22.11
4/8/2024,21.6
4/9/2024,21.97
4/10/2024,22.02
4/11/2024,22.05
4/12/2024,21.89
4/15/2024,21.39
4/16/2024,21.92
4/17/2024,21.74
4/18/2024,21.73
4/19/2024,21.55
4/22/2024,21.88
4/23/2024,22.33
4/24/2024,22.01
4/25/2024,21.57
4/26/2024,21.96
4/29/2024,22.02
4/30/2024,21.58
5/1/2024,21.76
5/2/2024,21.97
5/3/2024,21.99
5/6/2024,21.68
5/7/2024,21.66
5/8/2024,21.83
5/9/2024,22.08
5/10/2024,21.57
5/11/2024,20.57
5/12/2024,20.48
5/13/2024,20.38
5/14/2024,20.48
5/15/2024,20.18
5/16/2024,20.24
5/17/2024,20.2
5/18/2024,20.12
5/19/2024,19.89
5/20/2024,19.84
5/21/2024,20.01
