id,low,hi,m,q,cost
0,0,12,0.10511,20.6924,-38.3793
1,0,13,0.104571,20.6946,-43.7457
2,0,14,0.103607,20.6988,-48.1544
3,0,15,0.104868,20.6929,-52.5772
4,0,16,0.111912,20.6576,-53.8025
5,0,17,0.107523,20.6811,-56.7178
6,0,18,0.104105,20.7004,-59.9905
7,0,19,0.103271,20.7054,-64.2996
8,0,20,0.11326,20.6422,-57.1072
9,0,21,0.117403,20.6145,-59.1738
10,0,22,0.118409,20.6075,-62.9356
11,0,23,0.1215,20.5848,-65.3712
12,0,24,0.123338,20.5707,-68.6584
13,0,25,0.13014,20.5163,-63.9107
14,0,26,0.129347,20.5229,-67.4203
15,0,27,0.129308,20.5233,-71.0834
16,0,28,0.127419,20.5403,-73.8128
17,0,29,0.120481,20.605,-65.1601
18,0,30,0.113105,20.6763,-57.2659
19,0,31,0.107011,20.7373,-53.4821
20,0,32,0.102564,20.7832,-52.6966
21,0,33,0.0967762,20.845,-49.3025
22,0,34,0.0927031,20.8898,-48.8078
23,0,35,0.0870528,20.9538,-45.3238
24,0,36,0.0834353,20.996,-45.1904
25,0,37,0.0815199,21.019,-46.7604
26,0,38,0.0790709,21.0492,-47.7084
27,0,39,0.0746698,21.1049,-45.291
28,0,40,0.0705523,21.1585,-43.3141
29,0,41,0.0668609,21.2077,-41.988
30,0,42,0.0632588,21.2569,-40.6437
31,0,43,0.0595102,21.3094,-38.8341
32,0,44,0.0557484,21.3633,-36.8326
33,0,45,0.0515523,21.4249,-33.732
34,0,46,0.0482909,21.4738,-32.4658
35,0,47,0.0456291,21.5146,-32.0815
36,0,48,0.0434622,21.5485,-32.3074
37,0,49,0.0422194,21.5684,-33.5106
38,0,50,0.0417457,21.5762,-35.1833
39,0,51,0.0418433,21.5745,-36.9573
40,0,52,0.0416118,21.5785,-38.7292
41,0,53,0.0417858,21.5755,-40.5291
42,0,54,0.0406328,21.5958,-41.6118
43,0,55,0.0395977,21.6145,-42.7957
44,0,56,0.0377068,21.6491,-42.3141
45,0,57,0.0350971,21.6978,-39.5803
46,0,58,0.0318708,21.7591,-34.4606
47,0,59,0.0286093,21.8222,-29.3009
48,0,60,0.0253591,21.8861,-24.2753
49,0,61,0.0222669,21.948,-19.8969
50,0,62,0.0188614,22.0172,-14.3482
51,0,63,0.0154929,22.0868,-9.03889
52,0,64,0.0123483,22.1529,-4.58856
53,0,65,0.0100749,22.2014,-2.7368
54,0,66,0.0073274,22.2609,0.609788
55,0,67,0.00465244,22.3197,3.81779
56,0,68,0.00141505,22.392,9.03615
57,0,69,-0.00213385,22.4725,15.4017
58,0,70,-0.00501308,22.5387,19.2959
59,0,71,-0.00850939,22.6203,25.4137
60,0,72,-0.0113834,22.6883,29.3263
61,0,73,-0.013467,22.7383,31.145
62,0,74,-0.0153846,22.785,32.6821
63,0,75,-0.0173338,22.833,34.3912
64,0,76,-0.0185783,22.8642,34.7784
65,0,77,-0.019906,22.8978,35.362
66,0,78,-0.0210881,22.9281,35.7496
67,0,79,-0.0218957,22.9491,35.6338
68,0,80,-0.0226703,22.9695,35.4986
69,0,81,-0.023396,22.9889,35.3229
70,0,82,-0.0240074,23.0054,35.0303
71,0,83,-0.0249929,23.0323,35.3062
72,0,84,-0.0256519,23.0506,35.1005
73,0,85,-0.0258766,23.0568,34.513
74,0,86,-0.026348,23.0702,34.1068
75,0,87,-0.0266605,23.0792,33.5608
76,0,88,-0.0268201,23.0838,32.9224
77,0,89,-0.0270741,23.0912,32.3257
78,0,90,-0.0275647,23.1058,31.9653
79,0,91,-0.0278504,23.1144,31.3852
80,0,92,-0.0285726,23.1363,31.4698
81,0,93,-0.0293177,23.1591,31.6421
82,0,94,-0.0296093,23.1682,31.0726
83,0,95,-0.0296836,23.1705,30.3621
84,0,96,-0.0298987,23.1773,29.717
85,0,97,-0.0300825,23.1832,29.0427
86,0,98,-0.0303704,23.1925,28.4625
87,0,99,-0.0308551,23.2083,28.2077
88,0,100,-0.031212,23.2201,27.7306
89,0,101,-0.0315419,23.2311,27.2164
90,0,102,-0.0320034,23.2466,26.9628
91,0,103,-0.0324486,23.2618,26.69
92,0,104,-0.0331209,23.2849,27.1114
93,0,105,-0.0339129,23.3123,28.0608
94,0,106,-0.0349448,23.3484,30.3008
95,0,107,-0.0359231,23.383,32.308
96,0,108,-0.0368005,23.4143,33.8423
97,0,109,-0.0375931,23.4428,35.0201
98,0,110,-0.0384269,23.4731,36.4671
99,0,111,-0.039265,23.5038,38.0028
100,0,112,-0.0399246,23.5283,38.7343
101,0,113,-0.0408476,23.5627,40.9137
102,0,114,-0.0416194,23.5918,42.2899
103,0,115,-0.0423204,23.6184,43.3612
104,0,116,-0.0429372,23.6421,44.0861
105,0,117,-0.0435475,23.6657,44.8281
106,0,118,-0.0440211,23.6841,45.0429
107,0,119,-0.0445606,23.7054,45.5553
108,0,120,-0.0451207,23.7276,46.2006
109,0,121,-0.0455637,23.7453,46.3874
110,0,122,-0.0457945,23.7546,45.9677
111,0,123,-0.0456752,23.7497,45.3707
112,0,124,-0.0454413,23.7402,44.9636
113,0,125,-0.0451676,23.7288,44.6617
114,0,126,-0.0450302,23.7231,44.0784
115,0,127,-0.0448537,23.7157,43.558
116,0,128,-0.0446156,23.7056,43.1805
117,0,129,-0.0444817,23.6999,42.5843
118,0,130,-0.0440957,23.6833,42.7734
119,0,131,-0.043746,23.6682,42.8246
120,0,132,-0.0433903,23.6526,42.9253
121,0,133,-0.0431289,23.6411,42.6669
