id,low,hi,m,q,cost
0,0,12,0.422511,134.213,1.31452
1,0,13,0.431413,134.177,1.28598
2,0,14,0.447764,134.106,1.32613
3,0,15,0.439343,134.146,1.31215
4,0,16,0.412223,134.281,1.63686
5,0,17,0.374293,134.484,2.46698
6,0,18,0.335249,134.705,3.53081
7,0,19,0.322857,134.779,3.57843
8,0,20,0.298788,134.932,4.10864
9,0,21,0.278878,135.064,4.51311
10,0,22,0.264741,135.163,4.70911
11,0,23,0.240848,135.338,5.59268
12,0,24,0.224715,135.462,5.99854
13,0,25,0.210869,135.573,6.32195
14,0,26,0.203896,135.631,6.33147
15,0,27,0.195331,135.705,6.43693
16,0,28,0.189079,135.762,6.45758
17,0,29,0.193093,135.724,6.41075
18,0,30,0.195405,135.702,6.32951
19,0,31,0.192994,135.726,6.25784
20,0,32,0.191852,135.738,6.16932
21,0,33,0.196699,135.686,6.21855
22,0,34,0.202257,135.625,6.33417
23,0,35,0.205664,135.586,6.33073
24,0,36,0.20947,135.542,6.36181
25,0,37,0.213911,135.488,6.45295
26,0,38,0.218384,135.433,6.56486
27,0,39,0.220022,135.413,6.51093
28,0,40,0.221313,135.396,6.45046
29,0,41,0.221102,135.399,6.37378
30,0,42,0.22048,135.407,6.30455
31,0,43,0.217642,135.447,6.35316
32,0,44,0.209485,135.564,7.36114
33,0,45,0.199235,135.714,9.12282
34,0,46,0.186573,135.904,12.0588
35,0,47,0.170354,136.153,17.2958
36,0,48,0.155036,136.393,22.2646
37,0,49,0.142548,136.592,25.7151
38,0,50,0.131257,136.777,28.6841
39,0,51,0.121582,136.938,30.9409
40,0,52,0.113904,137.069,32.3549
41,0,53,0.107355,137.182,33.3808
42,0,54,0.10496,137.224,33.2653
43,0,55,0.102187,137.274,33.2376
44,0,56,0.0984051,137.344,33.4806
45,0,57,0.0938712,137.428,34.0097
46,0,58,0.0870764,137.557,35.6742
47,0,59,0.083901,137.619,35.8286
48,0,60,0.0833776,137.629,35.5467
49,0,61,0.083769,137.621,35.2666
50,0,62,0.0845562,137.605,35.0187
51,0,63,0.0840739,137.615,34.7571
52,0,64,0.0825074,137.648,34.635
53,0,65,0.0818464,137.662,34.3991
54,0,66,0.082128,137.656,34.1467
55,0,67,0.0828547,137.64,33.9315
56,0,68,0.084817,137.596,33.9681
57,0,69,0.0864688,137.559,33.9359
58,0,70,0.0886111,137.51,34.0696
59,0,71,0.0906738,137.462,34.196
60,0,72,0.0932761,137.4,34.569
61,0,73,0.094903,137.361,34.584
62,0,74,0.0958728,137.337,34.4455
63,0,75,0.0976263,137.294,34.5363
64,0,76,0.0986746,137.268,34.4304
65,0,77,0.0984869,137.273,34.213
66,0,78,0.099543,137.245,34.1281
67,0,79,0.100859,137.211,34.129
68,0,80,0.101929,137.183,34.0659
69,0,81,0.102413,137.17,33.8892
70,0,82,0.102869,137.158,33.7139
71,0,83,0.102682,137.163,33.5178
72,0,84,0.102903,137.157,33.3275
73,0,85,0.103415,137.143,33.1752
74,0,86,0.10454,137.111,33.1947
75,0,87,0.105691,137.078,33.2357
76,0,88,0.106405,137.057,33.1404
77,0,89,0.106834,137.044,32.9904
78,0,90,0.106848,137.044,32.8087
79,0,91,0.107122,137.036,32.6451
80,0,92,0.107434,137.026,32.4897
81,0,93,0.107746,137.017,32.3377
82,0,94,0.108222,137.002,32.2185
83,0,95,0.108429,136.995,32.0604
84,0,96,0.108642,136.989,31.9058
85,0,97,0.109133,136.973,31.8037
86,0,98,0.109119,136.973,31.6428
87,0,99,0.109509,136.961,31.5257
88,0,100,0.110033,136.943,31.4466
89,0,101,0.110597,136.925,31.385
90,0,102,0.111321,136.9,31.3906
91,0,103,0.111855,136.882,31.3282
92,0,104,0.112407,136.863,31.2773
93,0,105,0.113034,136.841,31.2608
94,0,106,0.113226,136.835,31.127
95,0,107,0.113234,136.834,30.9826
96,0,108,0.112933,136.845,30.8735
97,0,109,0.112936,136.845,30.7328
98,0,110,0.112482,136.862,30.6751
99,0,111,0.112141,136.874,30.585
100,0,112,0.111956,136.881,30.4637
101,0,113,0.112074,136.876,30.3359
102,0,114,0.112035,136.878,30.2044
103,0,115,0.111953,136.881,30.0769
104,0,116,0.111906,136.883,29.9492
105,0,117,0.111806,136.887,29.8269
106,0,118,0.111689,136.891,29.7081
107,0,119,0.111564,136.896,29.5921
108,0,120,0.111355,136.904,29.4929
109,0,121,0.111145,136.913,29.3959
110,0,122,0.110998,136.919,29.2884
111,0,123,0.110919,136.922,29.1737
112,0,124,0.110559,136.937,29.1338
113,0,125,0.109942,136.962,29.2517
114,0,126,0.110119,136.955,29.156
115,0,127,0.109986,136.961,29.0533
116,0,128,0.109793,136.969,28.9656
117,0,129,0.1092,136.994,29.0948
118,0,130,0.108783,137.012,29.1057
119,0,131,0.108487,137.025,29.0587
120,0,132,0.108325,137.032,28.9687
121,0,133,0.108295,137.033,28.8611
122,0,134,0.10827,137.034,28.7545
123,0,135,0.108269,137.034,28.6486
124,0,136,0.107864,137.053,28.6784
125,0,137,0.107672,137.061,28.6056
126,0,138,0.107297,137.078,28.6242
127,0,139,0.106674,137.107,28.8671
128,0,140,0.105572,137.158,29.8727
129,0,141,0.104422,137.212,31.0028
130,0,142,0.10367,137.247,31.4353
131,0,143,0.10297,137.28,31.8072
132,0,144,0.102251,137.314,32.2172
133,0,145,0.101219,137.364,33.2023
134,0,146,0.0998188,137.432,35.1596
135,0,147,0.0984404,137.499,37.0938
136,0,148,0.097348,137.552,38.2894
137,0,149,0.0958476,137.626,40.712
138,0,150,0.0946251,137.687,42.31
139,0,151,0.0933892,137.749,43.9834
140,0,152,0.092177,137.81,45.6237
141,0,153,0.0902579,137.907,50.0519
142,0,154,0.0885647,137.993,53.5347
143,0,155,0.087184,138.064,55.8414
144,0,156,0.0856396,138.144,58.8349
145,0,157,0.0835339,138.254,64.6773
146,0,158,0.0813705,138.367,70.9802
147,0,159,0.0792761,138.477,76.9916
148,0,160,0.0773347,138.58,82.2271
149,0,161,0.0757119,138.667,85.8823
150,0,162,0.074049,138.756,89.8134
151,0,163,0.0721076,138.861,95.3809
152,0,164,0.0702797,138.96,100.382
153,0,165,0.0684776,139.058,105.331
154,0,166,0.0667743,139.152,109.808
155,0,167,0.0648925,139.256,115.453
156,0,168,0.0630697,139.358,120.834
157,0,169,0.0611988,139.463,126.633
158,0,170,0.0594158,139.563,131.968
159,0,171,0.0578898,139.649,135.851
160,0,172,0.0565727,139.725,138.701
161,0,173,0.0556375,139.778,139.971
162,0,174,0.0547135,139.831,141.232
163,0,175,0.0537165,139.889,142.805
164,0,176,0.0527804,139.944,144.176
165,0,177,0.0521115,139.983,144.695
166,0,178,0.051327,140.029,145.588
167,0,179,0.0505779,140.074,146.389
168,0,180,0.0499615,140.111,146.816
169,0,181,0.0496179,140.131,146.676
170,0,182,0.0494319,140.142,146.354
171,0,183,0.049245,140.154,146.037
172,0,184,0.0490542,140.165,145.728
173,0,185,0.0488648,140.177,145.422
174,0,186,0.0486915,140.188,145.106
175,0,187,0.0484041,140.206,144.927
176,0,188,0.0481397,140.222,144.721
177,0,189,0.0479446,140.234,144.439
178,0,190,0.0476377,140.254,144.309
179,0,191,0.0473165,140.274,144.211
180,0,192,0.0469379,140.298,144.231
181,0,193,0.046477,140.328,144.452
182,0,194,0.0463446,140.336,144.131
183,0,195,0.0462307,140.343,143.801
184,0,196,0.0459866,140.359,143.611
185,0,197,0.0457837,140.373,143.372
186,0,198,0.0457568,140.374,143.013
187,0,199,0.0457101,140.377,142.662
188,0,200,0.0456932,140.379,142.308
189,0,201,0.0458631,140.367,142.048
190,0,202,0.0459953,140.358,141.755
191,0,203,0.0460312,140.356,141.411
192,0,204,0.0460802,140.353,141.074
193,0,205,0.0461465,140.348,140.746
194,0,206,0.0461583,140.347,140.407
195,0,207,0.0462208,140.343,140.083
196,0,208,0.0462927,140.338,139.766
197,0,209,0.0463584,140.333,139.449
198,0,210,0.0464251,140.329,139.134
199,0,211,0.0464743,140.325,138.815
200,0,212,0.0465372,140.321,138.504
201,0,213,0.0465192,140.322,138.182
202,0,214,0.0464969,140.324,137.862
203,0,215,0.0465155,140.322,137.544
204,0,216,0.0464748,140.325,137.233
205,0,217,0.0463314,140.336,137.005
206,0,218,0.0460116,140.359,137.129
207,0,219,0.0455597,140.392,137.705
208,0,220,0.0451094,140.425,138.289
209,0,221,0.0447731,140.449,138.484
210,0,222,0.0444406,140.474,138.677
211,0,223,0.044192,140.492,138.654
212,0,224,0.0440226,140.505,138.48
213,0,225,0.0438745,140.516,138.278
214,0,226,0.0439445,140.511,137.997
215,0,227,0.043976,140.508,137.699
216,0,228,0.0441011,140.499,137.476
217,0,229,0.044181,140.493,137.21
218,0,230,0.0442615,140.486,136.946
219,0,231,0.0443524,140.479,136.694
220,0,232,0.0444094,140.475,136.417
221,0,233,0.0444767,140.47,136.15
222,0,234,0.044533,140.466,135.877
223,0,235,0.0446028,140.46,135.616
224,0,236,0.0446617,140.455,135.349
225,0,237,0.0447187,140.451,135.083
226,0,238,0.0447394,140.449,134.803
227,0,239,0.0447963,140.445,134.541
228,0,240,0.0448628,140.44,134.288
229,0,241,0.0449165,140.435,134.028
230,0,242,0.0450843,140.422,133.925
231,0,243,0.0452665,140.407,133.858
232,0,244,0.0454487,140.392,133.795
233,0,245,0.0457133,140.371,133.973
234,0,246,0.0460151,140.346,134.296
235,0,247,0.0462707,140.325,134.457
236,0,248,0.0465415,140.303,134.679
237,0,249,0.0468043,140.281,134.88
238,0,250,0.0470728,140.259,135.109
239,0,251,0.0473241,140.238,135.282
240,0,252,0.0476131,140.214,135.608
241,0,253,0.0479222,140.188,136.028
242,0,254,0.0484612,140.142,137.881
243,0,255,0.048809,140.113,138.506
244,0,256,0.0492718,140.074,139.843
245,0,257,0.0495382,140.051,140.111
246,0,258,0.0495572,140.049,139.843
247,0,259,0.0496175,140.044,139.603
248,0,260,0.0497309,140.034,139.437
249,0,261,0.0498819,140.021,139.353
250,0,262,0.0500915,140.003,139.446
251,1,13,0.465868,133.867,1.0349
252,1,14,0.479633,133.798,1.04333
253,1,15,0.465839,133.872,1.06757
254,1,16,0.432018,134.063,1.48741
255,1,17,0.387297,134.332,2.43253
256,1,18,0.34247,134.616,3.58787
257,1,19,0.328012,134.712,3.64706
258,1,20,0.301022,134.901,4.20466
259,1,21,0.279003,135.062,4.6193
260,1,22,0.263569,135.181,4.81288
261,1,23,0.237701,135.388,5.69554
262,1,24,0.220485,135.531,6.08583
263,1,25,0.205869,135.658,6.38867
264,1,26,0.198745,135.722,6.38106
265,1,27,0.189927,135.804,6.46606
266,1,28,0.183615,135.865,6.46878
267,1,29,0.188282,135.819,6.43019
268,1,30,0.191069,135.79,6.35185
269,1,31,0.188782,135.814,6.27106
270,1,32,0.187832,135.825,6.17666
271,1,33,0.193216,135.764,6.23837
272,1,34,0.199307,135.693,6.36801
273,1,35,0.203076,135.647,6.37071
274,1,36,0.207238,135.596,6.40869
275,1,37,0.212039,135.535,6.508
276,1,38,0.216846,135.473,6.62732
277,1,39,0.218647,135.449,6.57344
278,1,40,0.220071,135.429,6.51241
279,1,41,0.21991,135.432,6.43281
280,1,42,0.219316,135.44,6.36024
281,1,43,0.2164,135.483,6.40324
