Date,Close
5/9/2023,21.41
5/10/2023,19.84
5/11/2023,19.42
5/12/2023,21.78
5/15/2023,21
5/16/2023,20.42
5/17/2023,19.5
5/18/2023,18.71
5/19/2023,20.46
5/22/2023,23.24
5/23/2023,23.31
5/24/2023,21.39
5/25/2023,20.53
5/26/2023,22.96
5/30/2023,23.45
5/31/2023,23.36
6/1/2023,24.7
6/2/2023,23.925
6/5/2023,22.95
6/6/2023,24
6/7/2023,26.67
6/8/2023,24.96
6/9/2023,25.11
6/12/2023,26.2
6/13/2023,28.49
6/14/2023,28.15
6/15/2023,27.03
6/16/2023,25.83
6/20/2023,26.34
6/21/2023,28.81
6/22/2023,28.7
6/23/2023,25.95
6/26/2023,26.15
6/27/2023,25
6/28/2023,26.01
6/29/2023,25.445
6/30/2023,25.49
7/3/2023,25.2
7/5/2023,25.2
7/6/2023,25.73
7/7/2023,24.85
7/10/2023,25
7/11/2023,25.7
7/12/2023,25.03
7/13/2023,24.43
7/14/2023,24.81
7/17/2023,24.38
7/18/2023,24.05
7/19/2023,24.67
7/20/2023,26.1
7/21/2023,25.74
7/24/2023,24.59
7/25/2023,24.99
7/26/2023,25.31
7/27/2023,24.73
7/28/2023,24.39
7/31/2023,24.86
8/1/2023,26.15
8/2/2023,24.8
8/3/2023,26.35
8/4/2023,27.2
8/7/2023,26.04
8/8/2023,27.71
8/9/2023,27.5
8/10/2023,27.05
8/11/2023,24.85
8/14/2023,27
8/15/2023,27.07
8/16/2023,28.01
8/17/2023,27.055
8/18/2023,27.28
8/21/2023,26.93
8/22/2023,25.97
8/23/2023,24.69
8/24/2023,24.79
8/25/2023,26.09
8/28/2023,25.355
8/29/2023,25.05
8/30/2023,24.06
8/31/2023,24.03
9/1/2023,23.65
9/5/2023,23.26
9/6/2023,22.46
9/7/2023,22.56
9/8/2023,22.26
9/11/2023,21.7
9/12/2023,21.89
9/13/2023,22.03
9/14/2023,21.67
9/15/2023,21.8
9/18/2023,23.13
9/19/2023,23.33
9/20/2023,25.84
9/21/2023,25.33
9/22/2023,23.97
9/25/2023,25.4
9/26/2023,24.66
9/27/2023,24.5
9/28/2023,23.84
9/29/2023,23.4
10/2/2023,23.12
10/3/2023,22.6
10/4/2023,22.78
10/5/2023,22.84
10/6/2023,23.08
10/9/2023,22.54
10/10/2023,22.55
10/11/2023,22.16
10/12/2023,22.33
10/13/2023,21.99
10/16/2023,22.21
10/17/2023,22.48
10/18/2023,22.41
10/19/2023,22.32
10/20/2023,21.54
10/23/2023,21.91
10/24/2023,21.85
10/25/2023,21.57
10/26/2023,21.2
10/27/2023,21.4
10/30/2023,21.15
10/31/2023,21.67
11/1/2023,21.31
11/2/2023,20.82
11/3/2023,20.94
11/6/2023,21.8
11/7/2023,21.65
11/8/2023,21.95
11/9/2023,21.32
11/10/2023,21.5
11/13/2023,22.07
11/14/2023,21.94
11/15/2023,21.44
11/16/2023,21.69
11/17/2023,22.05
11/20/2023,21.49
11/21/2023,21.29
11/22/2023,21.1
11/24/2023,21.14
11/27/2023,21.16
11/28/2023,21.22
11/29/2023,20.14
11/30/2023,19.8
12/1/2023,19.7
12/4/2023,20.15
12/5/2023,19.71
12/6/2023,19.48
12/7/2023,19.24
12/8/2023,19.44
12/11/2023,19.09
12/12/2023,19.25
12/13/2023,18.55
12/14/2023,18.22
12/15/2023,18.47
12/18/2023,18.15
12/19/2023,19.01
12/20/2023,19.09
12/21/2023,19.15
12/22/2023,19.81
12/26/2023,17.99
12/27/2023,18.41
12/28/2023,18.86
12/29/2023,18.91
1/2/2024,19.82
1/3/2024,20.56
1/4/2024,20.95
1/5/2024,20.07
1/8/2024,20.62
1/9/2024,21.21
1/10/2024,20.15
1/11/2024,19.39
1/12/2024,19.52
1/16/2024,20.09
1/17/2024,20.91
1/18/2024,21.43
1/19/2024,21.76
1/22/2024,21.54
1/23/2024,20.98
1/24/2024,21.45
1/25/2024,20.84
1/26/2024,20.44
1/29/2024,20.6
1/30/2024,20.33
1/31/2024,20.25
2/1/2024,19.94
2/2/2024,19.17
2/5/2024,18.73
2/6/2024,18.36
2/7/2024,17.93
2/8/2024,17.66
2/9/2024,17.49
2/12/2024,17.94
2/13/2024,17.57
2/14/2024,17.35
2/15/2024,17.16
2/16/2024,17.66
2/20/2024,18.21
2/21/2024,17.21
2/22/2024,16.98
2/23/2024,16.98
2/26/2024,17.2
2/27/2024,16.74
2/28/2024,16.58
2/29/2024,16.41
3/1/2024,15.97
3/4/2024,15.42
3/5/2024,15.08
3/6/2024,15.16
3/7/2024,15.72
3/8/2024,15.49
3/11/2024,14.92
3/12/2024,14.64
3/13/2024,14.38
3/14/2024,14.63
3/15/2024,15.07
3/18/2024,15.29
3/19/2024,14.98
3/20/2024,15.3
3/21/2024,15.21
3/22/2024,14.58
3/25/2024,14.08
3/26/2024,14.96
3/27/2024,15.01
3/28/2024,14.65
4/1/2024,14.54
4/2/2024,13.99
4/3/2024,14.75
4/4/2024,14.35
4/5/2024,14.34
4/8/2024,14.31
4/9/2024,14.13
4/10/2024,14.12
4/11/2024,13.99
4/12/2024,13.61
4/15/2024,13.72
4/16/2024,13.4
4/17/2024,13.47
4/18/2024,12.91
4/19/2024,12.97
4/22/2024,12.33
4/23/2024,12.02
4/24/2024,12.12
4/25/2024,12.55
4/26/2024,12.62
4/29/2024,12.17
4/30/2024,12.08
5/1/2024,11.61
5/2/2024,11.63
5/3/2024,11.45
5/6/2024,11.3
5/7/2024,11.58
5/8/2024,11.32
5/9/2024,10.98
5/10/2024,11.21
5/11/2024,11.32
5/12/2024,11.6
5/13/2024,11.24
5/14/2024,11.66
5/15/2024,12.03
5/16/2024,12.17
5/17/2024,11.69
5/18/2024,11.3
5/19/2024,11.07
5/20/2024,11.68
5/21/2024,11.67
