id,low,hi,m,q,cost
0,0,12,0.107802,20.2001,2.4161
1,0,13,0.146615,20.0449,2.44777
2,0,14,0.180429,19.8983,2.47924
3,0,15,0.197088,19.8206,2.46202
4,0,16,0.230931,19.6514,2.53914
5,0,17,0.237033,19.6188,2.50764
6,0,18,0.222263,19.7025,2.50643
7,0,19,0.223327,19.6961,2.4747
8,0,20,0.25589,19.4899,2.6655
9,0,21,0.257033,19.4823,2.635
10,0,22,0.256739,19.4843,2.6059
11,0,23,0.264846,19.4249,2.60017
12,0,24,0.28985,19.2332,2.80545
13,0,25,0.304128,19.119,2.86103
14,0,26,0.304158,19.1187,2.83416
15,0,27,0.293067,19.2149,2.87329
16,0,28,0.285613,19.2819,2.88109
17,0,29,0.293647,19.2069,2.89972
18,0,30,0.297782,19.167,2.88882
19,0,31,0.283872,19.3061,3.02439
20,0,32,0.271893,19.4299,3.12723
21,0,33,0.254739,19.6128,3.37585
22,0,34,0.243958,19.7314,3.46466
23,0,35,0.231233,19.8756,3.60891
24,0,36,0.219668,20.0106,3.73216
25,0,37,0.207772,20.1533,3.87341
26,0,38,0.196816,20.2884,3.99761
27,0,39,0.188642,20.392,4.06117
28,0,40,0.177883,20.5318,4.19995
29,0,41,0.168498,20.657,4.30657
30,0,42,0.162048,20.7451,4.34785
31,0,43,0.153917,20.859,4.43596
32,0,44,0.144638,20.992,4.56665
33,0,45,0.137171,21.1015,4.648
34,0,46,0.129108,21.2224,4.75423
35,0,47,0.120842,21.3492,4.87435
36,0,48,0.114769,21.4443,4.93197
37,0,49,0.112492,21.4808,4.91956
38,0,50,0.109403,21.5312,4.91984
39,0,51,0.103915,21.6227,4.97858
40,0,52,0.099646,21.6952,5.0079
41,0,53,0.0962794,21.7536,5.0196
42,0,54,0.0919495,21.8301,5.05819
43,0,55,0.0872553,21.9146,5.11188
44,0,56,0.0837328,21.9792,5.13477
45,0,57,0.0826774,21.9989,5.11683
46,0,58,0.0792975,22.0631,5.14224
47,0,59,0.0786555,22.0755,5.12249
48,0,60,0.0792983,22.0629,5.10329
49,0,61,0.0779771,22.0893,5.09124
50,0,62,0.079147,22.0655,5.07811
51,0,63,0.0797935,22.0521,5.06049
52,0,64,0.0796412,22.0553,5.04105
53,0,65,0.0764091,22.1243,5.08684
54,0,66,0.0761888,22.1291,5.06807
55,0,67,0.0759795,22.1337,5.04964
56,0,68,0.0768612,22.114,5.03692
57,0,69,0.0764237,22.1239,5.02031
58,0,70,0.0761965,22.1291,5.00296
59,0,71,0.0755012,22.1453,4.98964
60,0,72,0.0737114,22.1877,5.0013
61,0,73,0.0705994,22.2624,5.07501
