id,low,hi,m,q,costAIC
7,0,11,70.5469,1638.09,154.165
1494,12,16,80,988.28,51.4152
2076,17,23,102.693,692.914,98.2022
2844,24,28,49.26,1191.92,52.8421
3366,29,35,57.1429,1232.09,103
4050,36,40,18.6,1947.04,51.6486
4512,41,47,3.54286,2930.83,106.161
5112,48,52,14.46,1872.76,58.8867
5514,53,59,98.2429,-2063.71,106.889
6030,60,64,101.56,-3321.88,56.9117
6372,65,71,139.407,-5579.31,109.574
6804,72,76,148.8,-7650.6,56.4703
7086,77,83,165.671,-8788.51,112.556
7434,84,88,170.3,-11139,63.4093
7656,89,95,148.586,-8714.23,114.778
7920,96,100,205.44,-16280.6,63.2053
8082,101,107,113.55,-6437.91,116.953
8262,108,112,171.62,-14781.7,59.1182
8370,113,125,70.5099,-3030.37,210.128
8508,126,133,332.393,-38400.7,128.18
