id,low,hi,m,q,cost
0,0,4,-11.12,1798.6,56.4841
1,0,5,137.994,1599.78,75.2564
2,0,6,69.8357,1713.38,87.8245
3,0,7,52.9167,1747.22,97.6726
4,0,8,-4.37333,1880.89,112.053
5,0,9,0.0484848,1869.1,122.927
6,0,10,12.0036,1833.24,134.056
7,0,11,70.5469,1638.09,154.165
8,0,12,51.1473,1709.22,166.599
9,0,13,44.029,1737.7,177.189
10,0,14,35.5114,1774.61,188.92
11,0,15,35.2671,1775.75,200.215
12,0,16,32.7294,1788.44,211.514
13,0,17,53.4341,1678.01,227.765
14,0,18,45.1821,1724.77,240.074
15,0,19,42.0702,1743.44,251.636
16,0,20,36.1553,1780.9,263.731
17,0,21,34.1494,1794.28,275.182
18,0,22,33.4259,1799.34,286.503
19,0,23,50.1485,1676.71,307.09
20,0,24,45.6654,1711.08,319.372
21,0,25,42.6456,1735.24,331.334
22,0,26,38.1883,1772.38,343.847
23,0,27,36.6316,1785.87,355.551
24,0,28,35.1326,1799.36,367.239
25,0,29,45.6616,1701.09,386.417
26,0,30,41.5164,1741.16,399.362
27,0,31,39.0722,1765.61,411.583
28,0,32,34.2256,1815.69,425.436
29,0,33,30.9174,1850.98,438.293
30,0,34,30.1728,1859.17,450.115
31,0,35,38.8718,1760.58,470.66
32,0,36,36.3713,1789.75,483.343
33,0,37,34.9215,1807.15,495.564
34,0,38,32.6232,1835.49,508.275
35,0,39,30.952,1856.66,520.658
36,0,40,29.6818,1873.17,532.864
37,0,41,35.706,1792.85,551.777
38,0,42,33.2822,1825.98,564.971
39,0,43,31.6091,1849.4,577.615
40,0,44,27.8526,1903.24,592.938
41,0,45,23.5133,1966.89,609.526
42,0,46,22.9103,1975.93,621.771
43,0,47,28.1621,1895.4,641.12
44,0,48,26.5713,1920.33,654.061
45,0,49,25.4571,1938.15,666.681
46,0,50,23.5847,1968.74,680.044
47,0,51,21.9254,1996.39,693.241
48,0,52,21.303,2006.97,705.632
49,0,53,25.5542,1933.28,724.845
50,0,54,23.9011,1962.49,738.261
51,0,55,22.954,1979.54,750.984
52,0,56,21.0731,2014.02,764.931
53,0,57,19.5723,2042.04,778.37
54,0,58,19.581,2041.87,790.713
55,0,59,23.8755,1958.84,812.765
56,0,60,22.9063,1977.9,825.732
57,0,61,22.3865,1988.3,838.348
58,0,62,21.4992,2006.34,851.28
59,0,63,20.8934,2018.86,863.964
60,0,64,20.8657,2019.44,876.393
61,0,65,24.4457,1943.07,897.998
62,0,66,23.2627,1968.7,911.539
63,0,67,22.5631,1984.09,924.451
64,0,68,21.4334,2009.32,938.019
65,0,69,20.548,2029.39,951.226
66,0,70,20.4342,2032.01,963.762
67,0,71,24.3527,1940.58,990.077
68,0,72,23.6912,1956.23,1003.15
69,0,73,23.2684,1966.38,1016
70,0,74,22.8344,1976.94,1028.85
71,0,75,22.4234,1987.08,1041.69
72,0,76,22.5774,1983.23,1054.36
73,0,77,25.8978,1899.11,1079.3
74,0,78,24.8971,1924.8,1093.17
75,0,79,24.4207,1937.18,1106.21
76,0,80,23.5224,1960.84,1119.97
77,0,81,22.7258,1982.08,1133.55
78,0,82,22.7652,1981.02,1146.32
79,0,83,26.3463,1883.13,1175.77
80,0,84,25.4983,1906.6,1189.61
81,0,85,25.0794,1918.32,1202.78
82,0,86,24.7407,1927.92,1215.88
83,0,87,24.0447,1947.87,1229.51
84,0,88,24.0751,1946.99,1242.43
85,0,89,26.9656,1862.2,1268.03
86,0,90,26.3301,1881.06,1281.67
87,0,91,25.9295,1893.07,1294.96
88,0,92,25.2278,1914.36,1308.8
89,0,93,24.4562,1938.02,1322.85
90,0,94,24.2141,1945.52,1335.98
91,0,95,27.4763,1843.31,1367.35
92,0,96,26.8148,1864.26,1381.27
93,0,97,26.373,1878.4,1394.8
94,0,98,26.0754,1888.02,1408.15
95,0,99,25.5249,1906,1421.9
96,0,100,25.5865,1903.97,1435.08
97,0,101,28.4256,1809.33,1463.84
98,0,102,27.6528,1835.35,1478.26
99,0,103,27.1823,1851.35,1492
100,0,104,26.3901,1878.54,1506.58
101,0,105,25.7775,1899.78,1520.68
102,0,106,25.6035,1905.87,1534.05
103,0,107,28.3254,1809.7,1563.21
104,0,108,27.7201,1831.29,1577.41
105,0,109,27.3192,1845.72,1591.18
106,0,110,27.0413,1855.82,1604.78
107,0,111,26.6117,1871.57,1618.64
108,0,112,26.4758,1876.6,1632.09
109,0,113,28.7539,1791.55,1658.12
110,0,114,28.0512,1818.02,1672.8
111,0,115,27.4485,1840.92,1687.21
112,0,116,26.702,1869.54,1702.14
113,0,117,26.1164,1892.18,1716.56
114,0,118,25.842,1902.88,1730.27
115,0,119,28.1003,1814.05,1757.55
116,0,120,27.5073,1837.57,1772.09
117,0,121,27.1183,1853.14,1786.11
118,0,122,26.6798,1870.82,1800.26
119,0,123,26.184,1890.98,1814.59
120,0,124,26.0501,1896.47,1828.24
121,0,125,27.9916,1816.23,1853.31
122,0,126,27.3501,1842.96,1868.22
123,0,127,26.7584,1867.81,1882.99
124,0,128,26.0172,1899.18,1898.42
125,0,129,25.4013,1925.46,1913.34
126,0,130,25.1374,1936.81,1927.26
127,0,131,27.0203,1855.22,1952.87
128,0,132,26.4398,1880.56,1967.75
