x,N2829
0,2622.4
1,2607.5
2,2556.6
3,2569.3
4,2533.2
5,2529.0
6,2577.8
7,2556.6
8,2558.7
9,2541.7
10,2473.8
11,2461.0
12,2435.5
13,2414.3
14,2350.6
15,2329.4
16,2278.4
17,2252.9
18,2269.9
19,2227.4
20,2195.6
21,2204.1
22,2195.6
23,2202.0
24,2157.4
25,2142.5
26,2125.5
27,2110.7
28,2072.4
29,2076.7
30,2095.8
31,2023.6
32,2004.5
33,1985.4
34,1953.5
35,1915.3
36,1881.3
37,1821.9
38,1775.2
39,1790.0
40,1758.2
41,1747.6
42,1679.6
43,1692.3
44,1675.4
45,1639.3
46,1622.3
47,1577.7
48,1581.9
49,1562.8
50,1552.2
51,1535.2
52,1507.6
53,1494.9
54,1477.9
55,1448.2
56,1418.4
57,1414.2
58,1401.4
59,1390.8
60,1378.1
61,1361.1
62,1331.4
63,1316.5
64,1316.5
65,1286.8
66,1282.5
67,1261.3
68,1263.4
69,1257.1
70,1233.7
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
