x,Q11146
0,528.0
1,532.0
2,535.0
3,536.0
4,540.0
5,543.0
6,545.0
7,552.0
8,556.0
9,561.0
10,565.0
11,566.0
12,573.0
13,575.0
14,577.0
15,581.0
16,585.0
17,807.0
18,592.0
19,793.0
20,603.0
21,822.0
22,609.0
23,801.0
24,603.0
25,844.0
26,629.0
27,819.0
28,668.0
29,843.0
30,726.0
31,933.0
32,794.0
33,950.0
34,806.0
35,965.0
36,888.0
37,742.0
38,733.0
39,1077.0
40,1040.0
41,879.0
42,932.0
43,1032.0
44,948.0
45,743.0
46,19114.0
47,6842.0
48,2588.0
49,792.0
50,813.0
51,783.0
52,709.0
53,583.0
54,547.0
55,504.0
56,550.0
57,624.0
58,701.0
59,786.0
60,774.0
61,848.0
62,842.0
63,880.0
64,1249.0
65,859.0
66,1146.0
67,897.0
68,1175.0
69,1166.0
70,1198.0
71,867.0
72,1222.0
73,1255.0
74,1255.0
75,1255.0
76,1255.0
77,1255.0
78,1255.0
79,1255.0
80,1255.0
81,1255.0
82,1255.0
83,1255.0
84,1255.0
85,1255.0
86,1255.0
87,1255.0
88,1255.0
89,1255.0
90,1255.0
91,1255.0
92,1255.0
93,1255.0
94,1255.0
95,1255.0
96,1255.0
97,1255.0
98,1255.0
99,1255.0
100,1255.0
101,1255.0
102,1255.0
103,1255.0
104,1255.0
105,1255.0
106,1255.0
107,1255.0
108,1255.0
109,1255.0
110,1255.0
111,1255.0
112,1255.0
113,1255.0
114,1255.0
115,1255.0
116,1255.0
117,1255.0
118,1255.0
119,1255.0
120,1255.0
121,1255.0
122,1255.0
123,1255.0
124,1255.0
125,1255.0
126,1255.0
127,1255.0
128,1255.0
129,1255.0
130,1255.0
131,1255.0
132,1255.0
133,1255.0
134,1255.0
135,1255.0
136,1255.0
137,1255.0
138,1255.0
139,1255.0
140,1255.0
141,1255.0
142,1255.0
143,1255.0
144,1255.0
145,1255.0
146,1255.0
147,1255.0
148,1255.0
149,1255.0
150,1255.0
151,1255.0
152,1255.0
153,1255.0
154,1255.0
155,1255.0
156,1255.0
157,1255.0
158,1255.0
159,1255.0
160,1255.0
161,1255.0
162,1255.0
163,1255.0
164,1255.0
165,1255.0
166,1255.0
167,1255.0
168,1255.0
169,1255.0
170,1255.0
171,1255.0
172,1255.0
173,1255.0
174,1255.0
175,1255.0
176,1255.0
177,1255.0
178,1255.0
179,1255.0
180,1255.0
181,1255.0
182,1255.0
183,1255.0
184,1255.0
185,1255.0
186,1255.0
187,1255.0
188,1255.0
189,1255.0
190,1255.0
191,1255.0
192,1255.0
193,1255.0
194,1255.0
195,1255.0
196,1255.0
197,1255.0
198,1255.0
199,1255.0
200,1255.0
201,1255.0
202,1255.0
203,1255.0
204,1255.0
205,1255.0
206,1255.0
207,1255.0
208,1255.0
209,1255.0
210,1255.0
211,1255.0
212,1255.0
213,1255.0
214,1255.0
215,1255.0
216,1255.0
217,1255.0
218,1255.0
219,1255.0
220,1255.0
221,1255.0
222,1255.0
223,1255.0
224,1255.0
225,1255.0
226,1255.0
227,1255.0
228,1255.0
229,1255.0
230,1255.0
231,1255.0
232,1255.0
233,1255.0
234,1255.0
235,1255.0
236,1255.0
237,1255.0
238,1255.0
239,1255.0
240,1255.0
241,1255.0
242,1255.0
243,1255.0
244,1255.0
245,1255.0
246,1255.0
247,1255.0
248,1255.0
249,1255.0
250,1255.0
251,1255.0
252,1255.0
253,1255.0
254,1255.0
255,1255.0
256,1255.0
257,1255.0
258,1255.0
259,1255.0
260,1255.0
261,1255.0
262,1255.0
263,1255.0
264,1255.0
265,1255.0
266,1255.0
267,1255.0
268,1255.0
269,1255.0
270,1255.0
271,1255.0
272,1255.0
273,1255.0
274,1255.0
275,1255.0
276,1255.0
277,1255.0
278,1255.0
279,1255.0
280,1255.0
281,1255.0
282,1255.0
283,1255.0
284,1255.0
285,1255.0
286,1255.0
287,1255.0
288,1255.0
289,1255.0
290,1255.0
291,1255.0
292,1255.0
293,1255.0
294,1255.0
295,1255.0
296,1255.0
297,1255.0
298,1255.0
299,1255.0
300,1255.0
301,1255.0
302,1255.0
303,1255.0
304,1255.0
305,1255.0
306,1255.0
307,1255.0
308,1255.0
309,1255.0
310,1255.0
311,1255.0
312,1255.0
313,1255.0
314,1255.0
315,1255.0
316,1255.0
317,1255.0
318,1255.0
319,1255.0
320,1255.0
321,1255.0
322,1255.0
323,1255.0
324,1255.0
325,1255.0
326,1255.0
327,1255.0
328,1255.0
329,1255.0
330,1255.0
331,1255.0
332,1255.0
333,1255.0
334,1255.0
335,1255.0
336,1255.0
337,1255.0
338,1255.0
339,1255.0
340,1255.0
341,1255.0
342,1255.0
343,1255.0
344,1255.0
345,1255.0
346,1255.0
347,1255.0
348,1255.0
349,1255.0
350,1255.0
351,1255.0
352,1255.0
353,1255.0
354,1255.0
355,1255.0
356,1255.0
357,1255.0
358,1255.0
359,1255.0
360,1255.0
361,1255.0
362,1255.0
363,1255.0
364,1255.0
365,1255.0
366,1255.0
367,1255.0
368,1255.0
369,1255.0
370,1255.0
371,1255.0
372,1255.0
373,1255.0
374,1255.0
375,1255.0
376,1255.0
377,1255.0
378,1255.0
379,1255.0
380,1255.0
381,1255.0
382,1255.0
383,1255.0
384,1255.0
385,1255.0
386,1255.0
387,1255.0
388,1255.0
389,1255.0
390,1255.0
391,1255.0
392,1255.0
393,1255.0
394,1255.0
395,1255.0
396,1255.0
397,1255.0
398,1255.0
399,1255.0
400,1255.0
401,1255.0
402,1255.0
403,1255.0
404,1255.0
405,1255.0
406,1255.0
407,1255.0
408,1255.0
409,1255.0
410,1255.0
411,1255.0
412,1255.0
413,1255.0
414,1255.0
415,1255.0
416,1255.0
417,1255.0
418,1255.0
419,1255.0
420,1255.0
421,1255.0
422,1255.0
423,1255.0
424,1255.0
425,1255.0
426,1255.0
427,1255.0
428,1255.0
429,1255.0
430,1255.0
431,1255.0
432,1255.0
433,1255.0
434,1255.0
435,1255.0
436,1255.0
437,1255.0
438,1255.0
439,1255.0
440,1255.0
441,1255.0
442,1255.0
443,1255.0
444,1255.0
445,1255.0
446,1255.0
447,1255.0
448,1255.0
449,1255.0
450,1255.0
451,1255.0
452,1255.0
453,1255.0
454,1255.0
455,1255.0
456,1255.0
457,1255.0
458,1255.0
459,1255.0
460,1255.0
461,1255.0
462,1255.0
463,1255.0
464,1255.0
465,1255.0
466,1255.0
467,1255.0
468,1255.0
469,1255.0
470,1255.0
471,1255.0
472,1255.0
473,1255.0
474,1255.0
475,1255.0
476,1255.0
477,1255.0
478,1255.0
479,1255.0
480,1255.0
481,1255.0
482,1255.0
483,1255.0
484,1255.0
485,1255.0
486,1255.0
487,1255.0
488,1255.0
489,1255.0
490,1255.0
491,1255.0
492,1255.0
493,1255.0
494,1255.0
495,1255.0
496,1255.0
497,1255.0
498,1255.0
499,1255.0
500,1255.0
501,1255.0
502,1255.0
503,1255.0
504,1255.0
505,1255.0
506,1255.0
507,1255.0
508,1255.0
509,1255.0
510,1255.0
511,1255.0
512,1255.0
513,1255.0
514,1255.0
515,1255.0
516,1255.0
517,1255.0
518,1255.0
519,1255.0
520,1255.0
521,1255.0
522,1255.0
523,1255.0
524,1255.0
525,1255.0
526,1255.0
527,1255.0
528,1255.0
529,1255.0
530,1255.0
531,1255.0
532,1255.0
533,1255.0
534,1255.0
535,1255.0
536,1255.0
537,1255.0
538,1255.0
539,1255.0
540,1255.0
541,1255.0
542,1255.0
543,1255.0
544,1255.0
545,1255.0
546,1255.0
547,1255.0
548,1255.0
549,1255.0
550,1255.0
551,1255.0
552,1255.0
553,1255.0
554,1255.0
555,1255.0
556,1255.0
557,1255.0
558,1255.0
559,1255.0
560,1255.0
561,1255.0
562,1255.0
563,1255.0
564,1255.0
565,1255.0
566,1255.0
567,1255.0
568,1255.0
569,1255.0
570,1255.0
571,1255.0
572,1255.0
573,1255.0
574,1255.0
575,1255.0
576,1255.0
577,1255.0
578,1255.0
579,1255.0
580,1255.0
581,1255.0
582,1255.0
583,1255.0
584,1255.0
585,1255.0
586,1255.0
587,1255.0
588,1255.0
589,1255.0
590,1255.0
591,1255.0
592,1255.0
593,1255.0
594,1255.0
595,1255.0
596,1255.0
597,1255.0
598,1255.0
599,1255.0
600,1255.0
601,1255.0
602,1255.0
603,1255.0
604,1255.0
605,1255.0
606,1255.0
607,1255.0
608,1255.0
609,1255.0
610,1255.0
611,1255.0
612,1255.0
613,1255.0
614,1255.0
615,1255.0
616,1255.0
617,1255.0
618,1255.0
619,1255.0
620,1255.0
621,1255.0
622,1255.0
623,1255.0
624,1255.0
625,1255.0
626,1255.0
627,1255.0
628,1255.0
629,1255.0
630,1255.0
631,1255.0
632,1255.0
633,1255.0
634,1255.0
635,1255.0
636,1255.0
637,1255.0
638,1255.0
639,1255.0
640,1255.0
641,1255.0
642,1255.0
643,1255.0
644,1255.0
645,1255.0
646,1255.0
647,1255.0
648,1255.0
649,1255.0
650,1255.0
651,1255.0
652,1255.0
653,1255.0
654,1255.0
655,1255.0
656,1255.0
657,1255.0
658,1255.0
659,1255.0
660,1255.0
661,1255.0
662,1255.0
663,1255.0
664,1255.0
665,1255.0
666,1255.0
667,1255.0
668,1255.0
669,1255.0
670,1255.0
671,1255.0
672,1255.0
673,1255.0
674,1255.0
675,1255.0
676,1255.0
677,1255.0
678,1255.0
679,1255.0
680,1255.0
681,1255.0
682,1255.0
683,1255.0
684,1255.0
685,1255.0
686,1255.0
687,1255.0
688,1255.0
689,1255.0
690,1255.0
691,1255.0
692,1255.0
693,1255.0
694,1255.0
695,1255.0
696,1255.0
697,1255.0
698,1255.0
699,1255.0
700,1255.0
701,1255.0
702,1255.0
703,1255.0
704,1255.0
705,1255.0
706,1255.0
707,1255.0
708,1255.0
709,1255.0
710,1255.0
711,1255.0
712,1255.0
713,1255.0
714,1255.0
715,1255.0
716,1255.0
717,1255.0
718,1255.0
719,1255.0
720,1255.0
721,1255.0
722,1255.0
723,1255.0
724,1255.0
725,1255.0
726,1255.0
727,1255.0
728,1255.0
729,1255.0
730,1255.0
731,1255.0
732,1255.0
733,1255.0
734,1255.0
735,1255.0
736,1255.0
737,1255.0
738,1255.0
739,1255.0
740,1255.0
741,1255.0
742,1255.0
743,1255.0
744,1255.0
745,1255.0
746,1255.0
747,1255.0
748,1255.0
749,1255.0
750,1255.0
751,1255.0
752,1255.0
753,1255.0
754,1255.0
755,1255.0
756,1255.0
757,1255.0
758,1255.0
759,1255.0
760,1255.0
761,1255.0
762,1255.0
763,1255.0
764,1255.0
765,1255.0
766,1255.0
767,1255.0
768,1255.0
769,1255.0
770,1255.0
771,1255.0
772,1255.0
773,1255.0
774,1255.0
775,1255.0
776,1255.0
777,1255.0
778,1255.0
779,1255.0
780,1255.0
781,1255.0
782,1255.0
783,1255.0
784,1255.0
785,1255.0
786,1255.0
787,1255.0
788,1255.0
789,1255.0
790,1255.0
791,1255.0
792,1255.0
793,1255.0
794,1255.0
795,1255.0
796,1255.0
797,1255.0
798,1255.0
799,1255.0
800,1255.0
801,1255.0
802,1255.0
803,1255.0
804,1255.0
805,1255.0
806,1255.0
807,1255.0
808,1255.0
809,1255.0
810,1255.0
811,1255.0
812,1255.0
813,1255.0
814,1255.0
815,1255.0
816,1255.0
817,1255.0
818,1255.0
819,1255.0
820,1255.0
821,1255.0
822,1255.0
823,1255.0
824,1255.0
825,1255.0
826,1255.0
827,1255.0
828,1255.0
829,1255.0
830,1255.0
831,1255.0
832,1255.0
833,1255.0
834,1255.0
835,1255.0
836,1255.0
837,1255.0
838,1255.0
839,1255.0
840,1255.0
841,1255.0
842,1255.0
843,1255.0
844,1255.0
845,1255.0
846,1255.0
847,1255.0
848,1255.0
849,1255.0
850,1255.0
851,1255.0
852,1255.0
853,1255.0
854,1255.0
855,1255.0
856,1255.0
857,1255.0
858,1255.0
859,1255.0
860,1255.0
861,1255.0
862,1255.0
863,1255.0
864,1255.0
865,1255.0
