id,low,hi,m,q,
1,0,5,975.257,354.19,86.0721
2,0,6,1358.64,-284.786,105.619
3,0,7,1345.17,-257.833,117.793
4,0,8,1050.4,429.956,137.701
5,0,9,754.352,1219.42,157.523
6,0,10,451.718,2127.32,177.682
7,0,11,221.671,2894.14,195.928
8,0,12,78.9505,3417.45,212.494
9,0,13,-6.87253,3760.74,227.238
10,0,14,-54.0607,3965.22,242.489
11,0,15,-65.4941,4018.58,257.383
12,0,16,-49.4681,3938.45,272.262
13,0,17,12.839,3606.15,288.444
14,0,18,100.404,3109.95,306.503
15,0,19,158.023,2764.23,323.028
16,0,20,157.391,2768.23,337.955
17,0,21,132.093,2936.89,353.32
18,0,22,89.6265,3234.15,369.814
19,0,23,50.1509,3523.64,386.337
20,0,24,17.4069,3774.68,402.555
21,0,25,-8.00205,3977.95,418.398
22,0,26,-22.7076,4100.49,433.681
23,0,27,-27.7794,4144.45,448.629
24,0,28,-23.2803,4103.96,463.54
25,0,29,-1.28565,3898.68,479.716
26,0,30,31.9254,3577.64,497.915
27,0,31,57.9577,3317.31,515.05
28,0,32,59.7547,3298.74,530.017
29,0,33,54.0943,3359.12,545.079
30,0,34,38.3737,3532.05,561.183
31,0,35,22.4001,3713.08,577.47
32,0,36,9.16904,3867.44,593.44
33,0,37,-2.56658,4008.27,609.282
34,0,38,-9.06943,4088.47,624.515
35,0,39,-12.2149,4128.32,639.498
36,0,40,-9.10592,4087.9,654.466
37,0,41,1.71615,3943.6,670.571
38,0,42,19.8028,3696.42,689.146
39,0,43,36.4181,3463.81,707.32
40,0,44,38.148,3439.01,722.331
41,0,45,36.1008,3469.04,737.342
42,0,46,28.2266,3587.15,753.243
43,0,47,19.4363,3721.93,769.486
44,0,48,11.8203,3841.25,785.49
45,0,49,4.9369,3951.39,801.374
46,0,50,0.0517647,4031.18,816.83
47,0,51,-2.10313,4067.09,831.868
48,0,52,0.0546686,4030.41,846.901
49,0,53,6.85405,3912.55,863.106
50,0,54,18.0229,3715.24,881.712
51,0,55,28.0915,3534,899.763
52,0,56,30.3272,3493.01,914.912
53,0,57,30.1489,3496.34,929.885
54,0,58,25.2998,3588.47,945.741
55,0,59,19.3061,3704.35,962.162
56,0,60,13.8237,3812.17,978.428
57,0,61,9.07502,3907.15,994.436
58,0,62,5.80746,3973.59,1009.93
59,0,63,3.77459,4015.6,1025.11
60,0,64,4.37155,4003.06,1040.08
61,0,65,9.14059,3901.32,1056.41
62,0,66,16.8716,3733.82,1075.15
63,0,67,23.292,3592.57,1092.82
64,0,68,24.6704,3561.79,1107.96
65,0,69,24.0401,3576.07,1122.98
66,0,70,20.4992,3657.51,1138.95
67,0,71,16.2538,3756.57,1155.42
68,0,72,12.4665,3846.21,1171.66
69,0,73,8.88243,3932.22,1187.84
70,0,74,6.49977,3990.2,1203.38
71,0,75,5.07187,4025.42,1218.58
72,0,76,5.71234,4009.41,1233.6
73,0,77,8.91072,3928.39,1249.75
74,0,78,14.2695,3790.84,1268.19
75,0,79,19.0046,3667.73,1285.97
76,0,80,20.2195,3635.74,1301.18
77,0,81,19.8629,3645.25,1316.2
78,0,82,17.3715,3712.52,1332.1
79,0,83,14.1913,3799.44,1348.64
80,0,84,11.3296,3878.61,1364.94
81,0,85,8.65951,3953.38,1381.13
82,0,86,6.7574,4007.27,1396.76
83,0,87,5.68705,4037.95,1411.98
84,0,88,5.7182,4037.05,1426.97
85,0,89,7.94752,3971.66,1442.97
86,0,90,11.7022,3860.27,1460.92
87,0,91,14.9384,3763.18,1478.2
88,0,92,15.7349,3739.02,1493.36
89,0,93,14.9224,3763.94,1508.52
90,0,94,12.9371,3825.48,1524.51
91,0,95,10.5547,3900.13,1540.98
92,0,96,8.36359,3969.52,1557.28
93,0,97,6.46019,4030.43,1573.3
94,0,98,4.90533,4080.7,1589.01
95,0,99,3.94217,4112.16,1604.3
96,0,100,4.0893,4107.31,1619.31
97,0,101,5.69905,4053.65,1635.17
98,0,102,9.05363,3940.71,1654.03
99,0,103,12.2035,3833.62,1672.51
100,0,104,13.057,3804.31,1687.81
101,0,105,12.9182,3809.12,1702.85
102,0,106,11.3043,3865.61,1718.9
103,0,107,9.51521,3928.83,1735.22
104,0,108,7.83508,3988.75,1751.44
105,0,109,6.303,4043.9,1767.49
106,0,110,5.14459,4085.99,1783.13
107,0,111,4.52731,4108.63,1798.33
108,0,112,4.78316,4099.16,1813.38
109,0,113,6.21993,4045.52,1829.45
110,0,114,8.77349,3949.34,1847.9
111,0,115,11.1332,3859.67,1865.91
112,0,116,11.8098,3833.73,1881.21
113,0,117,11.6904,3838.35,1896.26
114,0,118,10.3644,3890.06,1912.34
115,0,119,8.8936,3947.91,1928.7
116,0,120,7.48966,4003.6,1944.99
117,0,121,6.19024,4055.58,1961.13
118,0,122,5.17223,4096.64,1976.88
119,0,123,4.59784,4120,1992.14
120,0,124,4.70332,4115.67,2007.18
121,0,125,5.83696,4068.82,2023.18
122,0,126,8.04404,3976.86,2041.97
123,0,127,10.1929,3886.61,2060.63
124,0,128,10.8486,3858.85,2076.04
125,0,129,10.7914,3861.29,2091.1
126,0,130,9.71187,3907.71,2107.16
127,0,131,8.48803,3960.74,2123.54
128,0,132,7.26454,4014.16,2139.96
129,0,133,6.11185,4064.88,2156.26
130,1,5,1232.3,-588.3,71.9903
131,1,6,1657.8,-1581.13,89.3105
132,1,7,1555,-1307,102.634
133,1,8,1134.08,-44.25,123.547
