t,cases
0,2803
1,6390
2,6552
3,6961
4,7169
5,5625
6,2594
7,8007
8,8541
9,8274
10,7850
11,8837
12,7433
13,3465
14,10009
15,11069
16,10535
17,10930
18,11351
19,9526
20,4335
21,12810
22,13496
23,13163
24,13226
25,13717
26,11848
27,5511
28,16011
29,16156
30,15995
31,16797
32,17326
33,14362
34,6837
35,19696
36,20170
37,10017
38,21308
39,22666
40,19223
41,9120
42,25624
43,26280
44,26560
45,26938
46,29592
47,24063
48,12369
49,38357
50,42193
51,51370
52,58449
53,58525
54,15324
55,29179
56,112433
57,130936
58,161366
59,169064
60,141840
61,36217
62,65241
63,218627
64,208378
65,209501
66,70625
67,232140
68,153978
69,71473
70,251879
71,204914
72,188448
73,175774
74,181069
75,144964
76,64523
77,239097
78,194088
79,189442
80,173946
81,173892
82,135805
83,61510
84,208382
85,158231
86,151858
87,134238
88,131684
89,102745
90,46668
91,152357
92,113981
93,106331
94,93258
95,90837
96,73611
97,33830
98,110496
99,78268
100,73059
101,63373
102,60703
103,49499
104,24007
105,77495
106,56186
107,57249
108,51873
109,50154
110,41745
111,20549
112,65359
113,45820
114,46899
115,40878
116,38792
117,31260
118,15324
119,52928
120,36488
121,42916
122,40338
123,42726
124,37592
125,19804
126,67311
127,50695
128,56136
129,55620
130,57382
131,50694
132,26408
133,97430
134,75363
135,83309
136,78701
137,75435
138,61641
139,29093
140,104777
141,77558
142,82244
143,75302
144,75178
145,60905
146,27383
147,109140
148,79103
149,76921
150,73875
151,71918
152,55464
153,25862
154,96205
155,69372
156,71870
157,66532
158,65353
159,54327
160,23823
161,89515
162,61547
163,65505
164,62536
165,64094
166,53261
167,16465
168,25471
169,109590
170,76237
171,73007
172,72220
173,55686
174,24140
175,28720
176,99893
177,64052
178,57615
179,53766
180,40861
181,15368
182,69341
183,47101
184,47008
185,43757
186,41392
187,32267
188,15143
189,60337
190,41514
191,42035
192,38215
193,36387
194,27118
195,11645
196,47791
197,30675
198,30554
199,26722
200,24400
201,17896
202,8651
203,33917
204,22438
205,22145
206,19588
207,18500
208,14816
209,7007
210,25911
211,18548
212,19434
213,6879
214,24432
215,15399
216,8043
217,30703
218,22715
219,23511
220,22528
221,22748
222,19217
223,10025
224,43000
225,33875
226,37857
227,37666
228,38585
229,31238
230,15595
231,68869
232,53051
233,58172
234,57516
235,58256
236,49966
237,23671
238,105354
239,80082
240,84727
241,87017
242,89540
243,72814
244,33868
245,147994
246,107884
247,110066
248,100730
249,102427
250,81806
251,35176
252,154590
253,110737
254,108336
255,96610
256,92126
257,69743
258,28943
259,127726
260,84853
261,81031
262,70929
263,69112
264,51884
265,21380
266,95695
267,63436
268,59445
269,52875
270,50224
271,38541
272,16053
273,69376
274,44518
275,42023
276,37284
277,34729
278,26649
279,10899
280,45520
281,29858
282,28095
283,25424
284,24550
285,19379
286,9765
287,8282
288,38630
289,26178
290,24298
291,24312
292,19923
293,8948
294,37413
295,25212
296,22600
297,21649
298,22254
299,17604
300,7566
301,32772
302,21122
303,20495
304,18522
305,17635
306,13522
307,5772
308,26117
309,17134
310,17114
311,15252
312,15642
313,12413
314,5720
315,25308
316,17221
317,17700
318,17398
319,17129
320,13608
321,6413
322,29284
323,20899
324,22208
325,21577
326,22320
327,18981
328,9498
329,46782
330,36417
331,37084
332,34292
333,34058
334,28428
335,12515
336,63435
337,43406
338,46218
339,43809
340,44054
341,33731
342,13868
343,68212
344,46368
345,45358
346,39458
347,39120
348,29272
349,11917
350,61458
351,40296
352,38927
353,34950
354,32884
355,25061
356,10416
357,50519
358,32894
359,31138
360,28033
361,26138
362,18873
363,7390
364,33460
365,8519
366,40903
367,27316
368,26342
369,20644
370,8725
371,41194
372,27092
373,27932
374,26625
375,27818
376,22437
377,10259
378,49997
379,35267
380,35506
381,33917
382,32976
383,25256
384,11241
385,54301
386,32647
387,36878
388,33423
389,31482
390,24117
391,10872
392,53647
393,35110
394,34624
395,33093
396,32720
397,24746
398,11123
399,51891
400,32939
401,30851
402,9191
403,34862
404,21321
405,10637
406,44320
407,25816
408,24056
409,21719
410,20761
411,16193
412,7434
413,29555
414,19670
415,19124
416,18247
417,19692
418,15745
419,4242
420,8109
421,31296
422,23033
423,24011
424,24129
425,16586
426,4103
427,27759
428,18164
429,17411
430,16039
431,4171
432,13994
433,4926
434,20297
435,11480
436,10018
437,8607
438,7639
439,5895
440,2530
441,11865
442,7057
443,6897
444,6126
445,5265
446,3804
447,2044
448,8272
449,5592
450,5367
451,4815
452,4622
453,3450
454,1845
455,7587
456,5079
457,5004
458,4512
459,4417
460,3425
461,1721
462,7386
463,4473
464,4328
465,3922
466,3775
467,2892
468,1559
469,6745
470,4601
471,4608
472,4296
473,4127
474,3106
475,1599
476,6931
477,4600
478,4575
479,4045
480,3906
481,2824
482,1401
483,5900
484,3685
485,3560
486,3249
487,3140
488,2371
489,1342
490,5696
491,3741
492,3615
493,3593
494,3232
495,2503
496,1318
497,5493
498,3773
499,3409
500,3160
501,2966
502,2197
503,1174
504,5191
505,3667
506,3481
