id,low,hi,m,q,cost
0,0,8,-0.321833,28.5784,9.3405
1,0,9,-0.228121,28.3285,9.47213
2,0,10,-0.153455,28.1045,9.58604
3,0,11,-0.132168,28.0336,9.24029
4,0,12,-0.117253,27.9789,8.91895
5,0,13,-0.139956,28.0697,8.71988
6,0,14,-0.135214,28.0492,8.43125
7,0,15,-0.126191,28.0071,8.19582
8,0,16,-0.124583,27.999,7.95239
9,0,17,-0.118989,27.9692,7.7474
10,0,18,-0.108842,27.9117,7.61705
11,0,19,-0.0890376,27.7929,7.77412
12,0,20,-0.0743896,27.7001,7.81509
13,0,21,-0.060847,27.6098,7.86624
14,0,22,-0.0454249,27.5018,8.04465
15,0,23,-0.0407957,27.4679,7.91217
16,0,24,-0.0387538,27.4522,7.76062
17,0,25,-0.0365607,27.4347,7.62095
18,0,26,-0.0294505,27.3754,7.61129
19,0,27,-0.033295,27.4088,7.51837
20,0,28,-0.0327882,27.4042,7.38847
21,0,29,-0.037584,27.449,7.35237
22,0,30,-0.0390444,27.4631,7.242
23,0,31,-0.0404234,27.4769,7.13711
24,0,32,-0.040869,27.4815,7.02921
25,0,33,-0.0416898,27.4902,6.9291
26,0,34,-0.0374174,27.4432,6.95057
27,0,35,-0.036668,27.4347,6.85747
28,0,36,-0.0419369,27.4962,6.98877
29,0,37,-0.0417934,27.4945,6.89638
30,0,38,-0.0479717,27.5707,7.17979
31,0,39,-0.0576295,27.693,8.08514
32,0,40,-0.0642422,27.779,8.49552
33,0,41,-0.0710364,27.8696,8.9798
34,0,42,-0.074322,27.9145,9.02375
35,0,43,-0.0797118,27.9899,9.35563
36,0,44,-0.0870817,28.0956,10.132
37,0,45,-0.0822997,28.0254,10.4221
38,0,46,-0.0823786,28.0266,10.3108
39,0,47,-0.0846613,28.0616,10.3091
40,0,48,-0.086199,28.0857,10.2552
41,0,49,-0.086533,28.0911,10.1547
42,0,50,-0.0828326,28.0306,10.4008
43,0,51,-0.0879403,28.1157,11.0065
