id,low,hi,m,q,costQRMSEn
0,0,8,-0.321833,28.5784,84.0645
1638,9,17,-0.189,29.0814,4.04929
3195,18,26,0.0158333,26.7139,3.48154
4671,27,35,0.046,24.7684,2.91379
6066,36,44,-0.362333,38.22,10.736
7382,45,55,-0.566,50.8191,50.3654
8877,56,65,-0.658182,59.3,5.82911
10131,66,74,0.043,16.1467,14.96
11175,75,83,-0.461833,55.8137,14.3097
12139,84,93,-0.169515,33.8971,7.10052
13113,94,102,-0.0593333,23.0858,8.87719
13905,103,111,-0.354333,56.6292,50.6781
14616,112,120,-0.493833,71.5002,47.0566
15180,120,128,0.115167,-0.681778,8.85026
15561,128,134,0.144833,-4.26278,5.63046
16065,135,143,0.2955,-25.3201,2.30462
16310,143,148,0.252,-19.1713,1.15188
16688,149,155,-0.0193333,17.8769,9.91219
16895,155,163,0.985,-138.629,8.58817
17138,164,170,-0.449167,96.5133,16.1519
17238,170,177,0.347167,-39.4598,5.29236
17346,177,185,0.126167,0.423833,55.4128
17390,185,193,-0.134333,46.9912,41.0293
