id,low,hi,m,q,cost
0,0,8,-0.719833,36.7338,19.4318
1,0,9,-0.345394,35.7353,25.2261
2,0,10,-0.245909,35.4368,26.6656
3,0,11,-0.252517,35.4588,27.5943
4,0,12,-0.166099,35.142,29.2332
5,0,13,-0.116176,34.9423,29.4334
6,0,14,-0.105571,34.8963,30.2389
7,0,15,-0.103426,34.8863,30.9569
8,0,16,-0.106985,34.9041,31.6162
9,0,17,-0.116553,34.9551,32.2611
10,0,18,-0.104035,34.8842,32.9147
11,0,19,-0.136,35.076,34.3262
12,0,20,-0.163221,35.2484,35.6347
13,0,21,-0.152439,35.1765,36.2765
14,0,22,-0.136057,35.0618,37.1751
15,0,23,-0.148283,35.1515,37.9049
16,0,24,-0.149231,35.1588,38.2993
17,0,25,-0.133231,35.0308,39.4298
18,0,26,-0.115507,34.8831,40.8899
19,0,27,-0.113766,34.868,41.2506
20,0,28,-0.0979212,34.7254,42.7928
21,0,29,-0.106925,34.8094,43.5717
22,0,30,-0.113649,34.8744,44.1723
23,0,31,-0.1286,35.0239,46.1299
24,0,32,-0.136186,35.1023,46.9193
25,0,33,-0.134009,35.0791,47.2513
26,0,34,-0.128403,35.0174,47.863
27,0,35,-0.123463,34.9614,48.4164
28,0,36,-0.131003,35.0494,49.4642
29,0,37,-0.12502,34.9776,50.2649
30,0,38,-0.1292,35.0292,50.7915
31,0,39,-0.131836,35.0625,51.1232
32,0,40,-0.132216,35.0675,51.2922
33,0,41,-0.131939,35.0638,51.4356
34,0,42,-0.128458,35.0162,51.9146
35,0,43,-0.136042,35.1224,53.8948
36,0,44,-0.149307,35.3125,59.9134
37,0,45,-0.143323,35.2248,61.3845
38,0,46,-0.147477,35.2871,62.2735
39,0,47,-0.143563,35.2271,63.1383
40,0,48,-0.140908,35.1855,63.6811
41,0,49,-0.146322,35.2721,65.3417
42,0,50,-0.138191,35.1393,69.0083
43,0,51,-0.147251,35.2903,73.6506
44,0,52,-0.15795,35.4722,80.0619
45,0,53,-0.162254,35.5468,81.5001
46,0,54,-0.168595,35.6588,84.263
47,0,55,-0.170392,35.6911,84.9142
48,0,56,-0.167723,35.6422,85.8319
49,0,57,-0.164763,35.587,86.8988
50,0,58,-0.16168,35.5284,88.0678
51,0,59,-0.161662,35.528,88.4842
52,0,60,-0.161961,35.5339,88.8923
53,0,61,-0.166699,35.6287,91.4886
54,0,62,-0.169665,35.689,92.8086
55,0,63,-0.169766,35.6911,93.2115
56,0,64,-0.175173,35.8046,97.0443
57,0,65,-0.185076,36.0159,108.628
58,0,66,-0.182838,35.9674,109.769
59,0,67,-0.180622,35.9186,110.93
60,0,68,-0.182655,35.964,112.025
61,0,69,-0.18524,36.0226,113.494
62,0,70,-0.181185,35.9294,116.404
63,0,71,-0.180678,35.9175,117.02
64,0,72,-0.181587,35.9391,117.716
65,0,73,-0.176953,35.8278,121.892
66,0,74,-0.179135,35.8809,123.313
67,0,75,-0.175071,35.7807,126.914
