,SDI_Temp_1m,,,SDI_Temp_1m
100,23.57,,1,23.57
101,23.49,,5,23.34
102,23.48,,9,23.14
103,23.44,,13,22.78
104,23.34,,17,22.78
105,23.33,,21,23.16
106,23.21,,25,23.83
107,23.29,,29,23.69
108,23.14,,33,23.55
109,23.17,,37,23.35
110,22.98,,41,23.12
111,22.83,,45,23.27
112,22.78,,49,23.53
113,22.82,,53,23.49
114,22.77,,57,23.34
115,22.68,,61,23.04
116,22.78,,65,23.03
117,22.88,,69,23.55
118,22.84,,73,23.77
119,22.96,,77,24.07
120,23.16,,81,23.68
121,23.41,,85,23.54
122,23.62,,89,23.47
123,23.67,,93,23.47
124,23.83,,97,23.46
125,23.74,,101,23.49
126,23.73,,105,23.12
127,23.66,,109,22.73
128,23.69,,113,22.63
129,23.7,,117,23.66
130,23.69,,121,23.85
131,23.64,,125,23.83
132,23.55,,129,23.84
133,23.56,,133,23.18
134,23.38,,137,22.9
135,23.51,,141,23.68
136,23.35,,145,23.86
137,23.28,,149,23.72
138,23.23,,153,23.28
139,23.2,,157,23.32
140,23.12,,161,23
141,23.13,,165,23.49
142,23.12,,169,23.59
143,23.13,,173,23.52
144,23.27,,177,23.2
145,23.36,,181,23.02
146,23.48,,185,22.92
147,23.51,,189,23.6
148,23.53,,193,24
149,23.58,,197,23.66
150,23.36,,201,23.43
151,23.44,,205,23.15
152,23.49,,209,22.77
153,23.47,,213,23.44
154,23.4,,217,23.54
155,23.39,,221,23.29
156,23.34,,225,23.13
157,23.25,,229,22.65
158,23.34,,233,22.51
159,23.26,,237,22.88
160,23.04,,241,23.08
161,23.13,,245,22.95
162,22.94,,249,22.58
163,23.02,,253,22.2
164,23.03,,257,22.06
165,22.96,,261,28.22
166,23.02,,265,22.46
167,23.22,,269,19.09
168,23.55,,273,17.47
169,23.68,,277,15.94
170,23.75,,281,22.63
171,23.84,,285,23.39
172,23.77,,289,23.72
173,23.84,,293,23.09
174,23.72,,297,22.79
175,24,,301,22.84
176,24.07,,305,22.81
177,23.9,,309,23.33
178,23.77,,313,23.28
179,23.83,,317,23.05
180,23.68,,321,22.97
181,23.58,,325,22.72
182,23.5,,329,22.83
183,23.43,,333,23.04
184,23.54,,337,23.2
185,23.38,,341,23.09
186,23.57,,345,22.85
187,23.27,,349,22.76
188,23.47,,353,22.88
189,23.07,,357,23.23
190,23.29,,361,23.36
191,23.43,,365,23.24
192,23.47,,369,23.06
193,23.55,,373,22.98
194,23.5,,377,22.96
195,23.52,,381,23.01
196,23.46,,385,23.07
197,23.44,,389,22.98
198,23.4,,393,23.29
199,23.62,,397,23.2
200,23.49,,401,23.15
201,23.59,,405,23.79
202,23.41,,409,23.63
203,23.27,,413,23.56
204,23.12,,417,23.36
205,23.06,,421,23.31
206,22.95,,425,23.35
207,22.77,,429,23.54
208,22.73,,433,23.36
209,22.6,,437,23.5
210,22.67,,441,23.36
211,22.66,,445,23.25
212,22.63,,449,23.32
213,22.75,,453,23.51
214,22.89,,457,23.47
215,23.41,,461,23.41
216,23.66,,465,23.32
217,23.68,,469,23.39
218,23.87,,473,23.31
219,23.98,,477,23.73
220,23.85,,481,23.47
221,23.85,,485,23.44
222,23.86,,489,23.37
223,23.95,,493,23.23
224,23.83,,497,23.22
225,23.87,,501,24.03
226,23.76,,505,23.68
227,23.65,,509,23.52
228,23.84,,513,23.56
229,23.5,,517,23.51
230,23.29,,521,23.41
231,23.26,,525,24.12
232,23.18,,529,23.89
233,23.19,,533,23.75
234,23.09,,537,23.64
235,22.91,,541,23.61
236,22.9,,545,23.56
237,23.05,,549,23.93
238,23.33,,553,23.86
239,23.39,,557,23.62
240,23.68,,561,23.5
241,23.8,,565,23.49
242,23.83,,569,23.36
243,23.76,,573,23.54
244,23.86,,577,24.03
245,23.83,,581,23.69
246,23.91,,585,23.46
247,23.67,,589,23.08
248,23.72,,593,23.13
249,23.68,,597,23.55
250,23.43,,601,23.54
251,23.26,,605,23.2
252,23.28,,609,23.07
253,23.22,,613,22.96
254,23.09,,617,22.88
255,23.18,,621,23.44
256,23.32,,625,23.33
257,23.17,,629,23.21
258,22.94,,633,23.14
259,22.99,,637,22.96
260,23,,641,22.99
261,22.96,,645,23.2
262,23.08,,649,23.15
263,23.35,,653,23.04
264,23.49,,657,23.07
265,23.49,,661,22.93
266,23.69,,665,22.85
267,23.74,,669,22.95
268,23.59,,673,23.06
269,23.52,,677,23.08
270,23.62,,681,22.78
271,23.49,,685,22.68
272,23.52,,689,22.77
273,23.5,,693,23.02
274,23.31,,697,23.11
275,23.25,,701,22.89
276,23.2,,705,22.9
277,23.39,,709,22.76
278,23.1,,713,22.86
279,23.05,,717,23.29
280,23.02,,721,23.14
281,22.89,,725,23.1
282,22.8,,729,23.01
283,22.78,,733,22.82
284,22.92,,737,22.71
285,22.91,,741,23.22
286,23.16,,745,23.23
287,23.51,,749,22.99
288,23.6,,753,22.89
289,23.84,,757,22.79
290,23.97,,761,22.81
291,23.88,,765,22.93
292,24,,769,22.92
293,23.99,,773,22.94
294,23.82,,777,22.84
295,23.72,,781,22.77
296,23.66,,785,22.68
297,23.5,,789,23.11
298,23.57,,793,22.92
299,23.49,,797,22.59
300,23.43,,801,22.37
301,23.43,,805,22.1
302,23.36,,809,21.88
303,23.31,,813,22.06
304,23.15,,817,21.95
305,23.11,,821,21.93
306,22.97,,825,21.82
307,22.93,,829,21.62
308,22.77,,833,21.47
309,23,,837,21.97
310,23.01,,841,21.65
311,23.21,,845,21.42
312,23.44,,849,21.45
313,23.57,,853,21.33
314,23.56,,857,21.18
315,23.65,,861,21.62
316,23.54,,865,21.54
317,23.48,,869,21.32
318,23.41,,873,21.22
319,23.44,,877,21.02
320,23.29,,881,20.82
321,23.28,,885,21.57
322,23.2,,889,21.11
323,23.04,,893,20.94
324,23.13,,897,20.79
325,22.94,,901,20.72
326,22.77,,905,20.6
327,22.86,,909,21.03
328,22.65,,913,21.1
329,22.49,,917,20.89
330,22.42,,921,20.68
331,22.38,,925,20.64
332,22.51,,929,20.57
333,22.55,,933,20.71
334,22.57,,937,20.7
335,22.7,,941,20.55
336,22.88,,945,20.31
337,23.08,,949,20.27
338,23.22,,953,20.02
339,23.19,,957,20.08
340,23.08,,961,20.19
341,23.01,,965,20.22
342,22.93,,969,20.2
343,23,,973,20.09
344,22.95,,977,20.12
345,22.88,,981,20.51
346,22.65,,985,20.35
347,22.69,,989,20.15
348,22.58,,993,20.07
349,22.53,,997,19.92
