,ThermTemp1_Avg
0,25.05242
1,24.15695
2,23.33818
3,23.17383
4,23.17624
5,23.5395
6,23.66712
7,24.096
8,23.65625
9,23.52188
10,23.80735
11,23.60044
12,23.69426
13,23.62403
14,23.15087
15,23.64013
16,21.75786
17,23.33834
18,23.33341
19,23.3269
20,23.32109
21,23.72587
22,23.82279
23,23.69826
24,23.71564
25,23.82247
26,23.99362
27,24.01987
28,23.90556
29,23.6275
30,23.47849
31,23.40348
32,23.2941
33,23.25236
34,23.29168
35,23.34537
36,23.17939
37,23.10911
38,22.30882
39,21.92168
40,21.71066
41,21.42875
42,21.16118
43,20.89195
44,20.48868
45,20.52891
46,20.35146
47,20.29802
48,20.21787
49,20.12379
50,20.1974
51,19.96652
52,19.15955
53,18.14928
54,17.92414
55,17.64636
56,17.52339
57,17.768
58,17.69341
59,17.35047
60,17.12983
61,16.78429
62,16.33884
63,15.99766
64,15.66253
65,15.34629
66,15.35629
67,15.32612
68,15.20935
69,15.43403
70,15.45616
71,15.51113
72,15.53049
73,15.7371
74,15.52115
75,15.65478
76,15.74216
77,15.92131
78,15.91733
79,15.80165
80,15.60832
81,15.61484
82,15.57938
83,15.52019
84,15.54348
85,15.4352
86,15.40409
87,15.4969
88,15.62293
89,15.71311
90,15.64489
91,15.34012
92,15.08069
93,15.09851
94,15.04622
95,14.73337
96,14.62976
97,14.63486
98,14.67449
99,14.70662
100,14.56907
101,14.46367
102,14.34191
103,14.72699
104,14.7183
105,14.76659
106,14.75447
107,14.7195
108,14.5089
109,14.3967
110,14.36172
111,14.22703
112,13.75843
113,13.13603
114,12.85415
115,12.78026
116,12.44982
117,11.93161
118,11.37355
119,10.94357
120,10.73672
121,10.63584
122,10.62429
123,10.58027
124,10.56218
125,10.55589
126,10.7212
127,10.78752
128,10.98335
129,11.0273
130,10.88123
131,10.87299
132,11.10624
133,11.30534
134,11.44861
135,11.32312
136,11.27007
137,11.41135
138,11.59461
139,11.74274
140,12.01876
141,12.3819
142,12.60641
143,12.84241
144,13.06321
145,13.30709
146,13.73098
147,13.80005
148,14.04882
149,13.86618
150,13.62129
151,13.37862
152,13.06197
153,12.61927
154,12.49938
155,12.22409
156,12.17072
157,12.37736
158,12.62802
159,13.0648
160,13.3223
161,13.952
162,14.29664
163,14.7231
164,15.01225
165,15.68799
166,16.05687
167,16.27073
168,16.80989
169,17.14196
170,17.26009
171,17.24697
172,17.26319
173,17.58949
174,17.70652
175,17.86182
176,18.06143
177,18.30315
178,18.66896
179,19.07899
180,19.23647
181,19.30836
182,19.43478
183,19.65963
184,20.01189
185,19.99269
186,19.74699
187,19.4788
188,19.52365
189,19.36437
190,19.21146
191,19.21352
192,19.39953
193,19.69352
