id,low,hi,m,q,cost
0,0,8,-0.0790663,24.0781,0.832003
1,0,9,-0.0705911,24.0555,0.794305
2,0,10,-0.0497836,23.9931,0.800418
3,0,11,-0.0438227,23.9732,0.771231
4,0,12,-0.0356822,23.9434,0.75324
5,0,13,-0.0315524,23.9268,0.729988
6,0,14,-0.0399082,23.963,0.727109
7,0,15,-0.0338265,23.9347,0.718692
8,0,16,-0.0658967,24.095,1.20611
9,0,17,-0.0595183,24.061,1.1969
10,0,18,-0.0540908,24.0302,1.18681
11,0,19,-0.0494567,24.0024,1.17592
12,0,20,-0.0454595,23.9771,1.16458
13,0,21,-0.0371188,23.9215,1.22536
14,0,22,-0.0293157,23.8669,1.28837
15,0,23,-0.0242594,23.8298,1.30525
16,0,24,-0.0199389,23.7967,1.31609
17,0,25,-0.0154582,23.7608,1.3366
18,0,26,-0.010421,23.7189,1.37827
19,0,27,-0.00611776,23.6816,1.40884
20,0,28,-0.00339167,23.657,1.40955
21,0,29,-0.00294768,23.6529,1.38662
22,0,30,-0.00346769,23.6579,1.36523
23,0,31,-0.0043026,23.6663,1.34709
24,0,32,-0.00555655,23.6792,1.33499
25,0,33,-0.00678429,23.6923,1.32423
26,0,34,-0.00759372,23.7012,1.30953
27,0,35,-0.00799948,23.7058,1.29242
28,0,36,-0.00901707,23.7177,1.28321
29,0,37,-0.0101303,23.7311,1.27724
30,0,38,-0.0141198,23.7803,1.41604
31,0,39,-0.0189049,23.8409,1.64264
32,0,40,-0.0236924,23.9031,1.8896
33,0,41,-0.0286856,23.9697,2.18349
34,0,42,-0.0337714,24.0392,2.51492
35,0,43,-0.038908,24.1111,2.88127
36,0,44,-0.0444456,24.1905,3.34638
37,0,45,-0.0490566,24.2581,3.68258
38,0,46,-0.053445,24.3239,4.00759
39,0,47,-0.0573073,24.3832,4.26974
40,0,48,-0.0607714,24.4374,4.48916
41,0,49,-0.0639146,24.4877,4.6768
42,0,50,-0.066391,24.5282,4.78572
43,0,51,-0.0689506,24.5708,4.91684
44,0,52,-0.0727784,24.6359,5.29455
45,0,53,-0.0780902,24.728,6.11832
46,0,54,-0.0831297,24.817,6.90097
47,0,55,-0.0880141,24.9049,7.67863
48,0,56,-0.0924656,24.9865,8.35333
49,0,57,-0.0958811,25.0503,8.74578
50,0,58,-0.0989248,25.1081,9.06342
51,0,59,-0.102074,25.169,9.43304
52,0,60,-0.105112,25.2287,9.79477
53,0,61,-0.108234,25.2912,10.2071
54,0,62,-0.11157,25.359,10.7197
55,0,63,-0.114934,25.4285,11.2742
56,0,64,-0.118305,25.4993,11.8643
57,0,65,-0.121647,25.5706,12.4767
58,0,66,-0.124526,25.633,12.9328
59,0,67,-0.127037,25.6882,13.278
60,0,68,-0.129323,25.7393,13.5661
61,0,69,-0.130991,25.7771,13.6843
62,0,70,-0.132343,25.8082,13.7363
63,0,71,-0.133371,25.8322,13.731
64,0,72,-0.134148,25.8506,13.6907
65,0,73,-0.134494,25.8589,13.6092
66,0,74,-0.1349,25.8688,13.5344
67,0,75,-0.134999,25.8712,13.4461
68,0,76,-0.134868,25.8679,13.3604
69,0,77,-0.134441,25.8571,13.2951
70,0,78,-0.133922,25.8438,13.2426
71,0,79,-0.133424,25.8309,13.1903
72,0,80,-0.133017,25.8201,13.1302
73,0,81,-0.132515,25.8067,13.0839
74,0,82,-0.131965,25.7919,13.0476
75,0,83,-0.131393,25.7762,13.018
76,0,84,-0.130732,25.758,13.0081
77,0,85,-0.130099,25.7403,12.9964
78,0,86,-0.129431,25.7213,12.9958
79,0,87,-0.128638,25.6986,13.0311
80,0,88,-0.127705,25.6715,13.1146
81,0,89,-0.126674,25.6413,13.2412
82,0,90,-0.125668,25.6114,13.366
83,0,91,-0.124851,25.5869,13.4285
