id,low,hi,m,q,costQRMSEn
0,0,8,-0.0790663,24.0781,7.48803
1281,8,15,-0.0541402,24.239,0.954579
2856,16,24,0.171477,19.9083,4.17263
4350,25,31,-0.100648,26.5629,0.351929
4988,31,37,-0.0514917,25.0305,0.112062
6365,38,44,-0.249808,31.6911,0.275699
7238,44,52,-0.124767,26.1369,1.22676
8480,53,61,-0.137744,25.4035,0.724259
9006,61,65,-0.321268,36.2719,0.229336
10133,66,76,0.0441805,12.3613,0.222882
11396,77,82,-0.0609642,20.5983,0.0793107
11720,82,88,-0.0121825,16.5595,0.124126
12638,89,94,-0.143439,28.4423,0.213271
13113,94,102,-0.061266,20.6485,0.237251
13905,103,111,-0.0675822,21.8069,0.18636
14616,112,120,-0.374568,55.6681,0.557041
15246,121,129,0.053609,4.01864,0.250554
15795,130,138,0.080234,0.494595,0.316336
16263,139,147,0.261218,-24.5216,0.0953888
16650,148,156,-0.257364,52.1738,0.203744
16958,157,167,0.410935,-52.2631,0.337676
17220,168,176,0.140019,-6.64528,0.203675
17336,176,184,0.227205,-21.812,0.357875
17390,185,193,-0.0513635,29.2215,1.12802
