,Vapor_Pressure_Avg,,,,
100,1.947628,,,1,1.947628
101,1.995213,,,5,2.126729
102,2.010989,,,9,1.886304
103,2.062295,,,13,1.870746
104,2.126729,,,17,1.965018
105,2.146199,,,21,2.196666
106,2.027735,,,25,2.412858
107,1.986619,,,29,2.475797
108,1.886304,,,33,2.218507
109,1.837973,,,37,2.082771
110,1.869113,,,41,2.132677
111,1.916423,,,45,2.230194
112,1.870746,,,49,2.292642
113,1.860346,,,53,2.233624
114,1.896722,,,57,2.287577
115,1.933598,,,61,2.19418
116,1.965018,,,65,2.098139
117,2.051943,,,69,2.305156
118,2.162347,,,73,2.342109
119,2.168205,,,77,2.349868
120,2.196666,,,81,2.173969
121,2.335368,,,85,2.051338
122,2.393849,,,89,2.095848
123,2.383913,,,93,2.041668
124,2.412858,,,97,2.138589
125,2.419389,,,101,2.046489
126,2.423229,,,105,1.886927
127,2.465309,,,109,1.788855
128,2.475797,,,113,1.820901
129,2.468235,,,117,1.975253
130,2.325441,,,121,2.178193
131,2.238305,,,125,2.36405
132,2.218507,,,129,2.242018
133,2.19241,,,133,1.940317
134,2.160812,,,137,1.878941
135,2.134125,,,141,2.177787
136,2.082771,,,145,2.236096
137,2.013594,,,149,2.225074
138,2.023431,,,153,2.164486
139,1.983432,,,157,1.893849
140,2.132677,,,161,2.022447
141,2.309734,,,165,2.123529
142,2.311735,,,169,2.163935
143,2.280792,,,173,2.188436
144,2.230194,,,177,1.993598
145,2.267382,,,181,1.978763
146,2.154765,,,185,2.05167
147,2.303822,,,189,2.287032
148,2.292642,,,193,2.353905
149,2.335543,,,197,1.8596
150,2.398165,,,201,1.833125
151,2.368674,,,205,1.717945
152,2.233624,,,209,1.872168
153,2.199949,,,213,1.939863
154,2.250722,,,217,1.991546
155,2.262548,,,221,1.928709
156,2.287577,,,225,1.852245
157,2.278617,,,229,1.64698
158,2.240227,,,233,1.657893
159,2.233137,,,237,1.885121
160,2.19418,,,241,2.001279
161,2.154954,,,245,1.982167
162,2.11138,,,249,1.722688
163,2.104223,,,253,1.636557
164,2.098139,,,257,1.626668
165,2.076314,,,261,1.864963
166,2.100924,,,265,2.040117
167,2.243113,,,269,1.973719
168,2.305156,,,273,1.8531
169,2.294909,,,277,1.626183
170,2.319013,,,281,1.797921
171,2.348123,,,285,2.03178
172,2.342109,,,289,2.059036
173,2.375695,,,293,2.093219
174,2.319761,,,297,1.796428
175,2.386395,,,301,1.531216
176,2.349868,,,305,1.563303
177,2.418624,,,309,1.745469
178,2.32525,,,313,2.069099
179,2.188549,,,317,2.297104
180,2.173969,,,321,1.984963
181,2.20369,,,325,1.64106
182,2.010162,,,329,1.618995
183,1.996238,,,333,1.899641
184,2.051338,,,337,2.201211
185,2.078364,,,341,2.491935
186,2.089484,,,345,2.391117
187,2.064173,,,349,2.029523
188,2.095848,,,353,2.049328
189,2.091735,,,357,2.428348
190,2.114676,,,361,2.546294
191,1.981049,,,365,2.498857
192,2.041668,,,369,2.483499
193,2.011418,,,373,2.380508
194,2.060081,,,377,2.260778
195,1.926306,,,381,2.46049
196,2.138589,,,385,2.532806
197,2.142354,,,389,2.55163
198,2.116074,,,393,2.444016
199,2.118075,,,397,2.332165
200,2.046489,,,401,2.280226
201,1.988298,,,405,2.349178
202,1.934988,,,409,2.458513
203,1.916632,,,413,2.439498
204,1.886927,,,417,2.429328
205,1.836535,,,421,2.304423
206,1.822045,,,425,2.447898
207,1.803494,,,429,2.417151
208,1.788855,,,433,2.407652
209,1.771358,,,437,2.446139
210,1.755071,,,441,2.413729
211,1.795977,,,445,2.384882
212,1.820901,,,449,2.375255
213,1.763623,,,453,2.271065
214,1.7988,,,457,2.232832
215,1.900964,,,461,2.238358
216,1.975253,,,465,2.262061
217,2.036697,,,469,2.304289
218,2.091147,,,473,2.235896
219,2.163746,,,477,2.344963
220,2.178193,,,481,2.47583
221,2.204133,,,485,2.484368
222,2.211402,,,489,2.330077
223,2.238538,,,493,2.190509
224,2.36405,,,497,2.124074
225,2.34653,,,501,2.349504
226,2.327013,,,505,2.07959
227,2.294129,,,509,2.35731
228,2.242018,,,513,2.233672
229,2.083386,,,517,2.117684
230,2.010755,,,521,1.843518
231,1.98594,,,525,2.384953
232,1.940317,,,529,2.429748
233,1.90994,,,533,2.199488
234,1.879767,,,537,2.152698
235,1.873965,,,541,1.744055
236,1.878941,,,545,1.685444
237,1.911312,,,549,2.236987
238,1.994236,,,553,2.568175
239,2.041619,,,557,2.484718
240,2.177787,,,561,2.143484
241,2.1956,,,565,1.910216
242,2.18963,,,569,1.664047
243,2.213519,,,573,1.811424
244,2.236096,,,577,1.902958
245,2.267983,,,581,2.302478
246,2.287349,,,585,1.982947
247,2.214502,,,589,1.652235
248,2.225074,,,593,1.910099
249,2.226173,,,597,2.368077
250,2.20184,,,601,2.446675
251,2.233267,,,605,2.407846
252,2.164486,,,609,2.280439
253,2.107987,,,613,2.133271
254,2.018119,,,617,2.020719
255,1.938745,,,621,2.155869
256,1.893849,,,625,2.293346
257,1.864214,,,629,2.286014
258,1.826953,,,633,2.188126
259,1.885971,,,637,2.096842
260,2.022447,,,641,1.968923
261,2.080939,,,645,2.147412
262,2.160405,,,649,2.213816
263,2.147933,,,653,2.174805
264,2.123529,,,657,2.141348
265,2.128298,,,661,2.104219
266,2.158673,,,665,2.022588
267,2.139124,,,669,2.125131
268,2.163935,,,673,2.089141
269,2.148576,,,677,2.057037
270,2.166171,,,681,2.103216
271,2.221364,,,685,2.083942
272,2.188436,,,689,2.050743
273,2.017155,,,693,2.127129
274,2.024282,,,697,2.144379
275,2.02798,,,701,2.195469
276,1.993598,,,705,2.21137
277,1.973113,,,709,2.189723
278,1.967736,,,713,2.085849
279,1.982801,,,717,2.25725
280,1.978763,,,721,2.334491
281,1.993111,,,725,2.343894
282,1.998223,,,729,2.181428
283,2.008249,,,733,2.150241
284,2.05167,,,737,2.080037
285,2.143487,,,741,2.17315
286,2.184143,,,745,2.244306
287,2.226757,,,749,2.238633
288,2.287032,,,753,2.089877
289,2.330766,,,757,1.985411
290,2.353315,,,761,1.931635
291,2.367602,,,765,2.030469
292,2.353905,,,769,2.118024
293,2.268074,,,773,2.108068
294,1.901645,,,777,1.80937
295,1.905945,,,781,1.631491
296,1.8596,,,785,1.578485
297,1.848795,,,789,1.666677
298,1.84911,,,793,1.108466
299,1.844416,,,797,0.7977061
300,1.833125,,,801,0.8065907
301,1.798871,,,805,0.9203477
302,1.776961,,,809,0.9348078
303,1.743632,,,813,0.7395076
304,1.717945,,,817,1.366426
305,1.719312,,,821,1.643921
306,1.719228,,,825,1.469623
307,1.777254,,,829,1.427149
308,1.872168,,,833,1.345316
309,1.875478,,,837,1.700519
310,1.91222,,,841,1.8479
311,1.935266,,,845,1.864794
312,1.939863,,,849,1.709617
313,1.932909,,,853,1.371418
314,1.963599,,,857,1.197437
315,1.949605,,,861,1.49759
316,1.991546,,,865,1.887164
317,2.004413,,,869,1.943231
318,2.013422,,,873,1.687213
319,2.025229,,,877,1.565987
320,1.928709,,,881,1.455029
321,1.906921,,,885,1.881325
322,1.890897,,,889,1.941432
323,1.879561,,,893,1.969569
324,1.852245,,,897,1.6123
325,1.761757,,,901,1.447683
326,1.727084,,,905,1.357776
327,1.713189,,,909,1.506208
328,1.64698,,,913,2.074474
329,1.627093,,,917,1.608137
330,1.613531,,,921,1.693783
331,1.627732,,,925,1.445253
332,1.657893,,,929,1.472589
333,1.688971,,,933,1.65153
334,1.694801,,,937,1.763861
335,1.798291,,,941,1.660652
336,1.885121,,,945,1.493132
337,1.982283,,,949,1.606726
338,2.014279,,,953,1.567002
339,2.042057,,,957,1.681194
340,2.001279,,,961,2.102779
341,2.094196,,,965,2.193766
342,2.08141,,,969,2.167288
343,2.062325,,,973,2.044089
344,1.982167,,,977,1.92296
345,1.968739,,,981,1.801937
346,1.993739,,,985,1.853029
347,1.870865,,,989,1.969709
348,1.722688,,,993,2.048503
349,1.733535,,,997,1.980566
350,1.740277,,,1001,1.813172
351,1.678048,,,1005,2.055678
352,1.636557,,,1009,1.96751
353,1.563325,,,1013,2.015587
354,1.541781,,,1017,1.814951
355,1.582819,,,1021,1.777588
356,1.626668,,,1025,1.620478
357,1.669689,,,1029,1.890196
358,1.731532,,,1033,1.914488
359,1.785541,,,1037,1.929018
360,1.864963,,,1041,1.814595
361,1.937791,,,1045,1.581395
362,1.985416,,,1049,1.530069
363,2.007853,,,1053,1.722072
364,2.040117,,,1057,1.844669
365,2.060841,,,1061,1.671922
366,2.068945,,,1065,1.805134
367,2.054081,,,1069,1.905898
368,1.973719,,,1073,1.959094
369,1.930741,,,1077,1.742847
370,1.901102,,,1081,1.713314
371,1.873731,,,1085,1.292034
372,1.8531,,,1089,1.677157
373,1.813379,,,1093,1.634091
374,1.7543,,,1097,1.564893
375,1.702069,,,1101,1.791017
376,1.626183,,,1105,1.671216
377,1.653089,,,1109,1.59569
378,1.709764,,,1113,1.547987
379,1.716193,,,1117,1.649032
380,1.797921,,,1121,1.466644
381,2.025424,,,1125,1.41634
