,WS_ms_Avg
1,4.149
5,2.766
9,1.927
13,2.266
17,2.31
21,3.58
25,3.801
29,2.726
33,0.938
37,0.485
41,1.663
45,0.469
49,2.771
53,1.517
57,1.492
61,2.383
65,2.194
69,3.905
73,3.636
77,2.254
81,2.175
85,2.405
89,3.051
93,3.099
97,3.129
101,2.02
105,1.652
109,2.138
113,2.169
117,2.723
121,3.493
125,4.976
129,4.391
133,1.985
137,2.437
141,5.323
145,5.426
149,5.997
153,2.566
157,2.201
161,3.159
165,4.652
169,3.141
173,1.732
177,2.273
181,1.161
185,1.736
189,3.544
193,2.281
197,1.632
201,0.019
205,0.757
209,1.144
213,1.467
217,2.537
221,0.978
225,1.095
229,1.143
233,2.214
237,3.972
241,5.954
245,6.056
249,2.176
253,1.819
257,2.476
261,0.986
265,0.661
269,0.647
273,0.137
277,0.878
281,3.769
285,3.663
289,2.038
293,2.835
297,2.728
301,3.838
305,3.397
309,4.298
313,2.514
317,1.778
321,3.945
325,3.727
329,3.317
333,1.798
337,4.504
341,1.82
345,4.888
349,4.001
353,3.034
357,4.469
361,4.651
365,4.948
369,3.357
373,4.152
377,2.561
381,5.415
385,4.76
389,3.386
393,2.678
397,3.439
401,3.128
405,1.595
409,2.849
413,0.408
417,2.35
421,2.288
425,1.58
429,2.033
433,1.826
437,2.143
441,3.532
445,1.511
449,2.38
453,4.148
457,2.13
461,1.943
465,2.294
469,2.467
473,2.812
477,2.302
481,5.075
485,1.787
489,1.473
493,3.263
497,3.34
501,3.49
505,5.623
509,1.712
513,1.97
517,1.818
521,2.374
525,4.052
529,4.757
533,1.004
537,2.303
541,2.402
545,3.52
549,3.057
553,2.993
557,2.024
561,3.58
565,3.935
569,3.671
573,1.517
577,1.54
581,3.033
585,2.839
589,4.217
593,3.134
597,3.609
601,3.62
605,3.244
609,3.372
613,3.641
617,2.174
621,4.1
625,4.857
629,5.614
633,5.093
637,4.526
641,4.638
645,5.768
649,4.726
653,4.509
657,4.436
661,4.93
665,3.148
669,3.933
673,3.122
677,1.726
681,2.444
685,2.721
689,2.22
693,1.935
697,2.289
701,1.414
705,2.478
709,2.734
713,1.25
717,3.723
721,3.478
725,0.732
729,3.09
733,2.214
737,2.741
741,3.032
745,3.243
749,2.239
753,3.684
757,3.571
761,3.857
765,6.307
769,4.819
773,3.991
777,3.631
781,2.026
785,2.422
789,2.086
793,4.022
797,4.814
801,6.269
805,7.847
809,5.549
813,2.235
817,4.226
