,WTemp_C1_Avg
100,23.60373
101,23.62889
102,23.56107
103,23.51448
104,23.46356
105,23.43763
106,23.39466
107,23.36331
108,23.32605
109,23.24654
110,23.14797
111,23.09731
112,23.01561
113,22.98336
114,22.93324
115,22.87463
116,22.83789
117,22.8303
118,22.91284
119,23.02588
120,23.22043
121,23.4506
122,23.65232
123,23.77749
124,23.8557
125,23.88092
126,23.83021
127,23.81137
128,23.78556
129,23.79932
130,23.80472
131,23.76582
132,23.69901
133,23.63388
134,23.59798
135,23.56245
136,23.50354
137,23.461
138,23.40536
139,23.33067
140,23.30951
141,23.29481
142,23.31633
143,23.28704
144,23.30718
145,23.41395
146,23.52868
147,23.59239
148,23.68804
149,23.66699
150,23.62693
151,23.58213
152,23.55
153,23.548
154,23.5358
155,23.50288
156,23.48312
157,23.46424
158,23.41163
159,23.35544
160,23.28367
161,23.19785
162,23.15685
163,23.12367
164,23.06871
165,23.08377
166,23.1111
167,23.33939
168,23.57688
169,23.78633
170,23.93471
171,23.93052
172,23.95119
173,23.93546
174,23.91143
175,24.0994
176,24.23067
177,24.14874
178,24.01269
179,23.88066
180,23.80258
181,23.72223
182,23.6849
183,23.67099
184,23.67538
185,23.64832
186,23.68624
187,23.63546
188,23.59749
189,23.41474
190,23.37028
191,23.51671
192,23.62436
193,23.6484
194,23.62616
195,23.66907
196,23.69837
197,23.55507
198,23.53587
199,23.68821
200,23.7386
201,23.65062
202,23.53987
203,23.46065
204,23.36997
205,23.24298
206,23.1748
207,23.04523
208,22.96488
209,22.85231
210,22.76604
211,22.72299
212,22.75308
213,22.87665
214,23.02237
215,23.27958
216,23.53116
217,23.7495
218,23.88828
219,23.96523
220,24.02935
221,23.98255
222,23.92788
223,23.93878
224,23.98158
225,23.99676
226,23.9192
227,23.87383
228,23.79536
229,23.71235
230,23.55773
231,23.45754
232,23.42509
233,23.33002
234,23.18076
235,23.09759
236,23.06391
237,23.14391
238,23.30013
239,23.48105
240,23.70003
241,23.88789
242,23.91837
243,23.93748
244,23.96467
245,23.99016
246,23.98215
247,23.89997
248,23.82755
249,23.82661
250,23.67662
251,23.45891
252,23.33993
253,23.31415
254,23.33206
255,23.34957
256,23.38256
257,23.31452
258,23.19498
259,23.08685
260,23.06122
261,23.02115
262,23.11189
263,23.24234
264,23.4676
265,23.58998
266,23.70819
267,23.73227
268,23.74739
269,23.72323
270,23.6825
271,23.64331
272,23.63028
273,23.60239
274,23.56175
275,23.50973
276,23.46602
277,23.41344
278,23.29465
279,23.17525
280,23.1242
281,23.09378
282,23.03769
283,22.96544
284,22.97699
285,23.04912
286,23.20079
287,23.40713
288,23.67736
289,23.87568
290,23.96056
291,23.98724
292,24.00673
293,24.07285
294,23.98953
295,23.8717
296,23.81609
297,23.76977
298,23.71095
299,23.66337
300,23.61699
301,23.55696
302,23.50442
303,23.43214
304,23.35088
305,23.28631
306,23.21351
307,23.11203
308,23.02603
309,23.07925
310,23.19685
311,23.28911
312,23.47577
313,23.66483
314,23.7204
315,23.71848
316,23.66674
317,23.56947
318,23.5131
319,23.50123
320,23.43818
321,23.40024
322,23.38338
323,23.33498
324,23.26755
325,23.13695
326,23.01266
327,22.91712
328,22.80613
329,22.72449
330,22.63859
331,22.54561
332,22.536
333,22.59463
334,22.69996
335,22.77618
336,22.95237
337,23.16055
338,23.30288
339,23.28715
340,23.26668
341,23.17263
342,23.08125
343,23.04098
344,23.18187
345,23.02307
346,22.85939
347,22.76719
348,22.72857
349,22.67128
350,22.65764
351,22.56027
352,22.39392
353,22.23465
354,22.13284
355,22.07967
356,22.10792
357,22.23148
358,22.17342
359,27.07276
360,29.52619
361,29.71953
362,29.46977
363,28.21261
364,25.32873
365,22.66779
366,21.12244
367,20.56234
368,20.03869
369,19.41057
370,19.01653
371,18.6387
372,18.25272
373,17.91339
374,17.64172
375,17.23343
376,16.9858
377,17.25982
378,19.87391
379,22.70764
380,22.71629
381,22.8214
382,22.95445
383,23.03041
384,23.2279
385,23.50817
386,23.53202
387,23.53188
388,23.70112
389,23.74887
390,23.58097
391,23.50259
392,23.36697
393,23.25168
394,23.18911
395,23.13534
396,23.08595
397,23.03556
398,23.00962
399,22.98692
400,22.9662
401,22.93623
402,22.90227
403,22.88398
404,22.89475
405,22.95172
406,23.05277
407,23.12847
408,23.34956
