t,new507
1,23.57
2,23.34
3,23.14
4,22.78
5,22.78
6,23.16
7,23.83
8,23.69
9,23.55
10,23.35
11,23.12
12,23.27
13,23.53
14,23.49
15,23.34
16,23.04
17,23.03
18,23.55
19,23.77
20,24.07
21,23.68
22,23.54
23,23.47
24,23.47
25,23.46
26,23.49
27,23.12
28,22.73
29,22.63
30,23.66
31,23.85
32,23.83
33,23.84
34,23.18
35,22.9
36,23.68
37,23.86
38,23.72
39,23.28
40,23.32
41,23
42,23.49
43,23.59
44,23.52
45,23.2
46,23.02
47,22.92
48,23.6
49,24
50,23.66
51,23.43
52,23.15
53,22.77
54,23.44
55,23.54
56,23.29
57,23.13
58,22.65
59,22.51
60,22.88
61,23.08
62,22.95
63,22.58
64,22.2
65,22.06
66,28.22
67,22.46
68,19.09
69,17.47
70,15.94
71,22.63
72,23.39
73,23.72
74,23.09
75,22.79
76,22.84
77,22.81
78,23.33
79,23.28
80,23.05
81,22.97
82,22.72
83,22.83
84,23.04
85,23.2
86,23.09
87,22.85
88,22.76
89,22.88
90,23.23
91,23.36
92,23.24
93,23.06
94,22.98
95,22.96
96,23.01
97,23.07
98,22.98
99,23.29
100,23.2
101,23.15
102,23.79
103,23.63
104,23.56
105,23.36
106,23.31
107,23.35
108,23.54
109,23.36
110,23.5
111,23.36
112,23.25
113,23.32
114,23.51
115,23.47
116,23.41
117,23.32
118,23.39
119,23.31
120,23.73
121,23.47
122,23.44
123,23.37
124,23.23
125,23.22
126,24.03
127,23.68
128,23.52
129,23.56
130,23.51
131,23.41
132,24.12
133,23.89
134,23.75
135,23.64
136,23.61
137,23.56
138,23.93
139,23.86
140,23.62
141,23.5
142,23.49
143,23.36
144,23.54
145,24.03
146,23.69
147,23.46
148,23.08
149,23.13
150,23.55
151,23.54
152,23.2
153,23.07
154,22.96
155,22.88
156,23.44
157,23.33
158,23.21
159,23.14
160,22.96
161,22.99
162,23.2
163,23.15
164,23.04
165,23.07
166,22.93
167,22.85
168,22.95
169,23.06
170,23.08
171,22.78
172,22.68
