id,low,hi,m,q,cost
0,0,8,1,3360,0
1,0,9,1,3360,0
2,0,10,1,3360,0
3,0,11,1,3360,0
4,0,12,1,3360,0
5,0,13,1,3360,0
6,0,14,1,3360,0
7,0,15,1,3360,0
8,0,16,1,3360,0
9,0,17,1,3360,0
10,0,18,1,3360,0
11,0,19,1,3360,0
12,0,20,1,3360,0
13,0,21,1,3360,0
14,0,22,1,3360,0
15,0,23,1,3360,0
16,0,24,1,3360,0
17,0,25,1,3360,0
18,0,26,1,3360,0
19,0,27,1,3360,0
20,0,28,1,3360,0
21,0,29,1,3360,0
22,0,30,1,3360,0
23,0,31,1,3360,0
24,0,32,1,3360,0
25,0,33,1,3360,0
26,0,34,1,3360,0
27,0,35,1,3360,0
28,0,36,1,3360,0
29,0,37,1,3360,0
30,0,38,1,3360,0
31,0,39,1,3360,0
32,0,40,1,3360,0
33,0,41,1,3360,0
34,0,42,1,3360,0
35,0,43,1,3360,0
36,0,44,1,3360,0
37,0,45,1,3360,0
38,0,46,1,3360,0
39,0,47,1,3360,0
40,0,48,1,3360,0
41,0,49,1,3360,0
42,0,50,1,3360,0
43,0,51,1,3360,0
44,0,52,1,3360,0
45,0,53,1,3360,0
46,0,54,1,3360,0
47,0,55,1,3360,0
48,0,56,1,3360,0
49,0,57,1,3360,0
50,0,58,1,3360,0
51,0,59,1,3360,0
52,0,60,1,3360,0
53,0,61,1,3360,0
54,0,62,1,3360,0
55,0,63,1,3360,0
56,0,64,1,3360,0
57,0,65,1,3360,0
58,0,66,1,3360,0
59,0,67,1,3360,0
60,0,68,1,3360,0
61,0,69,1,3360,0
62,0,70,1,3360,0
63,0,71,1,3360,0
64,0,72,1,3360,0
65,0,73,1,3360,0
66,0,74,1,3360,0
67,0,75,1,3360,0
68,0,76,1,3360,0
69,0,77,1,3360,0
70,0,78,1,3360,0
71,0,79,1,3360,0
72,0,80,1,3360,0
73,0,81,1,3360,0
74,0,82,1,3360,0
75,0,83,1,3360,0
76,0,84,1,3360,0
77,0,85,1,3360,0
78,0,86,1,3360,0
79,0,87,1,3360,0
80,0,88,1,3360,0
81,0,89,1,3360,0
82,0,90,1,3360,0
83,0,91,1,3360,0
84,0,92,1,3360,0
85,0,93,1,3360,0
86,0,94,1,3360,0
87,0,95,1,3360,0
88,0,96,1,3360,0
89,0,97,1,3360,0
90,0,98,1,3360,0
91,0,99,1,3360,0
92,0,100,1,3360,0
93,0,101,1,3360,0
94,0,102,1,3360,0
95,0,103,1,3360,0
96,0,104,1,3360,0
97,0,105,1,3360,0
98,0,106,1,3360,0
99,0,107,1,3360,0
100,0,108,1,3360,0
101,0,109,1,3360,0
102,0,110,1,3360,0
103,0,111,1,3360,0
104,0,112,1,3360,0
105,0,113,1,3360,0
106,0,114,1,3360,0
107,0,115,1,3360,0
108,0,116,1,3360,0
109,0,117,1,3360,0
110,0,118,1,3360,0
111,0,119,1,3360,0
112,0,120,1,3360,0
113,0,121,1,3360,0
114,0,122,1,3360,0
115,0,123,1,3360,0
116,0,124,1,3360,0
117,0,125,1,3360,0
118,0,126,1,3360,0
119,0,127,1,3360,0
120,0,128,1,3360,0
121,0,129,1,3360,0
122,0,130,1,3360,0
123,0,131,1,3360,0
124,0,132,1,3360,0
125,0,133,1,3360,0
126,0,134,1,3360,0
127,0,135,1,3360,0
128,0,136,1,3360,0
129,0,137,1,3360,0
130,0,138,1,3360,0
131,0,139,1,3360,0
