Series,N,NF,Category,Starting Year,Starting Month,non_null_count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
N2745,134,18,DEMOGRAPHIC ,1983,1,134,3360,3600,3880,2940,2580,2700,2420,2800,2700,2800,3000,2940,2880,2480,2340,2040,2080,1860,1880,2080,1900,2320,2320,2340,2800,2280,2220,2100,1980,1700,1920,1880,1820,2180,2180,2540,2760,2280,2220,2200,1960,2000,2440,2340,2380,2100,1660,2120,2140,2100,2220,2300,2080,2280,2240,2020,1940,1640,1440,1820,1880,2060,2220,1960,2360,3100,2620,2580,1640,1340,1380,1500,1880,1760,1880,1560,1700,1680,1600,1780,1560,1700,1780,1800,2340,2080,2320,2080,2440,2120,2080,2060,1900,2300,2280,2240,2620,2080,1980,1940,1780,1760,2420,2820,3080,3680,3480,5520,7860,7920,8580,8260,7600,8260,8780,8860,9940,10280,10280,11760,10480,10100,10920,9000,7700,8260,7400,7500,7040,6540,7020,7140,6900,6340,,,,,,,,,,
N2677,135,18,DEMOGRAPHIC ,1983,1,135,3612.4,3612,3615.4,3631.8,3652,3666,3688.6,3699,3730.8,3757.6,3780.2,3794.4,3813.2,3834.4,3852.6,3865.8,3874.4,3884,3896.8,3899.6,3892.4,3896,3893.4,3896.6,3894.4,3884,3878.6,3865.6,3857,3849.2,3840,3837.2,3824.8,3824.8,3821.6,3822,3821,3815.4,3807.8,3803.2,3797.2,3784.8,3776.6,3776.2,3775.8,3772,3772,3773.4,3770.4,3778,3779.8,3781.8,3784.8,3784,3795.2,3804.2,3814.4,3823.4,3836.6,3843.2,3841.4,3848.4,3852.2,3856.8,3859.2,3864.8,3866.2,3859.6,3860.2,3873,3883.8,3887.2,3898,3896.2,3897.6,3893.4,3890,3883.4,3875.8,3874.2,3862,3856.4,3856.4,3854.6,3831.8,3853,3849.6,3843.6,3836.2,3832,3822.8,3813.6,3800.8,3790.2,3757.2,3751.2,3736.4,3712.8,3699,3686.2,3685.2,3674.6,3672.8,3675.8,3668.6,3663.2,3654.2,3645.6,3630.2,3629.8,3627.4,3624.8,3621.8,3614.6,3614.6,3598.2,3589.8,3582.2,3583.4,3582.6,3587.2,3590.8,3587,3572.6,3565.4,3554.2,3552,3543.6,3539.6,3541.8,3547,3547.6,3553.8,3554.8,3557.2,,,,,,,,,
N2671,135,18,DEMOGRAPHIC ,1983,1,135,6258.5,6191,5939.5,5517.5,5382.5,5785,5353.5,5205.5,4915,4691.5,4564.5,4496,4877.5,4703.5,4528.5,4262.5,4077,4291,4357,4191,4025.5,3994.5,3934.5,3989,4565.5,4451,4312.5,4075,4005.5,4376.5,4341,4025.5,3992,3958.5,3907.5,3858.5,4236,4520.5,4333.5,4057.5,4079,4387.5,4235.5,3977.5,4007.5,3921,3936,3730.5,4310,4251.5,4062,3653,3659,3827.5,3726.5,3544,3428.5,3422.5,3401,3263,3801.5,3741,3545,3179.5,3276.5,3409.5,3411.5,3329.5,3184,3091,3162.5,3071,3654.5,3441.5,3189,3114.5,3078,3425,3368,3176,3165,3111,3247.5,3150,3628,3567,3348.5,3228.5,3181.5,3351,3472.5,3418.5,3409,3361,3605.5,3671.5,4297.5,4459.5,4402,4024.5,4116.5,4387,4288,4118.5,4035,4006.5,4143,4279.5,4974.5,5080.5,4845.5,4472.5,4584.5,5047.5,4922.5,4695,4545,4300,4424,4414.5,4955.5,4885,4638,4317.5,4303,4626,4501,4235,4064,4050.5,3945,3882,4746,4631,4437,,,,,,,,,
N2751,71,18,DEMOGRAPHIC ,1972,2,71,7906,7114,8270,5896,5813,5817,4959,4284,5711,6275,6843,6067,5867,6996,6037,5133,5564,6875,5426,4904,5809,6112,7471,6453,7886,6969,8077,7523,6288,5978,6198,4558,4664,4351,1511,4035,5755,4338,3575,4130,3748,3753,3679,3499,4289,5267,4305,5484,4252,5740,4825,5127,4242,4826,3287,4675,5293,4933,4598,5576,4661,4579,5617,3948,4209,3992,3382,4062,4591,4396,4170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2774,138,18,DEMOGRAPHIC ,1985,1,138,5315.1,5327.75,5349.45,5346.8,5346.6,5325.25,5340.35,5354.75,5382.85,5392.35,5400.35,5410.8,5444.35,5424,5441.85,5447.6,5454.45,5478.8,5490.5,5500.75,5504.25,5513.65,5523.75,5536.4,5547.65,5562.85,5570.4,5589.7,5621.7,5612.3,5631.7,5652.85,5645.45,5664.1,5675.25,5689.65,5700.8,5711.35,5701.85,5732.5,5714.6,5746.35,5753,5764.1,5767.8,5781.9,5805,5805.2,5835.4,5838.8,5851.1,5854.85,5854.95,5870.9,5873.6,5882.75,5867.7,5879.05,5895.6,5891.5,5954.05,5952.95,5960.15,5942.6,5957.55,5949.15,5940.5,5940.1,5926.2,5926.8,5915.3,5912.05,5897,5887.75,5882.6,5905.45,5872,5881.95,5878.4,5874.2,5896.4,5890,5888.5,5873.3,5898.9,5887.65,5907.2,5921.3,5918.75,5920.95,5935.65,5941.3,5936,5931.4,5943.8,5949.85,5953.75,5963.75,5977.1,5973.7,6005.75,6014.5,6023.35,6042.8,6027.7,6041.15,6058.45,6073.2,6096.1,6103.3,6101.55,6115.15,6146.25,6134.3,6136.65,6168.05,6182.8,6204.3,6220.85,6229.75,6233.55,6244.05,6255.3,6248.65,6229.9,6228.3,6241.6,6242.95,6251.8,6262.2,6253.1,6249.05,6261.3,6283.15,6307.55,6304.75,6323.1,6330.5,,,,,,
N2852,79,8,FINANCE     ,0,0,79,4741.1,4693.75,4551.64,4837.02,4855.29,5017.37,5079.4,5312.69,5348.23,5624.09,5608,5437.75,5544.32,5706.76,5765.67,5631.21,5565.37,5557.09,5716.38,5639.52,5725.47,5646.51,5782.32,5855.78,5717.79,5545.69,5467.42,5417.38,5483.16,5525.08,5486.53,5495.72,5649.73,5389.65,5777.26,5850.69,5748.52,5867.06,5888.33,5895.01,5772.39,5799.81,5737.03,5789.22,5768.64,5804.65,5513.08,5525.2,5379.15,5112.79,5346.42,5306.97,5514.86,5555.69,5758.96,5834.23,5905.1,5798.53,5822.21,5972.6,6101.66,6196.11,6227.68,6070.61,5922.78,6066.99,6169.9,6160.31,6185.46,6267.48,6393.38,6445.54,6319.04,6339.19,6324.48,6128.83,6032.57,5921.34,5936.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2564,133,18,FINANCE     ,1983,1,133,3264.43,3252.45,3305.5,3326.58,3338.67,3383.71,3429.74,3474.28,3508.35,3564.82,3620.75,3689.66,3730.59,3797.49,3872.97,3919.87,4010.24,4088.2,4137.65,4195.91,4243.09,4303.18,4357.44,4426.02,4478.35,4518.98,4634.68,4703.88,4761.6,4810.9,4863.97,4908.87,4997.37,5060.72,5120.93,5176.6,5245.59,5295.26,5328.12,5385.54,5437.52,5470.51,5526.72,5566.64,5633.48,5701.45,5723.06,5720.06,5705.05,5708.64,5730.58,5776.05,5793.52,5851.19,5930.9,5962.08,5996.63,6015.02,6036.7,6086.75,6156.76,6189.96,6236.49,6274.61,6315.23,6371.18,6399.24,6457.08,6481.84,6520.07,6579.05,6625.53,6875.51,6900.57,6936.48,6979.96,7025.63,7053.7,7076.66,7112.05,7134.77,7187.46,7222.67,7243.53,7260.03,7284.93,7287.67,7300.87,7328.99,7341.2,7384.02,7394.5,7408.77,7409.84,7420.66,7387.65,7375.2,7367.73,7386.38,7386.87,7381.22,7359.18,7347.23,7334.42,7333.22,7355.73,7342.02,7335.1,7354.06,7342.25,7344.34,7317.36,7306.12,7308.66,7304.96,7310.23,7330.23,7341.95,7360.23,7410.93,7435.83,7472.28,7501.31,7521.93,7502.93,7524.28,7574.65,7625.03,7685.73,7756.2,7825.61,7900.82,7960.86,,,,,,,,,,,
N2613,134,18,FINANCE     ,1983,1,134,2476.6,2486.4,2537.6,2521.6,2584.2,2564.2,2608,2592,2649.4,2767,2754.8,2654.6,2649.4,2551.6,2549.8,2514.8,2529,2479.2,2495.8,2564.6,2656.6,2816.8,2895,2923.2,2957.8,2995.6,2979.4,3099.2,3198.4,3285.8,3277.4,3146,3090.8,3117,3279.6,3391.2,3468.8,3618.6,3727,3766.8,3669.6,3786.6,4045.6,4219,4107,4028.2,4202.8,4216.4,4431.8,4447.2,4355.4,4092.4,4009.4,4059.8,4067.6,4159.6,3964.6,3773.6,3649.8,3521,3643.6,3699.2,3553.6,3428,3386,3600.4,3574.2,3571.2,3597,3700.2,3682.4,3703,3777.6,3732.8,3656.2,3759.6,3925.8,4134.4,4310.4,4361.6,4319,4332.8,4420.4,4641,4463.8,4423.4,4339.2,4213.6,4247.4,4223.2,4099,4201.8,3996.6,4143.6,4205.2,4211,4105.4,4273.8,4263,4287.2,4223.6,4092.4,3992.8,4088.4,4160.6,4270.8,4333.4,4385.4,4314.4,4136.8,4087.6,4121.4,4263,4249.2,4381.4,4403.8,4400.6,4343,4354.4,4403.4,4439.4,4684.6,4799.4,4841,4756.2,4829.4,4929.4,5040.6,5059.2,4861.2,4541.6,4539.4,4445.4,4312,,,,,,,,,,
N2582,134,18,FINANCE     ,1971,1,134,4028.8,4076.6,4125.8,4177.2,4183,4222.6,4255.8,4260.8,4279.2,4328.8,4356.6,4393,4419.4,4426.2,4467.2,4517.4,4517,4560.4,4589,4596,4621.2,4654.6,4708.6,4774.4,4824.8,4839,4869.8,4895.8,4895.8,4968.8,5010,5032.4,5054,5083.8,5117.4,5170.8,5182.2,5163.6,5212.6,5288,5303.4,5367.6,5433.8,5465.8,5493.8,5549.4,5590.2,5661.2,5699,5654.2,5671.8,5730.8,5693,5720.4,5747.8,5764.2,5783,5822.4,5836.2,5864.6,5913.4,5906.8,5954,6031.2,6011.2,6059.8,6091.6,6088,6082.2,6108,6151.4,6187,6190,6152.2,6183.8,6222.8,6165.8,6223.4,6292.8,6320.6,6344,6391.2,6443.4,6504,6520.2,6518.8,6563.8,6614,6555.6,6601.8,6632.4,6657.8,6674.4,6687,6697.6,6732,6736.4,6745.8,6805.2,6850.4,6807.2,6844.6,6850.8,6848.2,6837.8,6857.6,6900.8,6940.8,6937.4,6950.4,6978.8,6997.8,6934.8,6946.8,6956.2,6968.2,6973.4,7009.2,7034.8,7055.2,7016.6,6968.4,6991.6,7030.4,7014.6,7048.8,7059.6,7057.2,7066.2,7087,7131.4,7173.6,7155.4,7111.4,,,,,,,,,,
N2602,144,18,FINANCE     ,1977,1,144,2180,1720,1580,1470,1330,4110,1210,2960,1580,4680,2350,1670,3290,990,1870,1420,900,3430,5000,2780,1840,4300,530,4650,4200,1420,1010,1710,1820,3630,1020,1560,5340,4090,2260,3860,5300,3310,2650,4690,4550,4530,2070,2380,5330,2440,2630,8300,5940,4630,5820,5490,7290,17160,1990,3860,6220,6980,7860,6510,6070,4660,8290,5670,3560,17020,6520,3960,7010,3040,4950,2650,12420,4420,15300,6240,5560,5300,9430,3450,4510,4100,10510,3600,8080,1330,3840,10060,6000,1190,5800,3180,3210,3480,7010,2040,700,7610,160,6980,1680,6550,790,9140,2770,650,5410,4670,5070,1470,3210,2140,8270,2810,5490,1310,4280,2180,3640,1490,80,340,21070,16890,9850,9060,3630,960,3450,3770,5110,5330,8020,870,1890,3150,2210,9280,11500,6420,1250,300,2440,10
