id,low,hi,m,q,cost
0,0,7,54.5238,3235.42,452.086
1,0,8,78.0833,3180.44,467.541
2,0,9,73.8182,3191.82,456.775
3,0,10,33.8182,3311.82,598.441
4,0,11,25.2098,3340.51,594.207
5,0,12,25.9341,3337.86,582.518
6,0,13,11.6484,3395,613.692
7,0,14,23.3214,3344.42,637.601
8,0,15,25.3235,3335.07,628.662
9,0,16,24.7304,3338.04,619.346
10,0,17,30.0206,3309.82,624.362
11,0,18,31.8333,3299.55,617.953
12,0,19,30.7707,3305.93,610.904
13,0,20,29.5844,3313.44,604.737
14,0,21,31.3665,3301.56,601.079
15,0,22,29.7184,3313.1,597.801
16,0,23,20.6022,3379.95,702.071
17,0,24,14.7462,3424.85,742.497
18,0,25,7.28034,3484.57,817.613
19,0,26,4.82906,3505,819.622
20,0,27,10.405,3456.67,867.589
21,0,28,13.2463,3431.1,875.79
22,0,29,14.3737,3420.58,871.197
23,0,30,14.1512,3422.73,864.208
24,0,31,17.5522,3388.72,889.311
25,0,32,18.6464,3377.42,886.139
26,0,33,19.0863,3372.72,880.209
27,0,34,17.4118,3391.14,884.439
28,0,35,15.6976,3410.57,890.424
29,0,36,14.8412,3420.56,887.694
30,0,37,13.6481,3434.88,888.946
31,0,38,16.0962,3404.69,915.694
32,0,39,16.8007,3395.76,912.823
33,0,40,17.6969,3384.11,912.35
34,0,41,19.6082,3358.63,932.09
35,0,42,20.1404,3351.35,928.73
36,0,43,22.3302,3320.7,961.5
37,0,44,24.2773,3292.79,987.746
38,0,45,25.2757,3278.15,991.187
39,0,46,24.2761,3293.14,995.414
40,0,47,23.5513,3304.25,995.582
41,0,48,24.5561,3288.51,1001.58
42,0,49,24.5637,3288.39,996.533
43,0,50,25.9742,3265.35,1016.65
44,0,51,25.6693,3270.43,1012.97
45,0,52,26.2558,3260.46,1013.08
46,0,53,27.8376,3233.04,1046.04
47,0,54,27.3968,3240.83,1044.33
48,0,55,28.2565,3225.36,1052.07
49,0,56,26.8813,3250.57,1080.72
50,0,57,27.9284,3231.02,1096.14
51,0,58,26.9863,3248.92,1108.54
52,0,59,26.3369,3261.48,1112.44
53,0,60,26.7388,3253.57,1111.31
54,0,61,26.916,3250.03,1107.52
55,0,62,27.5427,3237.29,1112.56
56,0,63,27.7771,3232.44,1109.59
57,0,64,28.2874,3221.73,1112.29
58,0,65,27.7848,3232.45,1115.2
59,0,66,25.946,3272.29,1207.73
60,0,67,24.7943,3297.63,1241.2
61,0,68,24.4046,3306.33,1241.18
62,0,69,24.187,3311.26,1238.21
63,0,70,23.3192,3331.22,1258.42
64,0,71,23.3,3331.67,1254.04
65,0,72,23.4396,3328.37,1250.42
66,0,73,22.0672,3361.3,1315.43
67,0,74,22.2575,3356.67,1312.39
68,0,75,21.4465,3376.68,1333.82
69,0,76,20.9604,3388.83,1339.06
70,0,77,21.24,3381.75,1338.07
71,0,78,20.6719,3396.33,1348.09
72,0,79,20.5706,3398.96,1344.33
73,0,80,20.2502,3407.4,1345.11
74,0,81,20.2038,3408.64,1341.1
75,0,82,19.5193,3427.12,1361.56
76,0,83,18.8704,3444.85,1380.14
77,0,84,19.1372,3437.47,1380.03
78,0,85,18.6527,3451.04,1389.58
79,0,86,18.9935,3441.38,1392.54
80,0,87,18.5386,3454.42,1401.43
81,0,88,17.9874,3470.41,1416.97
82,0,89,17.9425,3471.73,1413.15
83,0,90,17.2176,3493.23,1445.21
84,0,91,16.7652,3506.8,1455.6
85,0,92,15.9593,3531.25,1498.09
86,0,93,15.5189,3544.75,1508.23
87,0,94,14.5692,3574.19,1570.88
88,0,95,13.6038,3604.44,1635.39
89,0,96,12.6663,3634.13,1695.76
90,0,97,11.808,3661.6,1745.75
91,0,98,11.3603,3676.07,1756.38
92,0,99,11.1698,3682.3,1754.79
93,0,100,11.0333,3686.8,1751.93
94,0,101,10.4159,3707.38,1779.17
95,0,102,9.85865,3726.14,1801.06
96,0,103,9.66822,3732.62,1799.86
97,0,104,9.41318,3741.37,1801.41
98,0,105,9.20699,3748.52,1801.09
99,0,106,8.65431,3767.86,1825.99
100,0,107,8.04327,3789.45,1857.96
101,0,108,7.81651,3797.54,1858.79
102,0,109,7.23934,3818.32,1888.43
103,0,110,7.13092,3822.26,1885.39
104,0,111,6.52941,3844.31,1919.78
105,0,112,6.13555,3858.89,1932.39
106,0,113,6.09107,3860.55,1928.36
107,0,114,5.5941,3879.27,1952.51
108,0,115,5.55759,3880.65,1948.45
109,0,116,5.19238,3894.65,1960.42
110,0,117,5.1765,3895.27,1956.29
111,0,118,4.92604,3905.04,1960.22
112,0,119,4.46479,3923.18,1984.04
113,0,120,4.20915,3933.32,1988.69
114,0,121,3.83025,3948.47,2004.32
115,0,122,3.33035,3968.64,2035.16
116,0,123,2.96521,3983.49,2050
117,0,124,2.40476,4006.46,2091.2
118,0,125,1.97467,4024.24,2114.06
119,0,126,1.8905,4027.75,2110.95
120,0,127,1.77318,4032.68,2108.93
121,0,128,1.30641,4052.44,2139.06
122,0,129,1.11053,4060.79,2141.08
123,0,130,0.924839,4068.78,2142.66
124,0,131,0.57968,4083.74,2158.63
125,0,132,0.22105,4099.4,2176.6
126,1,8,88.2143,3123.04,476.209
127,1,9,80.75,3147.92,465.194
128,1,10,31.3636,3329,612.358
129,1,11,21.6364,3367.91,605.761
130,1,12,23.0769,3361.67,592.967
131,1,13,7.03297,3436.54,620.853
132,1,14,21.033,3366.54,647.384
133,1,15,23.6071,3352.81,637.942
134,1,16,23.1544,3355.38,627.797
135,1,17,29.2525,3318.79,633.056
136,1,18,31.3519,3305.49,626.221
137,1,19,30.2281,3312.98,618.571
138,1,20,28.9774,3321.74,611.831
139,1,21,30.987,3307,607.958
140,1,22,29.2236,3320.52,604.176
141,1,23,19.3577,3399.45,707.659
142,1,24,13.1174,3451.45,746.507
143,1,25,5.18462,3520.2,819.422
144,1,26,2.70598,3542.51,820.067
145,1,27,8.85226,3485.14,871.307
146,1,28,12.0074,3454.64,880.502
147,1,29,13.298,3441.74,876.043
148,1,30,13.1324,3443.45,868.71
149,1,31,16.8185,3404.13,894.925
150,1,32,18.0269,3390.84,891.807
151,1,33,18.5311,3385.12,885.745
152,1,34,16.7907,3405.43,889.412
153,1,35,15.014,3426.75,894.776
154,1,36,14.148,3437.43,891.588
155,1,37,12.9279,3452.88,892.276
156,1,38,15.5427,3418.89,920.016
157,1,39,16.3117,3408.64,917.212
158,1,40,17.2772,3395.44,916.867
159,1,41,19.3023,3367.09,937.081
160,1,42,19.8744,3358.89,933.68
161,1,43,22.1783,3325.1,966.862
162,1,44,24.2209,3294.46,993.284
163,1,45,25.2661,3278.43,996.648
164,1,46,24.2236,3294.77,1000.75
165,1,47,23.4702,3306.82,1000.77
166,1,48,24.5202,3289.67,1006.74
167,1,49,24.5296,3289.52,1001.57
168,1,50,25.9978,3264.56,1021.69
169,1,51,25.6801,3270.06,1017.89
170,1,52,26.2887,3259.31,1017.9
171,1,53,27.929,3229.79,1050.82
172,1,54,27.4685,3238.23,1049.05
173,1,55,28.3568,3221.65,1056.65
174,1,56,26.9289,3248.78,1085.47
175,1,57,28.0111,3227.85,1100.79
176,1,58,27.0336,3247.08,1113.24
177,1,59,26.3606,3260.54,1117.11
178,1,60,26.7751,3252.11,1115.89
179,1,61,26.9569,3248.35,1111.99
180,1,62,27.6026,3234.79,1116.93
181,1,63,27.8425,3229.67,1113.86
182,1,64,28.3666,3218.32,1116.44
183,1,65,27.8462,3229.77,1119.36
184,1,66,25.9498,3272.12,1212.28
185,1,67,24.7635,3299.01,1245.78
186,1,68,24.3634,3308.21,1245.67
187,1,69,24.1407,3313.41,1242.6
188,1,70,23.2494,3334.5,1262.73
189,1,71,23.2316,3334.93,1258.27
190,1,72,23.377,3331.39,1254.6
191,1,73,21.9687,3366.13,1319.57
192,1,74,22.1668,3361.18,1316.49
193,1,75,21.3366,3382.21,1337.77
194,1,76,20.8405,3394.94,1342.86
195,1,77,21.1306,3387.4,1341.88
196,1,78,20.5507,3402.67,1351.74
197,1,79,20.4499,3405.36,1347.89
198,1,80,20.1245,3414.14,1348.53
199,1,81,20.0801,3415.36,1344.45
200,1,82,19.3819,3434.67,1364.71
201,1,83,18.7207,3453.19,1383.08
202,1,84,18.9974,3445.35,1383.03
203,1,85,18.5048,3459.47,1392.39
204,1,86,18.8569,3449.26,1395.45
205,1,87,18.3947,3462.82,1404.16
206,1,88,17.8343,3479.44,1419.48
207,1,89,17.7918,3480.72,1415.59
208,1,90,17.0541,3503.09,1447.39
209,1,91,16.5954,3517.16,1457.56
210,1,92,15.7757,3542.57,1499.76
211,1,93,15.3297,3556.55,1509.66
212,1,94,14.3639,3587.13,1571.98
213,1,95,13.3825,3618.54,1636.13
214,1,96,12.43,3649.33,1696.12
215,1,97,11.5589,3677.79,1745.71
216,1,98,11.1071,3692.7,1756.03
217,1,99,10.9179,3699.01,1754.26
218,1,100,10.7837,3703.52,1751.26
219,1,101,10.159,3724.76,1778.12
220,1,102,9.5959,3744.1,1799.64
221,1,103,9.40688,3750.65,1798.26
222,1,104,9.15195,3759.57,1799.58
223,1,105,8.94682,3766.82,1799.06
224,1,106,8.38862,3786.73,1823.58
225,1,107,7.77112,3808.96,1855.14
226,1,108,7.5452,3817.17,1855.75
227,1,109,6.96242,3838.53,1884.99
228,1,110,6.85707,3842.43,1881.81
229,1,111,6.24965,3865.11,1915.78
230,1,112,5.85376,3880.02,1928.05
231,1,113,5.81347,3881.55,1923.95
232,1,114,5.31265,3900.75,1947.71
233,1,115,5.2804,3902,1943.58
234,1,116,4.91368,3916.3,1955.22
235,1,117,4.90229,3916.75,1951.05
236,1,118,4.65223,3926.67,1954.71
237,1,119,4.18783,3945.24,1978.15
238,1,120,3.93255,3955.54,1982.53
239,1,121,3.55196,3971.02,1997.82
240,1,122,3.04842,3991.66,2028.25
241,1,123,2.68193,4006.81,2042.74
242,1,124,2.11701,4030.35,2083.53
243,1,125,1.68464,4048.51,2106.01
244,1,126,1.60373,4051.93,2102.77
245,1,127,1.48909,4056.82,2100.6
246,1,128,1.01946,4077.02,2130.33
247,1,129,0.824994,4085.45,2132.11
248,1,130,0.640839,4093.49,2133.45
249,1,131,0.294747,4108.71,2149.07
250,1,132,-0.0650003,4124.66,2166.69
251,2,9,35.8929,3446.96,360.466
252,2,10,-14.5,3665.33,490.929
253,2,11,-17,3677,478.622
254,2,12,-8.27273,3633.36,475.391
255,2,13,-21.7657,3705.33,491.352
256,2,14,-1.18132,3588.68,557.117
257,2,15,4.93407,3551.99,555.144
258,2,16,6.91071,3539.47,546.771
259,2,17,15.8015,3480.2,566.41
260,2,18,19.7304,3452.7,564.693
261,2,19,19.773,3452.38,556.683
262,2,20,19.4912,3454.54,549.262
263,2,21,22.6504,3429.27,550.413
264,2,22,21.513,3438.75,545.004
265,2,23,11.4512,3525.95,646.236
266,2,24,5.35573,3580.81,680.678
267,2,25,-2.5913,3654.98,749.857
268,2,26,-4.64615,3674.85,747.892
269,2,27,2.53846,3603,816.653
270,2,28,6.39499,3563.15,832.782
271,2,29,8.17871,3544.12,830.993
272,2,30,8.35468,3542.19,823.798
273,2,31,12.6051,3494.02,858.153
274,2,32,14.1633,3475.84,857.267
275,2,33,14.9404,3466.51,852.2
276,2,34,13.3122,3486.59,854.064
277,2,35,11.6356,3507.83,857.581
278,2,36,10.9132,3517.22,853.421
279,2,37,9.80502,3532,852.732
280,2,38,12.73,3492.02,886.832
281,2,39,13.6875,3478.62,885.556
282,2,40,14.837,3462.14,887.12
283,2,41,17.0854,3429.16,911.616
284,2,42,17.7936,3418.54,909.226
285,2,43,20.3063,3380.01,947.072
286,2,44,22.531,3345.16,977.117
287,2,45,23.7005,3326.45,982.002
288,2,46,22.6812,3343.1,985.091
289,2,47,21.9621,3355.08,984.309
290,2,48,23.121,3335.38,991.924
291,2,49,23.189,3334.2,986.765
292,2,50,24.7719,3306.24,1009.29
293,2,51,24.4905,3311.3,1005.14
294,2,52,25.1697,3298.85,1005.98
295,2,53,26.916,3266.25,1041.53
296,2,54,26.4764,3274.6,1039.28
297,2,55,27.4343,3256.08,1048.07
298,2,56,25.9881,3284.53,1075.86
299,2,57,27.1425,3261.44,1092.7
300,2,58,26.1612,3281.39,1104.33
301,2,59,25.4951,3295.16,1107.55
302,2,60,25.953,3285.54,1106.84
303,2,61,26.1682,3280.95,1103.15
304,2,62,26.8609,3265.94,1108.95
305,2,63,27.1325,3259.97,1106.13
306,2,64,27.6959,3247.39,1109.37
307,2,65,27.1801,3259.08,1111.79
308,2,66,25.2458,3303.56,1203.94
309,2,67,24.045,3331.58,1236.59
310,2,68,23.6543,3340.83,1236.05
311,2,69,23.4459,3345.83,1232.72
312,2,70,22.549,3367.66,1252.1
313,2,71,22.5506,3367.62,1247.6
314,2,72,22.7193,3363.4,1244.11
315,2,73,21.2902,3399.6,1308.32
316,2,74,21.5122,3393.9,1305.51
317,2,75,20.6773,3415.61,1326.07
318,2,76,20.1856,3428.56,1330.63
319,2,77,20.5005,3420.16,1330.09
320,2,78,19.9219,3435.79,1339.37
321,2,79,19.8347,3438.17,1335.38
322,2,80,19.5167,3446.97,1335.63
323,2,81,19.4863,3447.82,1331.48
324,2,82,18.7856,3467.67,1351.1
325,2,83,18.1227,3486.67,1368.85
326,2,84,18.4205,3478.04,1369.29
327,2,85,17.9299,3492.43,1378.11
328,2,86,18.3039,3481.33,1381.83
329,2,87,17.8438,3495.14,1390.04
330,2,88,17.2831,3512.14,1404.8
331,2,89,17.2522,3513.09,1400.85
332,2,90,16.51,3536.1,1432.06
333,2,91,16.0533,3550.41,1441.72
334,2,92,15.2274,3576.56,1483.33
335,2,93,14.7837,3590.76,1492.73
336,2,94,13.8088,3622.28,1554.54
337,2,95,12.8184,3654.64,1618.16
338,2,96,11.8577,3686.34,1677.59
339,2,97,10.9804,3715.58,1726.57
340,2,98,10.5312,3730.71,1736.37
341,2,99,10.3499,3736.87,1734.33
342,2,100,10.2245,3741.18,1731.13
343,2,101,9.59844,3762.88,1757.4
344,2,102,9.03529,3782.59,1778.35
345,2,103,8.85355,3789.01,1776.69
346,2,104,8.60442,3797.9,1777.65
347,2,105,8.40587,3805.05,1776.83
348,2,106,7.84735,3825.34,1800.8
349,2,107,7.22841,3848.03,1831.82
350,2,108,7.00842,3856.17,1832.09
351,2,109,6.42478,3877.96,1860.79
352,2,110,6.32736,3881.63,1857.45
353,2,111,5.71853,3904.77,1890.9
354,2,112,5.32507,3919.85,1902.68
355,2,113,5.2935,3921.07,1898.53
356,2,114,4.79303,3940.59,1921.78
357,2,115,4.76932,3941.52,1917.62
358,2,116,4.40511,3955.97,1928.8
359,2,117,4.4023,3956.08,1924.63
360,2,118,4.15651,3965.99,1927.93
361,2,119,3.69264,3984.86,1950.9
362,2,120,3.44139,3995.16,1954.91
363,2,121,3.06264,4010.81,1969.74
364,2,122,2.55887,4031.8,1999.73
365,2,123,2.19439,4047.11,2013.77
366,2,124,1.62822,4071.08,2054.15
367,2,125,1.19676,4089.49,2076.17
368,2,126,1.12237,4092.69,2072.8
369,2,127,1.01354,4097.4,2070.43
370,2,128,0.544004,4117.91,2099.74
371,2,129,0.35393,4126.27,2101.22
372,2,130,0.174223,4134.24,2102.26
373,2,131,-0.170015,4149.61,2117.46
374,2,132,-0.528159,4165.73,2134.66
375,3,10,-23.75,3736.25,501.394
376,3,11,-24.75,3741.58,486.894
377,3,12,-12.7273,3673.45,484.723
378,3,13,-27.8636,3764.27,496.808
379,3,14,-2.83217,3605.74,567.915
380,3,15,4.47802,3557.01,565.478
381,3,16,6.8022,3540.74,556.28
382,3,17,16.8929,3466.74,575.199
383,3,18,21.1765,3433.9,572.386
384,3,19,21.0539,3434.88,563.783
385,3,20,20.5986,3438.67,555.898
386,3,21,23.9737,3409.42,556.077
387,3,22,22.5902,3421.87,550.545
388,3,23,11.4675,3525.68,653.796
389,3,24,4.81649,3589.98,687.966
390,3,25,-3.7747,3675.89,756.252
391,3,26,-5.90217,3697.87,753.437
392,3,27,1.95769,3614.03,824.221
393,3,28,6.15556,3567.86,840.585
394,3,29,8.08913,3545.94,838.568
395,3,30,8.28407,3543.67,831.047
396,3,31,12.8325,3489.09,865.341
397,3,32,14.4794,3468.78,864.07
398,3,33,15.2863,3458.56,858.649
399,3,34,13.5346,3481.33,860.502
400,3,35,11.743,3505.22,863.965
401,3,36,10.9717,3515.76,859.615
402,3,37,9.79692,3532.2,858.758
403,3,38,12.8848,3487.94,892.817
404,3,39,13.8857,3473.26,891.281
405,3,40,15.0853,3455.27,892.559
406,3,41,17.4362,3419.22,916.679
407,3,42,18.1623,3407.85,913.978
408,3,43,20.7796,3365.97,951.283
409,3,44,23.0877,3328.27,980.678
410,3,45,24.2857,3308.31,985.033
411,3,46,23.1934,3326.87,988.466
412,3,47,22.4196,3340.29,987.856
413,3,48,23.609,3319.27,994.985
414,3,49,23.6592,3318.37,989.674
415,3,50,25.2885,3288.5,1011.59
416,3,51,24.9745,3294.36,1007.46
417,3,52,25.6615,3281.31,1007.92
418,3,53,27.457,3246.6,1042.77
419,3,54,26.9796,3255.98,1040.69
420,3,55,27.9548,3236.48,1048.95
421,3,56,26.4357,3267.37,1077.72
422,3,57,27.6158,3242.98,1094
423,3,58,26.5825,3264.68,1106.2
424,3,59,25.8783,3279.7,1109.72
425,3,60,26.3387,3269.73,1108.72
426,3,61,26.5482,3265.12,1104.84
427,3,62,27.2513,3249.42,1110.25
428,3,63,27.519,3243.35,1107.21
429,3,64,28.0881,3230.26,1110.1
430,3,65,27.5434,3242.97,1112.8
431,3,66,25.5374,3290.44,1206.51
432,3,67,24.2906,3320.37,1239.78
433,3,68,23.8807,3330.34,1239.33
434,3,69,23.6593,3335.8,1235.99
435,3,70,22.7297,3359.04,1255.71
436,3,71,22.7262,3359.13,1251.14
437,3,72,22.8947,3354.81,1247.52
438,3,73,21.4204,3393.14,1312.34
439,3,74,21.645,3387.22,1309.41
440,3,75,20.7835,3410.2,1330.19
441,3,76,20.2757,3423.91,1334.8
442,3,77,20.5966,3415.14,1334.15
443,3,78,20.0002,3431.64,1343.5
444,3,79,19.9086,3434.2,1339.46
445,3,80,19.5806,3443.49,1339.71
446,3,81,19.5478,3444.43,1335.5
447,3,82,18.8281,3465.31,1355.22
448,3,83,18.1478,3485.26,1373.02
449,3,84,18.4522,3476.23,1373.39
450,3,85,17.9491,3491.32,1382.23
451,3,86,18.3315,3479.73,1385.89
452,3,87,17.8599,3494.19,1394.1
453,3,88,17.2858,3511.98,1408.87
454,3,89,17.2541,3512.98,1404.86
455,3,90,16.4951,3537.01,1436.09
456,3,91,16.0283,3551.95,1445.71
457,3,92,15.1847,3579.23,1487.31
458,3,93,14.7322,3594.01,1496.63
459,3,94,13.7372,3626.84,1558.4
460,3,95,12.727,3660.52,1621.93
461,3,96,11.7479,3693.48,1681.22
462,3,97,10.8544,3723.86,1730.01
463,3,98,10.3985,3739.51,1739.63
