id,low,hi,m,q,costAIC
0,0,7,-518.702,8072.83,105.566
484,8,15,-59.25,6797.5,105.831
540,9,16,-148.667,7956.08,103.315
855,15,22,183.167,2523.17,109.938
904,16,23,144.833,3252.5,109.931
1177,22,29,-134.012,10497.9,108.878
1519,31,38,-21.131,4827.39,117.585
1674,36,43,-225.417,12963.6,103.17
1755,39,46,122,-1101.25,102.629
1849,43,50,174.655,-3413.82,106.893
1909,46,53,-10.1548,5352.79,105.524
1927,47,54,-198.821,14763.4,106.693
2035,55,62,37.9286,2772.68,100.995
2079,63,70,59.119,162.333,96.5883
