id,low,hi,m,q,costQRMSE
0,0,7,13.9643,3881.5,39.2881
250,4,11,-0.0714286,3979.79,130.509
427,7,14,-32.0952,4280,116.429
702,12,19,-24.8333,4187.42,52.2941
855,15,22,-24.5119,4188.1,49.7512
1090,20,27,-2.71429,3740.29,26.5154
1219,23,30,-20.4167,4180.42,31.7909
1414,28,35,-27.6548,4385.75,22.9741
1519,31,38,-40.119,4797.86,26.0196
1615,34,41,-64.7619,5684.32,65.7168
1648,35,45,-59.1909,5480.09,81.3831
1675,36,44,-64.9333,5701.56,68.9427
1755,39,46,-53.4286,5225.21,78.0003
1827,42,49,-55.75,5321,59.5235
1927,47,54,-32.3571,4185.54,28.3959
1975,50,57,-25.631,3838.38,21.5469
2035,55,62,-16.2619,3329.82,28.77
2079,63,70,-31.381,4239.58,30.4086
