id,low,hi,m,q,cost
0,0,7,153.373,2704.99,147.517
1,0,8,170.15,2665.84,183.444
2,0,9,173.025,2658.17,180.277
3,0,10,173.597,2656.46,176.124
4,0,11,173.982,2655.17,172.394
5,0,12,197.341,2569.53,359.916
6,0,13,211.874,2511.39,419.759
7,0,14,221.497,2469.69,446.355
8,0,15,227.158,2443.27,453.452
9,0,16,248.023,2338.95,644.105
10,0,17,262.747,2260.43,731.586
11,0,18,265.434,2245.2,725.46
12,0,19,266.93,2236.22,717.611
13,0,20,266.857,2236.68,708.915
14,0,21,262.511,2265.65,717.481
15,0,22,255.867,2312.17,754.111
16,0,23,241.739,2415.77,948.833
17,0,24,231.976,2490.62,1035.43
18,0,25,220.749,2580.44,1157.8
19,0,26,209.64,2673.01,1280.48
20,0,27,198.978,2765.41,1396.51
21,0,28,185.011,2891.12,1605.67
22,0,29,172.089,3011.72,1781.67
23,0,30,156.386,3163.52,2045.6
24,0,31,142.629,3301.08,2243.02
25,0,32,131.6,3415.05,2368.33
26,0,33,119.045,3548.98,2543.54
27,0,34,107.476,3676.23,2695.35
28,0,35,97.0547,3794.34,2821.39
29,0,36,87.1635,3909.74,2939.98
30,0,37,78.1179,4018.29,3042.5
31,0,38,69.5795,4123.59,3138.25
32,0,39,61.9168,4220.65,3217.38
33,0,40,55.1178,4309.04,3280.73
34,0,41,48.7051,4394.54,3340.11
35,0,42,42.8716,4474.27,3390.51
36,0,43,37.8076,4545.16,3427.56
37,0,44,35.8496,4573.23,3417.46
38,0,45,34.0013,4600.34,3407.54
39,0,46,32.106,4628.77,3399.28
40,0,47,30.8647,4647.8,3386.07
41,0,48,32.9672,4614.86,3383.02
42,0,49,34.9218,4583.59,3379.33
43,0,50,35.6821,4571.17,3364.81
44,0,51,36.4839,4557.81,3351.11
45,0,52,38.5015,4523.51,3352.82
46,0,53,38.9919,4515.01,3338.3
47,0,54,39.3774,4508.2,3323.76
48,0,55,40.0556,4495.99,3311.27
49,0,56,42.4858,4451.44,3330.03
50,0,57,45.9364,4387.02,3386.37
51,0,58,50.1698,4306.59,3482.58
52,0,59,54.612,4220.71,3593.5
53,0,60,62.0509,4074.41,3929.62
54,0,61,69.4147,3927.13,4248.72
55,0,62,76.5497,3782.05,4541.43
56,0,63,83.6795,3634.7,4830.2
57,0,64,94.4379,3408.78,5481.66
58,0,65,102.512,3236.53,5824.12
59,0,66,110.305,3067.68,6139.58
60,0,67,117.768,2903.49,6427.23
61,0,68,126.009,2719.45,6782.76
62,0,69,133.515,2549.31,7073.76
63,0,70,140.155,2396.59,7298.88
64,0,71,145.912,2262.26,7465.69
65,0,72,145.956,2261.23,7440
66,0,73,144.246,2302.26,7433.29
67,0,74,141.639,2365.69,7453.54
68,0,75,138.607,2440.49,7492.67
69,0,76,133.864,2559.06,7629.68
70,0,77,129.319,2674.2,7757.63
71,0,78,124.955,2786.21,7877.68
72,0,79,120.696,2896.95,7994.88
73,0,80,116.946,2995.7,8083.58
74,0,81,112.996,3101.02,8188.72
75,0,82,109.433,3197.24,8273.04
76,0,83,106.852,3267.78,8307.56
77,0,84,104.974,3319.73,8315.62
78,0,85,103.018,3374.49,8328.18
79,0,86,101.285,3423.6,8334.23
80,0,87,93.8082,3637.94,8874.92
81,0,88,86.9104,3837.98,9322.65
82,0,89,80.4163,4028.47,9713.31
83,0,90,74.2946,4210.08,10057.2
84,0,91,68.5188,4383.35,10361.7
85,0,92,63.1119,4547.36,10627.8
86,0,93,57.9514,4705.62,10870.9
87,0,94,53.0799,4856.63,11088.1
88,0,95,48.2644,5007.52,11303.5
89,0,96,43.0828,5171.6,11561.8
90,0,97,38.2111,5327.5,11790.1
91,0,98,33.6107,5476.24,11994.3
92,0,99,29.281,5617.68,12175.6
93,0,100,25.2665,5750.16,12331
94,0,101,21.4888,5876.09,12468.8
95,0,102,17.9339,5995.76,12590.9
96,0,103,14.5863,6109.58,12699.2
97,0,104,11.4901,6215.89,12790.5
98,0,105,8.57241,6317.03,12871.2
99,0,106,5.82167,6413.31,12942.4
100,0,107,3.22439,6505.08,13005.2
101,0,108,0.781161,6592.22,13059.8
102,0,109,-1.53169,6675.48,13108
103,0,110,-3.71591,6754.84,13149.8
104,0,111,-5.77441,6830.32,13185.7
105,0,112,-7.67677,6900.71,13213.9
106,0,113,-9.57423,6971.55,13243.6
107,0,114,-11.3591,7038.78,13268.3
108,0,115,-13.0726,7103.89,13290.4
109,0,116,-14.6318,7163.66,13305.2
110,0,117,-16.0894,7220.02,13315.8
111,0,118,-17.4481,7273.01,13322.6
112,0,119,-18.7165,7322.9,13326
113,0,120,-19.8543,7368.03,13324.2
114,0,121,-20.9217,7410.73,13320.3
115,0,122,-21.9209,7451.03,13314.3
116,1,8,181.39,2602.15,171.579
117,1,9,182.407,2598.76,166.745
118,1,10,181.216,2603.12,162.714
119,1,11,180.286,2606.84,159.153
120,1,12,206.487,2493.31,344.548
121,1,13,221.849,2421.62,397.159
122,1,14,231.422,2373.75,417.472
123,1,15,236.515,2346.59,420.117
124,1,16,258.818,2220.21,606.802
125,1,17,274.004,2129.09,686.525
126,1,18,275.738,2118.11,678.137
127,1,19,276.308,2114.31,669.212
128,1,20,275.29,2121.43,661.385
129,1,21,269.727,2162.23,678.102
130,1,22,261.822,2222.83,726.564
131,1,23,245.948,2349.82,942.599
132,1,24,235.021,2440.89,1036.99
133,1,25,222.652,2548.08,1165.57
134,1,26,210.542,2657.07,1291.77
135,1,27,199.024,2764.58,1409.26
136,1,28,184.055,2909.27,1618.85
137,1,29,170.308,3046.74,1793.39
138,1,30,153.677,3218.6,2054.63
139,1,31,139.208,3372.94,2248.18
140,1,32,127.703,3499.49,2369.17
141,1,33,114.623,3647.73,2539.31
142,1,34,102.634,3787.6,2685.71
143,1,35,91.8937,3916.49,2806.23
144,1,36,81.7397,4041.72,2919.15
145,1,37,72.4984,4158.77,3016.02
146,1,38,63.8064,4271.77,3106.11
147,1,39,56.0467,4375.23,3179.76
148,1,40,49.2013,4468.79,3237.89
149,1,41,42.7644,4558.9,3292.13
150,1,42,36.9359,4642.44,3337.6
151,1,43,31.9125,4716.12,3370.1
152,1,44,30.1335,4742.81,3357.85
153,1,45,28.4571,4768.51,3345.85
154,1,46,26.7204,4795.72,3335.46
155,1,47,25.6555,4812.76,3320.8
156,1,48,28.0626,4773.44,3321.2
157,1,49,30.2972,4736.2,3320.66
158,1,50,31.273,4719.61,3307.32
159,1,51,32.2791,4702.17,3294.87
160,1,52,34.536,4662.3,3299.88
161,1,53,35.1945,4650.45,3286.11
162,1,54,35.735,4640.54,3272.17
163,1,55,36.5703,4624.95,3260.73
164,1,56,39.2117,4574.76,3283.68
165,1,57,42.8983,4503.48,3346.15
166,1,58,47.3824,4415.3,3449.76
167,1,59,52.0697,4321.55,3567.84
168,1,60,59.8413,4163.53,3916.07
169,1,61,67.519,4004.86,4244.55
170,1,62,74.9453,3848.9,4544.42
171,1,63,82.3524,3690.89,4838.92
172,1,64,93.4884,3449.6,5498.02
173,1,65,101.84,3265.87,5843.94
174,1,66,109.89,3086.1,6161.77
175,1,67,117.588,2911.6,6450.9
176,1,68,126.076,2716.37,6807.53
177,1,69,133.798,2536.2,7098.81
178,1,70,140.62,2374.74,7323.6
179,1,71,146.526,2233,7489.68
180,1,72,146.554,2232.32,7463.54
181,1,73,144.781,2276.05,7456.79
182,1,74,142.089,2343.35,7477.25
183,1,75,138.964,2422.52,7516.64
184,1,76,134.087,2547.69,7654.3
185,1,77,129.418,2669.09,7782.62
186,1,78,124.94,2787.02,7902.8
187,1,79,120.573,2903.46,8019.95
188,1,80,116.732,3007.16,8108.36
189,1,81,112.69,3117.64,8213.1
190,1,82,109.047,3218.43,8296.87
191,1,83,106.414,3292.18,8330.76
192,1,84,104.502,3346.34,8338.19
193,1,85,102.511,3403.41,8350.08
194,1,86,100.749,3454.5,8355.47
195,1,87,93.1128,3678.51,8895.57
196,1,88,86.074,3887.32,9342.23
197,1,89,79.4528,4085.96,9731.48
198,1,90,73.2164,4275.13,10073.7
199,1,91,67.3374,4455.42,10376.3
200,1,92,61.8386,4625.88,10640.4
201,1,93,56.5945,4790.2,10881.4
202,1,94,51.6483,4946.83,11096.4
203,1,95,46.7615,5103.2,11309.5
204,1,96,41.5033,5273.22,11565.3
205,1,97,36.5638,5434.58,11791.1
206,1,98,31.903,5588.38,11992.8
207,1,99,27.5204,5734.47,12171.5
208,1,100,23.4608,5871.14,12324.3
209,1,101,19.644,6000.91,12459.6
210,1,102,16.0557,6124.11,12579.2
211,1,103,12.6795,6241.15,12685
212,1,104,9.56039,6350.32,12773.9
213,1,105,6.6239,6454.08,12852.3
214,1,106,3.85803,6552.73,12921.2
215,1,107,1.2489,6646.66,12981.7
216,1,108,-1.20299,6735.74,13034.2
217,1,109,-3.52187,6820.77,13080.2
218,1,110,-5.70961,6901.71,13119.9
219,1,111,-7.76929,6978.61,13153.8
220,1,112,-9.67,7050.2,13180.1
221,1,113,-11.5658,7122.24,13207.9
222,1,114,-13.347,7190.52,13230.7
223,1,115,-15.0558,7256.59,13250.9
224,1,116,-16.6076,7317.12,13264
225,1,117,-18.0563,7374.1,13273
226,1,118,-19.4048,7427.59,13278.2
227,1,119,-20.6616,7477.86,13280.1
228,1,120,-21.786,7523.21,13277
229,1,121,-22.839,7566.03,13271.8
230,1,122,-23.8232,7606.39,13264.5
231,2,9,192.514,2531.37,156.312
232,2,10,188.813,2547.41,153.868
233,2,11,186.178,2559.71,151.471
234,2,12,216.072,2410.24,332.851
235,2,13,232.397,2323.17,377.816
236,2,14,241.819,2269.78,391.89
237,2,15,246.154,2243.77,390.591
238,2,16,270.146,2091.82,572.463
239,2,17,285.814,1987.37,643.961
240,2,18,286.363,1983.52,634.392
241,2,19,285.816,1987.54,625.537
242,2,20,283.69,2003.84,619.847
243,2,21,276.73,2059.51,646.292
244,2,22,267.406,2137.22,707.217
245,2,23,249.581,2291.7,942.617
246,2,24,237.387,2401.44,1043.38
247,2,25,223.791,2528.34,1176.41
248,2,26,210.621,2655.65,1304.5
249,2,27,198.211,2779.76,1422
250,2,28,182.194,2945.26,1630.4
251,2,29,167.598,3100.96,1802.17
252,2,30,150.006,3294.46,2059.42
253,2,31,134.817,3466.6,2247.99
254,2,32,122.854,3606.18,2363.8
255,2,33,109.259,3769.31,2528
256,2,34,96.8684,3922.13,2668.24
257,2,35,85.8356,4061.88,2782.58
258,2,36,75.4475,4196.93,2889.23
259,2,37,66.0423,4322.33,2979.93
260,2,38,57.2295,4442.77,3063.9
261,2,39,49.4076,4552.28,3131.68
262,2,40,42.5515,4650.55,3184.25
263,2,41,36.1253,4744.8,3233.07
264,2,42,30.3364,4831.63,3273.38
265,2,43,25.3881,4907.51,3301.14
266,2,44,23.8297,4931.92,3286.88
267,2,45,22.3636,4955.38,3272.96
268,2,46,20.8206,4980.58,3260.55
269,2,47,19.9659,4994.82,3244.66
270,2,48,22.7176,4948.05,3249.38
271,2,49,25.268,4903.84,3252.77
272,2,50,26.4888,4882.27,3241.1
273,2,51,27.7266,4859.99,3230.36
274,2,52,30.2505,4813.72,3239.35
275,2,53,31.0992,4797.88,3226.69
276,2,54,31.8146,4784.29,3213.67
277,2,55,32.826,4764.73,3203.63
278,2,56,35.6996,4708.22,3231.43
279,2,57,39.6433,4629.34,3300.88
280,2,58,44.399,4532.64,3412.78
281,2,59,49.3508,4430.31,3538.81
282,2,60,57.478,4259.64,3900.27
283,2,61,65.4904,4088.71,4238.89
284,2,62,73.2267,3921.08,4546.45
285,2,63,80.9281,3751.65,4847.07
286,2,64,92.463,3494.04,5514.29
287,2,65,101.108,3298.1,5863.89
288,2,66,109.427,3106.74,6184.24
289,2,67,117.373,2921.34,6474.96
290,2,68,126.121,2714.31,6832.78
291,2,69,134.069,2523.56,7124.39
292,2,70,141.081,2352.94,7348.87
293,2,71,147.142,2203.42,7514.21
294,2,72,147.153,2203.14,7487.61
295,2,73,145.314,2249.73,7480.83
296,2,74,142.534,2321.09,7501.48
297,2,75,139.313,2404.85,7541.11
298,2,76,134.296,2536.94,7679.39
299,2,77,129.499,2664.88,7808.05
300,2,78,124.902,2788.99,7928.33
301,2,79,120.425,2911.37,8045.37
302,2,80,116.491,3020.22,8133.45
303,2,81,112.354,3136.05,8237.75
304,2,82,108.629,3241.59,8320.93
305,2,83,105.941,3318.64,8354.15
306,2,84,103.995,3375.08,8360.92
307,2,85,101.969,3434.52,8372.11
308,2,86,100.178,3487.63,8376.81
309,2,87,92.3772,3721.66,8916.24
310,2,88,85.1935,3939.56,9361.74
311,2,89,78.4419,4146.61,9749.49
312,2,90,72.0881,4343.58,10089.9
313,2,91,66.1035,4531.1,10390.7
314,2,92,60.511,4708.19,10652.6
315,2,93,55.1818,4878.73,10891.5
316,2,94,50.1595,5041.12,11104.1
317,2,95,45.2004,5203.11,11314.9
318,2,96,39.8645,5379.2,11568.1
319,2,97,34.8561,5546.14,11791.4
320,2,98,30.1345,5705.1,11990.4
321,2,99,25.6985,5855.93,12166.4
322,2,100,21.5937,5996.86,12316.6
323,2,101,17.7379,6130.53,12449.3
324,2,102,14.1162,6257.29,12566.4
325,2,103,10.7119,6377.57,12669.7
326,2,104,7.57046,6489.62,12756.2
327,2,105,4.61577,6595.99,12832.1
328,2,106,1.83545,6697,12898.7
329,2,107,-0.784736,6793.08,12957
330,2,108,-3.24445,6884.09,13007.2
331,2,109,-5.56846,6970.85,13051
332,2,110,-7.7588,7053.35,13088.7
333,2,111,-9.81866,7131.63,13120.6
334,2,112,-11.7167,7204.39,13144.9
335,2,113,-13.6098,7277.58,13170.8
336,2,114,-15.3864,7346.87,13191.7
337,2,115,-17.0893,7413.86,13210.1
338,2,116,-18.6328,7475.08,13221.5
339,2,117,-20.0716,7532.63,13228.8
340,2,118,-21.4086,7586.56,13232.5
341,2,119,-22.6528,7637.15,13232.9
342,2,120,-23.7626,7682.66,13228.4
343,2,121,-24.8002,7725.55,13221.8
344,2,122,-25.7683,7765.88,13213.3
345,3,10,189.143,2544.88,158.449
346,3,11,185.849,2562.45,155.488
347,3,12,221.787,2358.8,335.839
348,3,13,240.041,2249.28,375.091
349,3,14,249.76,2187.72,384.319
350,3,15,253.54,2162.52,380.199
351,3,16,279.904,1977.98,555.28
352,3,17,296.36,1857.3,618.643
353,3,18,295.66,1862.67,608.901
354,3,19,293.954,1876.31,600.941
355,3,20,290.688,1903.53,597.875
356,3,21,282.259,1976.58,632.9
357,3,22,271.449,2073.87,703.334
358,3,23,251.542,2259.67,951.044
359,3,24,238.061,2389.99,1054.71
360,3,25,223.224,2538.36,1188.76
361,3,26,209.004,2685.3,1315.86
362,3,27,195.73,2826.89,1430.99
363,3,28,178.672,3014.53,1635.73
364,3,29,163.255,3189.25,1802.76
365,3,30,144.718,3405.52,2054.19
366,3,31,128.846,3595.98,2236.28
367,3,32,116.483,3748.46,2345.69
368,3,33,102.422,3926.56,2502.81
369,3,34,89.6845,4092.15,2635.88
370,3,35,78.4183,4242.37,2743.15
371,3,36,67.8555,4386.73,2842.77
372,3,37,58.3467,4519.85,2926.64
