,npred,points,segm,AR nint,base,fore,,HW nint,base,fore,,Theta nint,base,fore,,RF nint,base,,fore
N2737,12,134,4371,1,0.06,0.06,0,3,0.25,0.19,0.24,3,0.05,0.03,0.4,3,0.06,0.02,0.666666667
N2743,12,134,4371,2,0.06,0.07,-0.166666667,3,0.08,0.06,0.25,3,0.09,0.08,0.111111111,3,0.13,0.12,0.076923077
N2688,12,135,4465,2,0.11,0.12,-0.090909091,3,0.15,0.05,0.666666667,3,0.15,0.08,0.466666667,3,0.14,0.17,-0.214285714
N2721,12,135,4465,3,0.04,0.06,-0.5,3,0.03,0.02,0.333333333,2,0.05,0.05,0,2,0.07,0.07,0
N2841,12,104,2016,1,0.11,0.11,0,2,0.08,0.08,0,2,0.07,0.12,-0.714285714,2,0.09,0.11,-0.222222222
N2554,12,133,4278,2,0.03,0.07,-1.333333333,2,0.03,0.03,0,2,0.03,0.06,-1,1,0.07,0.07,0
N2615,12,134,4371,2,0.02,0.02,0,2,0.02,0.02,0,2,0.03,0.03,0,3,0.07,0.07,0
N2522,12,143,5253,1,0.06,0.06,0,2,0.03,0.06,-1,2,0.03,0.03,0,3,0.05,0.05,0
N2544,12,134,4371,3,0.06,0.08,-0.333333333,3,0.07,0.08,-0.142857143,3,0.06,0.02,0.666666667,2,0.04,0.04,0
N2208,12,134,4371,3,0.25,0.17,0.32,3,0.1,0.1,0,3,0.1,0.1,0,3,0.11,0.1,0.090909091
N2186,12,134,4371,3,0.34,0.35,-0.029411765,3,0.31,0.41,-0.322580645,3,0.32,0.29,0.09375,2,0.35,0.37,-0.057142857
N1979,12,144,5356,3,0.09,0.09,0,3,0.09,0.13,-0.444444444,3,0.09,0.09,0,3,0.07,0.07,0
N2130,12,144,5356,3,0.09,0.09,0,2,0.11,0.08,0.272727273,3,0.11,0.08,0.272727273,3,0.09,0.1,-0.111111111
N2144,12,144,5356,2,0.26,0.27,-0.038461538,3,0.23,0.24,-0.043478261,2,0.23,0.24,-0.043478261,3,0.27,0.27,0
N2465,12,132,4186,3,0.08,0.12,-0.5,3,0.06,0.05,0.166666667,3,0.07,0.07,0,2,0.12,0.12,0
N2511,12,108,2278,2,0.05,0.04,0.2,2,0.06,0.04,0.333333333,2,0.04,0.04,0,2,0.04,0.04,0
N2257,12,134,4371,3,0.22,0.13,0.409090909,3,0.17,0.15,0.117647059,3,0.18,0.14,0.222222222,3,0.19,0.17,0.105263158
N2355,12,134,4371,3,0.29,0.3,-0.034482759,3,0.1,0.1,0,3,0.12,0.13,-0.083333333,3,0.17,0.19,-0.117647059
N2373,12,134,4371,3,0.13,0.2,-0.538461538,2,0.09,0.06,0.333333333,3,0.11,0.12,-0.090909091,3,0.13,0.13,0
N1861,12,126,3655,2,0.2,0.16,0.2,2,0.12,0.12,0,2,0.13,0.12,0.076923077,2,0.15,0.14,0.066666667
N1747,12,126,3655,2,0.16,0.1,0.375,1,0.09,0.09,0,1,0.08,0.08,0,1,0.07,0.07,0
N1790,12,126,3655,3,0.09,0.11,-0.222222222,3,0.14,0.09,0.357142857,3,0.11,0.09,0.181818182,3,0.14,0.15,-0.071428571
N1789,12,126,3655,3,0.21,0.05,0.761904762,1,0.03,0.03,0,1,0.02,0.02,0,1,0.04,0.04,0
N1751,12,126,3655,2,0.09,0.05,0.444444444,2,0.05,0.05,0,1,0.05,0.05,0,1,0.06,0.06,0
N2780,12,120,3160,2,0.16,0.15,0.0625,2,0.13,0.14,-0.076923077,2,0.13,0.12,0.076923077,2,0.16,0.14,0.125
N2783,12,120,3160,2,0.2,0.19,0.05,1,0.18,0.18,0,1,0.18,0.18,0,1,0.17,0.17,0
,,,,,,,,,,,,,,,,,,,
avg,,,,,,,-0.037090082,,,,0.040021806,,,,0.02449238,,,,0.012984274
