name,npred,npoints,nsegm,nIntAR,RMSEBaseAR,RMSEForeAR,deltaAR,nIntHW,RMSEBaseHW,RMSEForeHW,deltaHW,nIntTh,RMSEBaseTh,RMSEForeTH,deltaTh,nIntRF,RMSEBaseRF,RMSEForeRF,deltaRF
Q12635,12,122,3321,3,0.183607541,0.159663813,-0.130407106,3,0.279412839,0.271300859,-0.029032238,3,0.175426249,0.180520292,0.029038089,3,0.195874432,0.288578554,0.473283426
Q12163,12,115,2775,2,0.036791877,0.041557989,0.12954251,2,0.038420591,0.050898975,0.324783752,3,0.0301491,0.030823215,0.022359353,3,0.049762948,0.051165591,0.028186483
Q12036,12,150,5995,4,0.086780049,0.077099349,-0.111554448,3,0.12284807,0.118986614,-0.031432776,4,0.080500978,0.085929969,0.06744006,3,0.094327241,0.099227188,0.051946253
Q12726,12,161,7260,4,0.073232679,0.074182463,0.012969393,4,0.052510576,0.054865381,0.044844381,4,0.056951127,0.04897113,-0.140120085,3,0.076112448,0.079337148,0.042367574
Q11722,12,184,10296,2,0.016226934,0.023651722,0.457559524,4,0.067291538,0.042479383,-0.368726223,4,0.01401102,0.038520772,1.749319672,4,0.017145279,0.077420435,3.515554102
Q22725,12,114,2701,3,0.036666303,0.225638262,5.153831778,2,0.032359963,0.264859157,7.184779404,3,0.032771554,0.068179059,1.080434115,2,0.102057866,0.043748676,-0.571334601
Q22366,12,122,3321,3,0.088552183,0.038376902,-0.566618226,2,0.056573378,0.160517924,1.837340257,3,0.068866461,0.049808161,-0.276742847,2,0.031775129,0.031850858,0.002383269
Q19569,12,123,3403,3,0.414412802,0.461109179,0.112680827,3,0.206995563,0.217572759,0.051098663,3,0.409385676,0.401155764,-0.020103079,1,0.514602189,0.514602189,0
Q20713,12,102,1891,2,0.018524203,0.029712963,0.604007649,2,0.015456228,0.029280183,0.89439387,2,0.044065489,0.021547225,-0.511018133,2,0.080177529,0.079363447,-0.010153494
Q23085,12,109,2346,3,0.330394302,0.925199481,1.800288854,3,0.099957231,0.095590511,-0.043685887,2,0.10332149,0.112218162,0.086106697,3,0.059721771,0.059354647,-0.006147244
