name,categ,npred,npoints,nsegm,nIntAR,RMSEBaseAR,RMSEForeAR,deltaAR,nIntHW,RMSEBaseHW,RMSEForeHW,deltaHW,nIntTh,RMSEBaseTh,RMSEForeTH,deltaTh,nIntRF,RMSEBaseRF,RMSEForeRF,deltaRF
N2700,DEMOGRAPHIC ,6,135,5050,2,0.143274822,0.084366022,-0.411159473,2,0.099234552,0.10030614,0.010798544,1,0.058415298,0.058415298,0,1,0.037815636,0.037815636,0
N2737,DEMOGRAPHIC ,6,134,4950,3,0.152279839,0.127299891,-0.164039757,3,0.062201845,0.032152728,-0.483090446,3,0.035638993,0.064436877,0.808044268,3,0.064470888,0.205666687,2.190070637
N2743,DEMOGRAPHIC ,6,134,4950,2,0.070759965,0.077554571,0.096023308,3,0.09286496,0.157513462,0.696156027,3,0.074197065,0.058983104,-0.20504802,3,0.033462787,0.029061311,-0.131533463
N2688,DEMOGRAPHIC ,6,135,5050,3,0.102764506,0.074910459,-0.271047345,3,0.05386315,0.074529727,0.383686741,3,0.053562945,0.066200825,0.235944461,3,0.049456446,0.049682382,0.004568393
N2721,DEMOGRAPHIC ,6,135,5050,2,0.047166635,0.047596917,0.009122592,3,0.02587451,0.027988994,0.08172077,4,0.047529328,0.043944842,-0.075416295,3,0.049513454,0.045409112,-0.082893459
N2841,FINANCE     ,6,104,2415,1,0.115311024,0.115311024,0,1,0.099231065,0.099231065,0,1,0.082444705,0.082444705,0,1,0.148973551,0.148973551,0
N2554,FINANCE     ,6,133,4851,3,0.058193497,0.075211498,0.292438186,2,0.043171536,0.034021661,-0.211942298,1,0.043896731,0.043896731,0,2,0.07986755,0.080827668,0.012021379
N2615,FINANCE     ,6,134,4950,1,0.013958071,0.013958071,0,2,0.043019605,0.034252734,-0.203787805,2,0.055256766,0.111102671,1.010661833,3,0.052851724,0.052763771,-0.001664139
N2522,FINANCE     ,6,143,5886,2,0.012145883,0.012116435,-0.00242452,1,0.046752124,0.046752124,0,2,0.032824881,0.018042667,-0.450335642,3,0.047751519,0.047612001,-0.002921764
N2544,FINANCE     ,6,134,4950,3,0.022329972,0.046904092,1.100499344,2,0.032263724,0.013739732,-0.574143026,3,0.019618646,0.030932225,0.576674821,2,0.023028588,0.023153432,0.005421252
N2208,INDUSTRY    ,6,134,4950,3,0.293422729,0.254010814,-0.134317865,2,0.122503636,0.1312252,0.071194331,2,0.1204547,0.088349327,-0.266534827,3,0.107332718,0.119130117,0.109914284
N2186,INDUSTRY    ,6,134,4950,3,0.330440764,0.309679187,-0.062829951,3,0.258201519,0.391005631,0.514342877,3,0.276946388,0.401154443,0.448491334,3,0.293982764,0.380160663,0.29313929
N1979,INDUSTRY    ,6,144,5995,3,0.095745913,0.082739103,-0.135847157,3,0.117879254,0.068029124,-0.42289146,4,0.106460381,0.115139457,0.081524001,3,0.061990879,0.0636504,0.026770411
N2130,INDUSTRY    ,6,144,5995,3,0.060198302,0.045206325,-0.249043177,2,0.066176156,0.095636958,0.445187553,3,0.044542926,0.044203481,-0.007620622,2,0.10270092,0.073544943,-0.283892072
N2144,INDUSTRY    ,6,144,5995,4,0.027363192,0.02663907,-0.026463338,3,0.04844981,0.021479095,-0.556673285,4,0.032046168,0.040593513,0.266719702,3,0.053944063,0.044503853,-0.174999974
N2465,MACRO       ,6,132,4753,3,0.274435385,0.222710229,-0.18847845,2,0.021147131,0.060025141,1.838453184,2,0.091398597,0.063797005,-0.301991414,3,0.102352962,0.10574852,0.033174986
N2511,MACRO       ,6,108,2701,3,0.186102836,0.149863086,-0.194729704,2,0.069798398,0.054810076,-0.214737326,2,0.052426502,0.063180627,0.205127644,2,0.075860703,0.081689143,0.076830823
N2257,MACRO       ,6,134,4950,2,0.304390526,0.300897371,-0.011475897,3,0.265507732,0.186035776,-0.299320684,3,0.277395286,0.264807354,-0.045379043,2,0.285480187,0.298771019,0.046556059
N2355,MACRO       ,6,134,4950,4,0.333657631,0.265569759,-0.204065082,2,0.224677588,0.240028812,0.06832557,3,0.250481346,0.249299374,-0.0047188,3,0.265454094,0.250078664,-0.057921238
N2373,MACRO       ,6,134,4950,2,0.096858237,0.098935526,0.021446691,3,0.093857879,0.081713815,-0.129387799,3,0.105885581,0.121287159,0.145454916,3,0.116054434,0.113916456,-0.018422204
N1861,MICRO       ,6,126,4186,2,0.147659595,0.08599485,-0.417614211,3,0.113084989,0.091837558,-0.187889052,3,0.111675598,0.080457322,-0.279544295,3,0.077642599,0.096967171,0.248891362
N1747,MICRO       ,6,126,4186,1,0.235052302,0.235052302,0,3,0.104491927,0.118447792,0.133559265,1,0.096040151,0.096040151,0,1,0.089526889,0.089526889,0
N1790,MICRO       ,6,126,4186,3,0.122280494,0.20807307,0.701604755,2,0.140143669,0.125534338,-0.104245382,2,0.117331244,0.109308774,-0.068374543,1,0.150660468,0.150660468,0
N1789,MICRO       ,6,126,4186,3,0.19284071,0.060525993,-0.686134774,2,0.068708159,0.026829975,-0.609508169,1,0.028325437,0.028325437,0,1,0.050438498,0.050438498,0
N1751,MICRO       ,6,126,4186,1,0.161693403,0.161693403,0,2,0.091020089,0.047579947,-0.477258835,2,0.083502963,0.063526934,-0.239225387,2,0.048136363,0.054451739,0.131197611
N2780,OTHER       ,6,120,3655,2,0.157527576,0.149446298,-0.051300715,2,0.134513619,0.151651018,0.127402704,2,0.140605389,0.124760017,-0.112693916,2,0.117995671,0.071171665,-0.396828167
N2783,OTHER       ,6,120,3655,2,0.147607843,0.144323191,-0.022252556,2,0.217244689,0.266233098,0.225498763,3,0.21638655,0.144395777,-0.33269523,2,0.152040076,0.108489821,-0.28643931
N2778,OTHER       ,6,96,1891,2,0.09420889,0.094154974,-0.000572305,2,0.151796185,0.178744705,0.177530948,2,0.095203908,0.093591831,-0.016932882,2,0.141792261,0.138559745,-0.022797554
N2785,OTHER       ,6,96,1891,2,0.176146981,0.180636245,0.025485897,2,0.105035589,0.144004116,0.371003084,1,0.099254854,0.099254854,0,2,0.074344665,0.131289194,0.765953138
N2799,OTHER       ,6,96,1891,2,0.179873733,0.174777419,-0.028332728,2,0.056559529,0.066221815,0.170833911,2,0.056939501,0.055897765,-0.018295486,2,0.066812304,0.041400089,-0.380352324
Q12635,Demographic,6,122,4371,2,0.301320577,0.296231603,-0.016888902,3,0.330132115,0.331569755,0.004354742,4,0.292714151,0.331758784,0.133388265,3,0.302820211,0.306431043,0.011924013
Q12163,Demographic,6,115,3741,2,0.087948409,0.081906081,-0.068703097,2,0.062018057,0.077995357,0.257623352,3,0.050621052,0.054142972,0.069574214,3,0.042656766,0.040382349,-0.053319031
Q12036,Demographic,6,150,7381,4,0.155009017,0.125509144,-0.19031069,4,0.156229666,0.134040894,-0.142026623,4,0.099088989,0.123386214,0.245206106,4,0.088358766,0.089311558,0.010783217
Q12726,Demographic,6,161,8778,5,0.214849227,0.157569012,-0.266606568,2,0.05885808,0.034212595,-0.418727304,2,0.097860748,0.043074605,-0.559837769,3,0.094745011,0.099556238,0.050780801
Q11722,Demographic,6,184,12090,2,0.012099875,0.014498916,0.198269847,2,0.033635816,0.01465194,-0.5643947,1,0.013174116,0.013174116,0,2,0.011843489,0.010885884,-0.080854973
Q22725,Finance,6,114,3655,1,0.06925721,0.06925721,0,3,0.083861245,0.048544957,-0.421127631,4,0.080765854,0.034448284,-0.573479607,1,0.040050209,0.040050209,0
Q22366,Finance,6,122,4371,3,0.016908589,0.03566285,1.109155916,4,0.040436748,0.035053772,-0.133120896,4,0.019551474,0.045452416,1.324756506,3,0.01565049,0.041171167,1.63066304
Q19569,Finance,6,123,4465,3,0.294985007,0.060844084,-0.793738386,3,0.126087144,0.089033211,-0.293875581,4,0.283697896,0.231201013,-0.185045023,3,0.185790982,0.294813186,0.586800303
Q20713,Finance,6,102,2701,2,0.017865456,0.031222107,0.747624386,1,0.023711671,0.023711671,0,3,0.040802689,0.03095689,-0.24130268,2,0.060663115,0.060219151,-0.007318512
Q23085,Finance,6,109,3240,3,0.031640072,0.053155391,0.6800022,3,0.035315068,0.024058144,-0.318756951,3,0.050897391,0.038720074,-0.239252276,3,0.069001073,0.068060264,-0.013634699
Q14875,Industry,6,154,7875,5,0.027818988,0.029473705,0.059481546,5,0.017510346,0.097960775,4.594451146,4,0.020926819,0.023867914,0.140541888,4,0.043381305,0.039965043,-0.078749629
Q13248,Industry,6,271,29403,9,0.052916823,0.064153479,0.212345632,8,0.026385703,0.043175616,0.636326165,9,0.080100248,0.081954703,0.023151684,9,0.097720391,0.101219142,0.035803695
Q14559,Industry,6,115,3741,3,0.157851568,0.130475396,-0.173429842,3,0.155842768,0.185067186,0.187525015,3,0.151714614,0.118869887,-0.216490199,3,0.161486652,0.163175941,0.010460856
Q14720,Industry,6,115,3741,3,0.206991713,0.245930971,0.188119888,3,0.180557617,0.175524149,-0.027877349,3,0.186344315,0.186251336,-0.000498961,4,0.225301611,0.223428748,-0.008312693
Q15440,Industry,6,118,4005,4,0.201591123,0.200174026,-0.007029562,3,0.089043815,0.047823142,-0.462925723,3,0.078091975,0.069040412,-0.115908999,3,0.090354216,0.087565895,-0.030859889
Q1757,Macro,6,165,9316,2,0.079947222,0.083765513,0.047760153,5,0.031351167,0.030789801,-0.017905749,3,0.032327606,0.066829548,1.067259384,5,0.047821277,0.071072006,0.486200526
Q206,Macro,6,108,3160,3,0.009517896,0.01164483,0.223466826,4,0.008276248,0.024148701,1.917832135,3,0.059735589,0.055923866,-0.063809911,3,0.081013076,0.08220044,0.014656444
Q4505,Macro,6,162,8911,4,0.072662109,0.063835212,-0.121478687,5,0.096878474,0.097348186,0.004848461,3,0.094787498,0.104727662,0.104867883,5,0.133620863,0.131775624,-0.013809514
Q2829,Macro,6,116,3828,3,0.231512418,0.17999874,-0.222509351,3,0.059072827,0.062940967,0.065480865,3,0.048532302,0.0338416,-0.302699466,3,0.079078152,0.121184357,0.532463178
Q3365,Macro,6,181,11628,5,0.209463768,0.148111584,-0.292901175,6,0.298723756,0.30181785,0.010357712,6,0.156005284,0.172786109,0.107565742,6,0.157760666,0.167977607,0.064762282
Q10783,Micro,6,118,4005,3,0.282026843,0.185073799,-0.343772397,2,0.195261026,0.193250162,-0.010298334,3,0.202077531,0.206177316,0.020288181,3,0.174415593,0.202939762,0.163541391
Q8960,Micro,6,103,2775,3,0.119370018,0.121308413,0.016238543,3,0.132329467,0.143771003,0.086462494,3,0.126751184,0.130390804,0.028714686,3,0.126236211,0.133730839,0.059369878
Q11058,Micro,6,114,3655,3,0.050971498,0.070296076,0.37912518,3,0.04073501,0.039370643,-0.033493717,3,0.059967663,0.057901913,-0.034447736,3,0.051167623,0.048873399,-0.044837416
Q8881,Micro,6,167,9591,5,0.195967962,0.214006991,0.092050906,4,0.079906237,0.109579924,0.371356332,5,0.135419548,0.154328517,0.139632493,5,0.145741058,0.145106526,-0.004353828
Q9760,Micro,6,106,3003,1,0.136992977,0.136992977,0,3,0.106193851,0.144944849,0.36490811,3,0.106908319,0.132602007,0.240333853,3,0.137710384,0.032891211,-0.76115664
Q23500,Other,6,122,4371,3,0.131499118,0.074852837,-0.430773085,2,0.038086843,0.036007825,-0.054586242,3,0.091608256,0.032208565,-0.648409801,3,0.081988338,0.055023137,-0.328890689
Q23460,Other,6,122,4371,3,0.048000405,0.00533022,-0.888954687,2,0.045068222,0.015925353,-0.646638977,3,0.062435624,0.052902302,-0.152690425,3,0.082370272,0.079898714,-0.030005461
Q23631,Other,6,338,47895,9,0.09105061,0.091123303,0.000798376,4,0.048642046,0.056483177,0.161200673,7,0.052011443,0.05291338,0.017341125,5,0.019425129,0.353753271,17.21111581
Q23439,Other,6,122,4371,4,0.222049482,0.198547465,-0.105841351,4,0.059451109,0.101813556,0.712559399,3,0.100052266,0.043816655,-0.562062343,4,0.083092763,0.0995325,0.197848009
Q23680,Other,6,194,13695,7,0.091192355,0.041407757,-0.545929512,5,0.063001527,0.110652031,0.756338867,5,0.072797432,0.034241361,-0.529635049,3,0.065766361,0.063098767,-0.040561681
