results6,,,,,,,,,,,,,,
categ,avg_npoints,avg_nsegm,AR_avg_delta,AR_std_delta,AR_range_delta,HW_avg_delta,HW_std_delta,HW_range_delta,Th_avg_delta,Th_std_delta,Th_range_delta,RF_avg_delta,RF_std_delta,RF_range_delta
DEMOGRAPHIC,134.6,5010,-0.1482,0.2055,0.5072,0.1379,0.4407,1.1792,0.1527,0.3999,1.0131,0.396,1.0045,2.3216
FINANCE,129.6,4610.4,0.2781,0.4769,1.1029,-0.198,0.2346,0.5741,0.2274,0.5697,1.461,0.0026,0.0062,0.0149
INDUSTRY,140,5577,-0.1217,0.0853,0.2226,0.0102,0.4889,1.071,0.1045,0.2718,0.715,-0.0058,0.229,0.577
MACRO,128.4,4460.8,-0.1155,0.1107,0.2255,0.2527,0.8969,2.1378,-0.0003,0.1978,0.5071,0.016,0.0538,0.1348
MICRO,126,4186,-0.0804,0.5256,1.3877,-0.2491,0.2971,0.7431,-0.1174,0.1333,0.2795,0.076,0.1121,0.2489
OTHER,105.6,2596.6,-0.0154,0.0291,0.0768,0.2145,0.0942,0.2436,-0.0961,0.1395,0.3327,-0.0641,0.4876,1.1628
,,,,,,,,,,,,,,
categ,avg_npoints,avg_nsegm,AR_avg_delta,AR_std_delta,AR_range_delta,HW_avg_delta,HW_std_delta,HW_range_delta,Th_avg_delta,Th_std_delta,Th_range_delta,RF_avg_delta,RF_std_delta,RF_range_delta
Demographic,146.4,7272.2,-0.0688,0.1788,0.4649,-0.1726,0.3284,0.822,-0.0223,0.3137,0.805,-0.0121,0.0536,0.1316
Finance,114,3686.4,0.3486,0.754,1.9029,-0.2334,0.1664,0.4211,0.0171,0.747,1.8982,0.4393,0.7139,1.6443
Industry,154.6,9753,0.0559,0.1569,0.3858,0.9855,2.056,5.0574,-0.0338,0.1368,0.357,-0.0143,0.0436,0.1146
Macro,146.4,7368.6,-0.0731,0.2095,0.5164,0.3961,0.8512,1.9357,0.1826,0.5221,1.37,0.2169,0.269,0.5463
Micro,121.6,4605.8,0.0287,0.2581,0.7229,0.1558,0.199,0.4049,0.0789,0.1102,0.2748,-0.1175,0.3683,0.9247
Other,179.6,14940.6,-0.3941,0.3565,0.8898,0.1858,0.5819,1.403,-0.3751,0.2903,0.6658,3.4019,7.7218,17.54
,,,,,,,,,,,,,,
results12,,,,,,,,,,,,,,
categ,avg_npoints,avg_nsegm,AR_avg_delta,AR_std_delta,AR_range_delta,HW_avg_delta,HW_std_delta,HW_range_delta,Th_avg_delta,Th_std_delta,Th_range_delta,RF_avg_delta,RF_std_delta,RF_range_delta
DEMOGRAPHIC,134.6,3880.8,0.1609,0.5366,1.4342,0.2016,0.4284,0.9993,0.1136,0.3729,0.8959,0.0961,0.2233,0.5552
FINANCE,129.6,3541.2,0.1922,0.4548,1.1554,0.2808,0.1921,0.4578,0.0341,0.5983,1.238,-0.0153,0.0223,0.0527
INDUSTRY,140,4383,-0.0558,0.1681,0.3961,-0.0819,0.1159,0.2992,-0.013,0.0774,0.1856,-0.0226,0.0794,0.2196
MACRO,128.4,3406,-0.113,0.3182,0.79,-0.0375,0.3543,0.9771,-0.03,0.0802,0.2015,0.0398,0.0702,0.1572
MICRO,126,3160,-0.249,0.3173,0.793,-0.0749,0.1675,0.3744,-0.1032,0.1672,0.3967,0.1481,0.3275,0.7338
OTHER,105.6,1815.4,-0.0245,0.0369,0.0928,0.2372,0.1853,0.5058,-0.0804,0.1116,0.241,0.0702,0.0628,0.1418
,,,,,,,,,,,,,,
categ,avg_npoints,avg_nsegm,AR_avg_delta,AR_std_delta,AR_range_delta,HW_avg_delta,HW_std_delta,HW_range_delta,Th_avg_delta,Th_std_delta,Th_range_delta,RF_avg_delta,RF_std_delta,RF_range_delta
Demographic,146.4,5929.4,0.2965,0.7487,1.779,0.0595,0.0962,0.2137,0.3485,0.7773,1.8933,0.3103,0.3722,0.8892
Finance,114,2732.4,1.4261,2.2477,5.7389,0.8934,0.876,2.4378,0.3426,1.1719,2.8706,0.0539,0.0805,0.1936
Industry,154.6,8311.8,-0.0261,0.1858,0.4803,0.1757,0.3746,0.8657,0.0341,0.0767,0.2053,-0.0372,0.1002,0.2685
Macro,146.4,6025.8,-0.1087,0.483,1.1905,0.1101,0.2028,0.4752,-0.1025,0.2621,0.6876,-0.1296,0.2091,0.5037
Micro,121.6,3560.6,0.0576,0.2796,0.6638,-0.0076,0.1227,0.2878,-0.0259,0.1656,0.4216,0.0132,0.1145,0.2754
Other,179.6,13199.4,-0.2897,0.3771,1.0223,0.3513,1.0764,2.9114,-0.186,0.519,1.4545,1.4803,3.375,7.8687
,,,,,,,,,,,,,,
results18,,,,,,,,,,,,,,
